Nombre,Localización,Latitud,Longitud,Dirección,Teléfono,Precio,Horario,Tipos_cocina,Valoración,Votos,Características,Descripción,url,url_web,url_ig
Restaurante Santuario del Acebo, Principado de Asturias,43.17778,-6.54875,"El Acebo, Cangas del Narcea, Principado de Asturias, España, 33819",+34647574822,"['10', '24']",X,['Española'],70,23,"['Reserva', 'Accesible para sillas de ruedas']","Tras una buena caminata por Santuario de la Virgen del Acebo, pásate por Restaurante Santuario del Acebo y descansa un poco. Zambúyete en la maravillosa cocina española de este establecimiento. Este lugar te garantiza un sorprendente laing. Saborea despacio el estupendo café cortado que aquí sirven pensando solo en tu disfrute. Su abnegado servicio te hará sentirte especial.",https://es.restaurantguru.com/Restaurante-Santuario-del-Acebo-Cangas-del-Narcea-2,X,X
Café Madrid, 17,43.17694,-6.55026,"C. Mayor, 17, Cangas del Narcea, Principado de Asturias, España",+34649166442,"['10', '24']","['Cerrado', '11:30-01:00', '11:30-01:00', '11:30-01:00', '11:30-01:00', '11:30-01:00', '11:30-01:00']",['Española'],80,685,"['Tarjetas de crédito aceptadas', 'Asientos al aire libre', 'Wifi', 'Reserva', 'Entrega', 'Para llevar', 'TV']","Primero, disfruta de Puente Colgante Cangas del Narcea y, después, come algo en Café Madrid. Este restaurante es famoso por ofrecer cocina española. Sus comensales pueden pedir unas singulares croquetas de jamón, unos perfectamente elaborados escalopines y una sorprendente fabada asturiana en Café Madrid. Prueba su sabroso pastel de frutas. Basándonos en lasLa buenísima ubicación de este lugar hace que llegar a él incluso en hora punta sea muy sencillo. Muchos visitantes creen que los camareros y camareras son eficientes en este lugar. Descansar y comer aquí es siempre un placer, principalmente por su espectacular servicio. Te van a sorprender gratamente los asequibles precios de este restaurante. Su festivo ambiente deja una impresión inmejorable en sus invitados. Los usuarios de Google han premiado a Café Madrid con un 4,3. ",https://es.restaurantguru.com/Cafe-Madrid-Cangas-del-Narcea,X,X
Pizzería Canto, Cangas del Narcea,43.175304,-6.551908,"Av. del Barrio Nuevo, 9, Cangas del Narcea, Principado de Asturias, España",+34984991787,X,"['07:00-01:00', '07:00-01:00', '07:00-01:00', '07:00-01:00', '07:00-01:00', '07:00-01:00', '10:00-00:00']",['Pizza'],70,33,"['Tarjetas de crédito aceptadas', 'Para llevar', 'Reserva', 'Accesible para sillas de ruedas']","Una vez que el paseo alrededor de Colegiata de Santa Maria Magdalena se haya terminado, visita Pizzería Canto. Sus cocineros preparan aquí una perfectamente elaborada pizza. Este restaurante tiene envío a domicilio para así dar un mejor servicio a sus clientes. Por si todo esto fuera poco, su personal es acogedor. Su espectacular servicio es siempre un placer. Tal y como un gran número de críticos reconocen, la atmósfera es exótica. Según la valoración de Google, Pizzería Canto ha logrado un 4,5.",https://es.restaurantguru.com/Pizzeria-Canto-Cangas-del-Narcea,X,X
Restaurante Zaycor, Cangas del Narcea,43.1831303,-6.5453459,"Av. Alejandro Casona, 30, Cangas del Narcea, Principado de Asturias, España",+34608782274,"['24', '48']","['10:30-23:30', '10:30-00:00', '10:30-00:00', '10:30-00:00', '10:30-00:00', '10:30-00:30', '10:30-00:00']",['Pescado y marisco'],64,26,"['Tarjetas de crédito aceptadas', 'No hay entrega', 'Para llevar', 'Reserva', 'Accesible para sillas de ruedas']",Ven a este restaurante y haz un intermedio para pedir su perfectamente elaborado marisco o su atrayente sopa. Pero la mayoría de los clientes que usan Google no le otorgaron a Restaurante Zaycor una nota muy alta.,https://es.restaurantguru.com/Zaycor-Cangas-del-Narcea,X,X
Sidrería Parrilla Suiss, Cangas del Narcea,43.1772547,-6.5487196,"Sidrería Parrilla, Av. del Acebo, 5, local 2, Cangas del Narcea, Principado de Asturias, España",+34985811988,['10'],"['Cerrado', '10:30-23:30', '10:30-23:30', '10:30-23:30', '10:30-23:30', '10:30-23:30', '10:30-23:30']","['Asado', 'Grill']",76,627,"['Asientos al aire libre', 'Para llevar', 'Tarjetas de crédito aceptadas', 'Entrega', 'Reserva', 'No accesible para sillas de ruedas']","Si quieres tener un buen recuerdo de Santuario de la Virgen del Acebo, ven primero a este restaurante. En Sidrería Parrilla Suiss, sus clientes pueden tomar unas sorprendentes croquetas de jamón, una tierna parrillada y un generoso jamón. Muchos usuarios han reparado en el hecho de que aquí el pastel de frutas es delicado. Su espectacular sidra hará que tu comida parezca aún mejor, lo que, seguramente, te hará volver. El éxito de este lugar sería imposible sin un creativo personal. Tal y como una serie de críticos aseguran, el servicio es eficiente. Su atmósfera es tranquila, y un gran número de visitantes disfrutan del estilo de este lugar. Este restaurante ha logrado un 4,5 según el baremo de valoraciones de Google.",https://es.restaurantguru.com/Sidreria-Suiss-Cangas-del-Narcea,https://sidreriaparrillasuiss.com,https://www.instagram.com/sidreriasuiss/?hl=es
El Moreno, Cangas del Narcea,43.17628,-6.5492569,"Pl. Conde Toreno, 2, Cangas del Narcea, Principado de Asturias, España",+34984708286,"['14', '48']","['09:00-02:00', '09:00-02:00', '09:00-02:00', '09:00-02:00', '09:00-02:00', '10:00-02:00', '10:00-02:00']","['', 'Bar de Vinos', 'Pescado y marisco', 'Española', 'Mediterránea']",74,190,"['Tarjetas de crédito aceptadas', 'Asientos al aire libre', 'Wifi', 'Sin reserva', 'No hay entrega', 'No accesible para sillas de ruedas']","Seguro que vas a ver Santuario de la Virgen del Acebo: el consejo de sus clientes es que vengas también a este restaurante. La cocina española es lo que a sus visitantes más les gusta de El Moreno. Su sensacional vino y su extraordinaria cerveza son el rasgo distintivo de este lugar. Un gran número de usuarios han reparado en el hecho de que en este establecimiento el personal es eficiente. Su admirable servicio es un gran añadido para este lugar. Una serie de críticos remarcan que la atmósfera es espectacular aquí. Google le ha dado un 4,4, lo que indica que puedes ir a este restaurante para pasar un rato agradable.",https://es.restaurantguru.com/Moreno-Cangas-del-Narcea,https://elmorenocangas.es,https://www.instagram.com/barmoreno2024/?hl=es
La Ruta, Principado de Asturias,43.1769,-6.55,"Calle Mayor, Cangas del Narcea, Principado de Asturias, España, 33800",+34985810998,['10'],X,['Española'],64,22,['Asientos al aire libre'],"Un paseo admirando Puente Colgante Cangas del Narcea es lo menos que puedes esperar tras cenar en este restaurante. La cocina española es buena en La Ruta. La valoración de Facebook muestra que este lugar ha obtenido 4,5 estrellas.",https://es.restaurantguru.com/La-Ruta-Cangas-del-Narcea-2,X,X
"Bar El Mercao -Recinto ferial la Himera, Cangas del Narcea", Principado de Asturias,43.1567,-6.5412,"Recinto Ferial La Himera, Cangas del Narcea, Principado de Asturias, España, 33817",+34649166588,['10'],"['11:00-21:00', '11:00-21:00', '11:00-21:00', '11:00-21:00', '11:00-21:00', 'Cerrado', '11:00-23:00']",X,64,22,X,"Facebook le da a este restaurante la calificación global de 4,5 estrellas.",https://es.restaurantguru.com/Bar-El-Mercao-Recinto-ferial-la-imera-Cangas-del-Narcea-Spain,X,X
Magadán Restaurante, Cangas del Narcea,43.1798166,-6.5510331,"Pl. de Asturias, 9, Cangas del Narcea, Principado de Asturias, España",+34985811809,['10'],"['06:00-01:00', '06:00-01:00', '06:00-01:00', '06:00-01:00', '06:00-01:00', '06:00-01:00', 'Cerrado']",['Grill'],72,94,"['Asientos al aire libre', 'Tarjetas de crédito aceptadas', 'No hay entrega', 'No accesible para sillas de ruedas']","Una vez que hayas visto Puente Colgante Cangas del Narcea, es el momento de descansar en este restaurante. Siempre que vayas a Magadán Restaurante, tienes que probar su sensacional café. La mayoría de visitantes estiman que en este establecimiento el personal esta bien entrenado. Su sofisticado servicio te hará sentirte especial. Su cuidada atmósfera deja una impresión inmejorable en sus clientes. De acuerdo con los comentarios de los usuarios en Google, este lugar merece un 4,5.",https://es.restaurantguru.com/Magadan-Restaurante-Cangas-del-Narcea-2,X,X
Terras Gallegas, Principado de Asturias,43.1771218,-6.54899954,"Calle Uria 26, Cangas del Narcea, Principado de Asturias, España, 33800",+34686895967,"['10', '24']","['07:00-23:45', '07:00-23:45', '07:00-23:45', '07:00-23:45', '07:00-23:45', '07:00-23:45', 'Cerrado']",['Española'],65,20,"['Tarjetas de crédito aceptadas', 'Asientos al aire libre', 'Wifi']","Seguro que vas a visitar Santuario de la Virgen del Acebo: el consejo de sus habituales es que te acerques también a este restaurante. Pide algo nuevo de la cocina española. Invita a tus amigos y tomad su atrayente pulpo, su sorprendente rape y sus perfectamente elaborados fabada. Pulperia Tierras Gallegas te ofrece probar un pastel de frutas bien preparado. Comprueba por ti mismo lo eficientes que son sus camareros y camareras. Este lugar obsequia con un abnegado servicio a sus invitados. Los usuarios de Google que visitaron este lugar afirman que la valoración más adecuada es 4.",https://es.restaurantguru.com/Pulperia-Tierras-Gallegas-Cangas-del-Narcea-2,X,X
Street Food, Cangas del Narcea,43.178094,-6.5505436,"C. Alcalde Díaz Penedela, 4, Cangas del Narcea, Principado de Asturias, España",+34984831376,['10'],"['11:00-16:00/18:00-01:30', 'Cerrado', '11:00-16:00/18:00-01:30', '11:00-16:00/18:00-01:30', '11:00-16:00/18:00-01:30', '11:00-16:00/18:00-01:30', '11:00-16:00/18:00-01:30']","['Comida Rápida', 'Callejera']",70,178,"['Asientos al aire libre', 'Para llevar', 'Tarjetas de crédito aceptadas', 'Reserva', 'Accesible para sillas de ruedas']","Una vez que hayas disfrutado de Puente Colgante Cangas del Narcea, visita este restaurante, que no está muy lejos. Prueba las perfectamente elaboradas hamburguesas americanas, el singular jamón o la atrayente pizza de jamón que te ofrece Street Food. El servicio de entrega a domicilio es una de las grandes ventajas de este lugar. Por si todo esto fuera poco, su personal es profesional. Su eficiente servicio te hará sentirte especial. Su inusual decoración no era del gusto de sus visitantes. Tienes garantizada una espectacular atmósfera en este lugar. De acuerdo con los comentarios de los clientes en Google, este restaurante merece un 4.",https://es.restaurantguru.com/Street-Food-Cangas-del-Narcea,X,X
L'ABLUGO PIZZERIA-BURGUER, 2,43.1779257,-6.5504664,"C. Alcalde Díaz Penedela, 2, Cangas del Narcea, Principado de Asturias, España",+34985810454,['10'],"['12:00-01:30', '12:00-01:30', 'Cerrado', '12:00-01:30', '12:00-01:30', '12:00-02:30', '12:00-01:30']","['Comida Rápida', 'Pizza']",76,285,"['Asientos al aire libre', 'Wifi', 'Tarjetas de crédito aceptadas', 'Entrega', 'Para llevar', 'Reserva', 'Accesible para sillas de ruedas']","Puedes visitar este restaurante después de ver Puente Colgante Cangas del Narcea. Si vas a L'ABLUGO PIZZERIA-BURGUER, toma su bien trabajado rape, su casera pizza o sus atrayentes hamburguesas americanas. La estupenda ubicación de este lugar hace que llegar a él por cualquier medio sea muy sencillo. Un gran número de críticos apuntan que en este establecimiento el ",https://es.restaurantguru.com/Pizzeria-Lablugo-Cangas-del-Narcea,https://pidelablugo.com,https://www.instagram.com/lablugocangas/?hl=es
Hotel Molinon, Principado de Asturias,43.177655,-6.549606,"Calle Uria, 36, Cangas del Narcea, Principado de Asturias, España, 33800",+34985812952,"['10', '24']","['09:00-22:00', '08:00-22:00', '08:00-22:00', '08:00-22:00', '08:00-22:00', '08:00-22:00', '08:00-22:00']",['Española'],64,38,"['Asientos al aire libre', 'Tarjetas de crédito aceptadas', 'Reserva']","Una vez que hayas visto Puente Colgante Cangas del Narcea, ven a este restaurante. Los turistas recomiendan los platos de la cocina española de Hotel Molinon. Probar su generosa merluza, sus caseras carrilleras o su bien trabajado laing es lo que gran parte de los clientes aconseja. Según las opiniones de los críticos, aquí sus camareros te sirven un sorprendente pastel de frutas. Cuando visites este lugar, tienes que probar su excelente café. La buenísima ubicación de este lugar hace que llegar a él incluso en hora punta sea muy sencillo. Una serie de visitantes se han dado cuenta de que en este establecimiento el personal es genial. Este restaurante ofrece un profesional servicio a sus invitados. Los precios son razonables para la calidad que recibes. Hotel Molinon se asocia con una atmósfera encantadora. De acuerdo con los comentarios de los usuarios en Google, este lugar merece un 4,3.",https://es.restaurantguru.com/Hotel-Restaurante-El-Molinon-Cangas-del-Narcea,https://hotelelmolinon.com,X
Bar La Perla, Cangas del Narcea,43.1775,-6.5519444,"Pl. Mayor, 6, Cangas del Narcea, Principado de Asturias, España",+34985811703,['10'],"['08:30-00:30', '08:30-00:30', '08:30-00:30', '08:30-00:30', '08:30-00:30', '08:30-00:30', 'Cerrado']",X,74,152,"['Tarjetas de crédito aceptadas', 'No hay entrega', 'Reserva']","Desde el ventanal de este bar, la vista de Colegiata de Santa Maria Magdalena es maravillosa. Saborea despacio el sensacional café que aquí sirven pensando solo en tu disfrute. Por si todo esto fuera poco, su personal es de confianza. Su sorprendente servicio es aquí algo en lo que sus comensales coinciden. La mayor parte del tiempo, Bar La Perla te ofrece una genial atmósfera. Un 4,6 es lo que este lugar ha logrado según el sistema de valoraciones de Google.",https://es.restaurantguru.com/Bar-El-Escano-Cangas-del-Narcea,https://laperla.com,https://www.instagram.com/laperlalingerie/?hl=es
M. Mallo Menéndez, Cangas del Narcea,43.1757787,-6.5477231,"C. Uría, 8, Cangas del Narcea, Principado de Asturias, España",+34985810073,['10'],"['07:00-02:00', '07:00-02:00', '07:00-02:00', '07:00-02:00', '07:00-02:00', '07:00-02:00', '11:00-02:00']",X,74,99,"['Tarjetas de crédito aceptadas', 'No hay entrega', 'Asientos al aire libre']","Disfruta de Santuario de la Virgen del Acebo y acércate por este café. La gente normalmente visita M. Mallo Menéndez para paladear su extraordinario café. Muchos clientes indican que el personal es amable. Su pulcro servicio te hará sentirte especial. Hay una distendida atmósfera en este lugar, tal y como lo ven sus visitantes. Los usuarios de Google aprecian este lugar: le han otorgado 4,5 estrellas.",https://es.restaurantguru.com/M-Mallo-Menendez-Cangas-del-Narcea,X,X
Chicote, Cangas del Narcea,43.1774018,-6.5510471,"C. la Fuente, 6, Cangas del Narcea, Principado de Asturias, España",+34985810934,['10'],"['09:00-15:00/17:00-00:00', 'Cerrado', '09:00-15:00/17:00-00:00', '09:00-15:00/17:00-00:00', '09:00-15:00/17:00-00:00', '09:00-15:00/17:00-00:00', '09:00-15:00/17:00-00:00']",['Española'],76,508,"['Solamente efectivo', 'Asientos al aire libre', 'No wifi', 'Sin reserva']","Cuando planifiques tu viaje, no te olvides de Puente Colgante Cangas del Narcea y de decidirte por un sitio donde comer: este bar está justo al lado de ese lugar turístico. Chicote es famoso por ofrecer cocina española. La mayoría de los clientes recomienda probar sus sorprendentes patatas, sus generosas patatas bravas y su perfectamente elaborado laing. Te ofrecerán un vino de la casa espectacular. La buenísima ubicación de este lugar hace que llegar a él por cualquier medio sea muy sencillo. Muchos usuarios encuentran que el personal es admirable en este lugar. Descansar y comer aquí es siempre un placer, principalmente por su sofisticado servicio. Sus precios adecuados son una de esas cosas que se deben mencionar al hablar de este bar. Una decoración atrayente y su ambiente silencioso ayudan a sus clientes a sentirse relajados. Chicote ha logrado un 4,5 según el baremo de valoraciones de Google.",https://es.restaurantguru.com/Chicote-Cangas-del-Narcea,X,X
El Forno de Manolo, Cangas del Narcea,43.177118,-6.549352,"C. Uría, 29, bajo, Cangas del Narcea, Principado de Asturias, España",+34985810706,['10'],"['08:00-01:00', '08:00-01:00', '08:00-01:00', '08:00-01:00', '08:00-01:00', '08:00-01:00', '08:00-01:00']","['Comida Rápida', 'Pizza', 'Americana']",70,342,"['Tarjetas de crédito aceptadas', 'Asientos al aire libre', 'Wifi', 'Para llevar', 'No accesible para sillas de ruedas']","Tras disfrutar de Santuario de la Virgen del Acebo, es una buena idea visitar este restaurante. Si todavía no has saboreado la tierna pizza, el singular laing o el perfectamente elaborado rape de El Forno de Manolo, entonces no has disfrutado aún de la vida. Aquí puedes tomarte un sensacional café. Muchos clientes destacan que el personal esta bien preparado en este lugar. Su espectacular servicio te hará sentirte especial. La mayor parte del tiempo podrás encontrar aquí una silenciosa atmósfera. De acuerdo con los comentarios de los usuarios en Google, este lugar merece un 4,2.",https://es.restaurantguru.com/El-Forno-de-Manolo-Cangas-del-Narcea-2,X,X
