Nombre;Zona;InformacionTexto;BanderaAzul;QCalidad;Concejo;Accesos;Tipo de Playa;Salvamento;Puntos accesibles;Servicios;Longitud;Observaciones;Más Información;Ordenanzas de las mascotas;Facebook;Twitter;Youtube;Pinterest;Instagram;Rss;Canal ;Url;Coordenadas;Slide;Título;Url
Playa España;Oriente de Asturias;Un estuario de aguas cristalinas muy popular La playa en la que muere el río España dibuja la forma de una concha de arena dorada, envuelta por unos acantilados verticales y por rocas que confieren gran belleza al entorno. Su fuerte oleaje la convierte en un sitio de referencia para la práctica del surf y su cercanía con Gijón y Villaviciosa hace que sea en un arenal muy popular. El enclave es rural y carece de transporte público.;;;Villaviciosa;A pie fácil y coche;Arena dorada;;;Servicio hostelería,Duchas,Aparcamiento,Servicio salvamento;440 m.;Ordenanza mascotas en la playa: Queda prohibido el acceso y la presencia de animales domésticos en la playa desde 01/06 hasta 30/09.  En los paseos marítimos y urbanos, en las zonas próximas a los accesos a las playas, se permitirá la presencia de animales de compañía siempre que vayan sujetos por una correa fija de longitud no superior a un metro y, cuando así fuera necesario por las características del animal, deben ir provistos de bozal. Servicio salvamento (diario): 17/06 a 17/09    ;;;;;;;;;;;+43.544838,-5.529050;/documents/39908/43554/playa_espana.jpg/1817ed3f-f142-3955-5a68-444a5be5a49d?t=1674171688520,/documents/39908/43554/PlayaEspana5.jpg/c33ba1b2-201e-fd61-412b-13f71995ba0b?t=1674171689705,/documents/39908/43554/PlayaEspana7.jpg/857a29cb-93d8-eca3-e9aa-0df3e0e0686b?t=1674171690287,/documents/39908/43554/PlayaEspana6.jpg/b0935497-4348-4840-d44d-59a75ad5e154?t=1674171689118;Playa España,Playa España,Playa España,Playa España;,,,
Playa de L'Arbeyal;Centro de Asturias;La recuperación de la playa del pueblo La playa de L'Arbeyal estuvo durante años en desuso, en mal estado de conservación y relegada a un segundo plano por detrás de la industria de la zona, los populares barrios de El Natahoyo y La Calzada. En 1995 se reabrió al baño tras una importante actuación regenerativa. En la actualidad es un arenal dorado, de unos 400 metros y bañado por aguas tranquilas. Tiene una afluencia alta y muy buenos servicios. Escenario de muchos eventos deportivos, en ella se practica de forma habitual vóley playa o deportes náuticos como el kayak de mar.;;;Gijón;A pie fácil y coche;Arena dorada;;;Playa sin Humo,Servicio hostelería,Duchas,Aseos,Aparcamiento,Servicio salvamento,Servicio alquiler de tumbonas,Alquiler de tumbonas;1.500 m.;Ordenanza mascotas en la playa: No está permitido el acceso con mascotas.  Servicio salvamento: consultar;;;;;;;;;;;+43.54426,-5.69349;/documents/39908/43548/2022-playa-l-arbeyal-%284%29.jpg/956da152-68c5-d320-70dd-39ae5ddf0efd?t=1674171683096,/documents/39908/43548/2022-playa-l-arbeyal-%282%29.jpg/84ad1e46-44c3-19cc-d9b7-f24a3a528392?t=1674171681864,/documents/39908/43548/2022-playa-l-arbeyal-%283%29.jpg/757a7a2b-32bc-6101-332d-39dff706fc9e?t=1674171682521,/documents/39908/43548/2022-playa-l-arbeyal-%281%29.jpg/4c4c9dce-2f99-df01-a22d-3fd0151415fc?t=1674171681282;Playa de L' Arbeyal,Playa de L' Arbeyal,Playa de L' Arbeyal,Playa de L' Arbeyal;,,,
Playa de Navia;Occidente de Asturias;Una zona de ocio enclavada en la desembocadura del Navia A sólo un kilómetro de la villa de Navia, se encuentra una playa semiurbana, con todos los servicios y una zona de picnic, que tiene una elevada ocupación en verano. El acceso desde el casco urbano de Navia se puede realizar tanto a pie como en coche. Este arenal, que comparte entorno con la desembocadura del río del que toma su nombre, el Navia, está compuesto por arena gruesa y soporta un fuerte oleaje. Además, dispone de una zona conocida como La Poza, muy influenciada por las mareas y con un mirador.;;;Navia;A pie y coche;Arena fina oscura;;;Servicio hostelería,Duchas,Aseos,Aparcamiento,Aparcamiento autocaravanas,Servicio salvamento,Surf;330 m.;Ordenanza mascotas en la playa:  Queda prohibido el acceso y la presencia de animales domésticos a las playas, aguas y zonas de baño del 22/06 a 11/09.  En el caso de animales abandonados que deambulen por las playas, serán responsables de los mismos sus propietarios.  Quienes vulneren las prohibiciones o no cumplan con las condiciones preceptuadas anteriormente, deberán abandonar de inmediato la playa con el animal, a requerimiento verbal de los miembros de Salvamento y Protección Civil y/o de los Agentes de la Autoridad. Servicio de salvamento: 22/06 a 11/09;;;;;;;;;;;+43.555434,-6.722165;/documents/39908/43287/PlayaNavia1.jpg/b2c814b1-da56-050c-faf3-8a9fa259b2ac?t=1674171402198,/documents/39908/43287/playa-de-navia+%281%29.jpg/73cf296e-3fac-7d8e-65e4-b689cd7d2a7b?t=1687856271232,/documents/39908/43287/playa-de-navia+%282%29.jpg/a8ae94f7-b3fb-3809-f65a-1044cce27b46?t=1687856273230;Playa de Navia,,;,,
Playa de Cambaredo;Occidente de Asturias;Playa estrecha, alargada y pedregosa, con escasa afluencia de público y de gran valor ecológico. Su extensión es de 220 metros por 20 metros de ancho. El nivel medio de ocupación es bajo. Aislada sin paseo marítimo principalmente compuesta por grava. Se encuentra rodeada por elevados acantilados repoblados de pinos al igual que la gran mayoría de las playas occidentales. Oleaje moderado. Se encuentra en la localidad de Llóngara.;;;El Franco;Acceso peatonal a través de una escalera de 130 peldaños.;Grava;;;Playa sin Humo,Admite animales;220 m.;Permitido el acceso de mascotas durante todo el año  Normas: Deben estar vacunados, desparasitados y con microchip. Los responsables deben llevar consigo en todo momento la documentación del animal en regla. Podrán estar sueltos, siempre bajo la supervisión de la persona propietaria o responsable, que también es responsable de los daños ocasionados por el mismo. Siempre irán acompañados de una persona mayor de edad y no deben causar molestias al resto de usuarios. Aquellos catalogados como P.P.P deben ir siempre atados y con bozal. Los responsables deben ir preparados con bolsas para recoger los excrementos y depositarlos en las papeleras o contenedores habilitados.  ;;;;;;;;;;;43.556184, -6.817541;/documents/39908/43392/2022-cambaredo+%282%29.jpg/bd2d7d57-1dcb-de31-64db-c2bceec53f4f?t=1674171528372,/documents/39908/43392/2022-cambaredo+%281%29.jpg/651e9feb-ce1e-3f55-d3cd-29ed452a047e?t=1674171527039,/documents/39908/43206/Cambaredo+IV.jpg/e5e172b4-2991-5bee-9e14-4d3cbc75033d?t=1674171324909,/documents/39908/43206/Playa_Cambaredo_El_Franco_3.jpg/5d5622d3-1fc3-cf4a-0fc4-c8dd6f08b978?t=1674171327694;Playa de Cambaredo,Playa de Cambaredo,Playa de Cambaredo,Playa de Cambaredo;,,,
Playa Tercera o Salinas de Luarca;Occidente de Asturias;Un vistoso paisaje salpicado por coloridas casetas de baño La Tercera o Salinas completa el conjunto de playas de la villa de Luarca/??uarca. La singularidad de estos arenales radica en las casetas de baño pintadas de llamativos colores, que la rodean. Se trata de una decoración única en esta parte de la costa. A pesar de ser urbana, la playa 3ª no dispone de acceso rodado. Solo se puede llegar a pie, desde el paseo marítimo, pero esta limitación no le resta afluencia. Comparte con los arenales anexos las aguas tranquilas.;true;;Valdés;A pie fácil y coche;Arena oscura;;;Servicio hostelería,Duchas,Accesible,Aseos,Aparcamiento,Servicio salvamento;250 m.;Ordenanza mascotas en la playa: Queda prohibido el acceso y la presencia de animales domésticos en la playa desde 01/05 hasta 30/09  En los paseos marítimos y urbanos, en las zonas próximas a los accesos a las playas, se permitirá la presencia de animales de compañía siempre que vayan sujetos por una correa fija de longitud no superior a un metro y, cuando así fuera necesario por las características del animal, deben ir provistos de bozal. ACCESIBLE - PRACTICABLE Rampa. Plazas de aparcamiento accesibles.  ;;;;;;;;;;;+43.549301,-6.542176;/documents/39908/43341/salinas-luarca.jpg/42bdca86-1721-872d-674b-9c7a795ec4b6?t=1674171472114,/documents/39908/43341/Playa3Luarca_1.jpg/5d3fca67-3d6c-1a7e-5ab3-eb47e910d20c?t=1674171471517;Playa de Salinas / 3ª de Luarca,Playa de Salinas / 3ª de Luarca;,
Playa San Pedro La Ribera;Occidente de Asturias;Se nutre del las aguas cristalinas del Río Esqueiro San Pedro de la Ribera o San Pedro de Bocamar es una de las playas más concurridas y populares del concejo de Cudillero. Es una playa de arena tostada y cantos rodados en la que desemboca el Río Esqueiro. Fue galardonada durante años con el distintivo de Bandera Azul y en 2012 se le otorgó la Q de Calidad Turística. Cuenta con muy buenos equipamientos, oferta hostelera y servicio de salvamento. Está situada en Soto de Luiña, donde es recomendable visitar una iglesia vinculada a los vaqueiros de alzada.;true;;Cudillero;A pie fácil y coche;Arena dorada;;;Servicio hostelería,Duchas,Aseos,Aparcamiento,Accesible,Servicio salvamento;350 m.;Ordenanza mascotas en la playa: Queda prohibido el acceso y la presencia de animales en la playa desde 01/06 hasta 30/09.  En los paseos marítimos y urbanos, en las zonas próximas a los accesos a las playas, se permitirá la presencia de animales de compañía siempre que vayan sujetos por una correa fija de longitud no superior a un metro y, cuando así fuera necesario por las características del animal, deben ir provistos de bozal. Servicio salvamento (diario): 01/07 a 31/08 ACCESIBLE – PRACTICABLE Duchas y vestuarios accesibles. Aseos accesibles. Pasarela. Rampa. Personal de apoyo al baño. Anfibuggy.;;;;;;;;;;;+43.578803,-6.220941;/documents/39908/43425/San+PedrodelaRibera3.jpg/10376bc0-86e4-0ac4-56ef-92dba47521e3?t=1674171562191,/documents/39908/43425/SanPedrodelaRibera4.jpg/bde37b0a-8927-bfed-252b-9ace6d31e2c8?t=1674171561573,/documents/39908/43425/PlayaSanPedro1.jpg/5f8298f6-b8f0-8e8f-36c6-e4bb21579f27?t=1674171560429;Playa de San Pedro de la Ribera / San Pedro de Bocamar,Playa de San Pedro de la Ribera / San Pedro de Bocamar,Playa de San Pedro de la Ribera / San Pedro de Bocamar;,,
Playa de El Oso;Oriente de Asturias;Un cala al abrigo de los acantilados y el mar El Oso es una pequeña cala de apenas cien metros de longitud a la que se puede acceder desde la playa de La Franca durante la bajamar.  El arenal está escondido entre dos montículos, salpicado de rocas y batido por fuertes vientos y por un incansable oleaje. Es tranquilo y registra una baja ocupación incluso en pleno verano.;;;Ribadedeva;A pie desde Playa La Franca;Arena blanca;;;;100 m.;Ordenanza mascotas en la playa: Queda prohibido el acceso y la presencia de animales domésticos en la playa desde 01/05 hasta 30/09  En los paseos marítimos y urbanos, en las zonas próximas a los accesos a las playas, se permitirá la presencia de animales de compañía siempre que vayan sujetos por una correa fija de longitud no superior a un metro y, cuando así fuera necesario por las características del animal, deben ir provistos de bozal.  ;;;;;;;;;;;+43.393484,-4.571996;/documents/39908/43542/PlayaOso1.jpg/6970a2a5-c352-0617-045e-0b348cd53348?t=1674171673896,,,;Playa de El Oso,Playa de El Oso,Playa de El Oso,Playa de El Oso;,,,
Playa de Las Llanas;Centro de Asturias;Un paraje aislado a los pies de verticales acantilados Es un paraje aislado y, por tanto, tranquilo, en medio de un paisaje de gran belleza, salpicado de acantilados verticales no aptos para personas que sufran vértigo. Las Llanas es una playa de arena, grava y bolos, sometida a un fuerte oleaje y con una parte occidental únicamente accesible en bajamar. Se llega en coche hasta el aparcamiento que hay en la parte superior, pero la bajada a la playa sólo puede hacerse a pie. Clasificada como Zona de Especial Protección para las Aves (ZEPA) y Lugar de Importancia Comunitaria (LIC).;;;Muros de Nalón;A pie fácil y coche.;Arena fina, bolos y grava;;;Playa sin Humo,Aparcamiento,Servicio salvamento;500 m.;Ordenanza mascotas en la playa: Queda prohibido el acceso y la presencia de animales en la playa desde 01/05 hasta 30/09.  En los paseos marítimos y urbanos, en las zonas próximas a los accesos a las playas, se permitirá la presencia de animales de compañía siempre que vayan sujetos por una correa fija de longitud no superior a un metro y, cuando así fuera necesario por las características del animal, deben ir provistos de bozal. Servicio salvamento: fines de semana verano.  ;;;;;;;;;;;+43.557956,-6.105353;/documents/39908/43374/Llanas+%284%29.jpg/094261f9-8cf0-d429-7426-86498e2c9d19?t=1674171499956,/documents/39908/43374/Llanas+%282%29.jpg/458dcd3b-1605-d611-2bab-3a1ea3cc54d0?t=1674171498732,/documents/39908/43374/Llanas+%281%29.jpg/8d59c25a-9823-175c-5061-acc23c732ee5?t=1674171498135,/documents/39908/43374/Llanas+%283%29.jpg/d60a2fec-02fa-7a51-45e1-8c32b1a66c64?t=1674171499361;Playa de Las Llanas,Playa de Las Llanas,Playa de Las Llanas,Playa de Las Llanas;,,,
Playa de La Huelga;Oriente de Asturias;La desembocadura del río Cecilio crea este hermoso arenal. A lo largo de los últimos metros de la desembocadura del río Cecilio, se extiende un conjunto arenoso, que tiene incluso marismas y que está salpicado de rocas, se trata de la playa de la Huelga, formada por bolos, roca y arena y con oleaje moderado. En las proximidades de la playa, en concreto en Villah.ormes, se puede ver un islote conocido como "Castro de las Gaviotas", peculiar por su forma de arco que parece que flota sobre el Cantábrico. Para llegar se coge el cruce que va hacia ?ontoriaa desde Villa?ormes, seguimos la señalización hacia la playa y una vez allí sólo queda sentarse y disfrutar del espectáculo. En las inmediaciones, se practican habitualmente diferentes modalidades de pesca deportiva.;;;Llanes;A pie fácil y coche;Arena dorada, bolos y rocas;;;Aparcamiento;180 m.;Ordenanza mascotas en la playa: Queda prohibido el acceso y la presencia de animales domésticos en la playa desde 01/06 hasta 30/09 En el caso de animales abandonados que deambulen por las playas, serán responsables de los mismos sus propietarios. Quienes vulneren las prohibiciones, o no cumplan con las condiciones preceptuadas anteriormente, deberán abandonar de inmediato la playa con el animal, a requerimiento verbal de los Agentes de la Autoridad o personal de Salvamento, quienes girarán parte de denuncia en orden a la instrucción del oportuno expediente sancionador.    ;;;;;;;;;;;+43.44959,-4.8975;/documents/39908/43506/PlayaHuelga1.jpg/ebecd2bf-fe56-e16e-4941-dddb082ad3a2?t=1674171641086,/documents/39908/43506/06524_PlayadelaHuelga_Llanes.jpg/ba2431cd-fc0e-33e3-c886-036064a7e4a3?t=1674171642428,/documents/39908/43506/PlayadelaHuelga3.jpg/36ab1146-0d46-754b-e5ec-20349d1604f3?t=1674171643000,/documents/39908/43506/PlayaHuelga2.jpg/24004ed1-5e12-3330-53ef-035fabcc8ba8?t=1674171641747;Playa de La Huelga,Playa de La Huelga con el Castro las Gaviotas al fondo,Vistas del Castro de las Gaviotas desde la Playa de la Huelga,Vistas del Castro de las Gaviotas desde la Playa de la Huelga;,,,
Playa de Toranda;Oriente de Asturias;Una playa entre acantilados y verdes praderas Toranda es la playa de Niembru, a la que se accede por una pista tras cruzar el pueblo, situado más hacia el interior. Está enclavada en una zona de costa de acantilados y rodeada de verdes praderas. Hacia el oriente desemboca la ría de Niembro, formando un estuario de gran interés biológico. Esta playa está integrada por arena blanca y bañada por un fuerte oleaje. Dispone de servicio de restauración y equipamientos. En sus inmediaciones existe un mirador con unas espectaculares vistas. Para acceder a ella se aparca en el pueblo y luego ir caminando.;;;Llanes;A pie;Arena dorada;;;Servicio hostelería,Duchas,Aseos,Aparcamiento,Área Recreativa,Servicio salvamento;300 m.;Ordenanza mascotas en la playa: Queda prohibido el acceso y la presencia de animales domésticos en la playa desde 01/06 hasta 30/09 En el caso de animales abandonados que deambulen por las playas, serán responsables de los mismos sus propietarios. Quienes vulneren las prohibiciones, o no cumplan con las condiciones preceptuadas anteriormente, deberán abandonar de inmediato la playa con el animal, a requerimiento verbal de los Agentes de la Autoridad o personal de Salvamento, quienes girarán parte de denuncia en orden a la instrucción del oportuno expediente sancionador. Servicio salvamento (diario): 15/06 a 08/09 de 11:30 a 19:00 h.;;;;;;;;;;;+43.441081,-4.839426;/documents/39908/43290/PlayaToranda1.jpg/7833ff7d-7385-b42b-dec9-ec33d2b1ba85?t=1674171403545,/documents/39908/43290/PlayaToranda2.jpg/0ee26ff2-dc09-ddca-5775-3fc85179141d?t=1674171404218,,;Playa de Niembro / Toranda,Playa de Niembro / Toranda,Playa de Niembro / Toranda,Playa de Niembro / Toranda;,,,
Playa de Quintana;Occidente de Asturias;En un entorno de gran belleza, y de fácil acceso. Playa alargada y estrecha, formada por cantos rordados, con fácil acceso desde el pueblo cercano de Quintana, del que toma el nombre. Está enclavada en una zona de acantilados, y su interés pesquero es destacable. La zona es de gran belleza, pero se desaconseja el baño dado que carece de servicios. No hay aparcamiento a pie de playa.  ;;;Valdés;A pie fácil y rodado (hasta unos metros antes de la bajada a la playa);Canto rodado;;;Admite animales;525 m.;Permitido el acceso de mascotas durante todo el año  Normas: Se permite el acceso de perros durante todo el año en la zona delimitada como "playa canina", fuera de esta zona está prohibido. Deben estar vacunados, desparasitados y con microchip. Los responsables deben llevar consigo en todo momento la documentación del animal en regla. Podrán estar sueltos, siempre bajo la supervisión de la persona propietaria o responsable, que también es responsable de los daños ocasionados por el mismo. Siempre irán acompañados de una persona mayor de edad y no deben causar molestias al resto de usuarios. Aquellos catalogados como P.P.P deben ir siempre atados y con bozal. Los responsables deben ir preparados con bolsas para recoger los excrementos y depositarlos en las papeleras o contenedores habilitados.  ;;;;;;;;;;;+43.556108,-6.404855;/documents/39908/43398/2022-quintana+%282%29.jpg/75ea277d-12ef-eaf5-8995-efd645992106?t=1674171532503,/documents/39908/43398/2022-quintana+%283%29.jpg/877fc9f9-80bc-c2f0-d327-2089f5ca59d9?t=1674171533089,/documents/39908/43398/2022-quintana+%281%29.jpg/4665365f-6a00-d36e-8684-15355c1cc939?t=1674171531873,/documents/39908/43329/quintanaplaya-560x518.jpg/3e7f2ad2-7c8c-74db-fa8e-2d56328ac34a?t=1674171457303;Playa de Quintana / Plumineru,Playa de Quintana / Plumineru,Playa de Quintana / Plumineru,Playa de Quintana / Plumineru;,,,
Playa de Carniciega/Carriciega;Centro de Asturias;Una ensenada con un pasado castreño A la playa de Playa de Carniciega / Carriciega, atmbién llamada Playa de Barquera se accede desde el oeste de la playa de Verdicio, en marea baja, aunque también se puede llegar a través de senderos trazados en los suaves acantilados que la rodean. Se trata de un tranquilo arenal dorado de unos trescientos metros que también se llama playa de Barquera, muy probablemente porque fuera utilizada como puerto pesquero en la antigüedad. Frente a la playa destaca el castro de los Garabetales, a unos 200 metros, y que sólo es un representante más de la cultura castreña de esa zona. Forma parte del Paisaje Protegido del Cabo Peñas.;;;Gozón;A pie.;Arena dorada;;;Aparcamiento;340 m.;Ordenanza mascotas en la playa: Queda prohibido el acceso y presencia de cualquier tipo de animales, incluso domésticos, a las playas, aguas y zonas de baño, así como a los paseos marítimos, a excepción de los que resulten precisos para el desarrollo de actividades debidamente autorizadas por la autoridad sanitaria competente. En el caso de animales abandonados que deambulen por la playa, serán responsables de los mismos sus propietarios. El poseedor de un animal, sin perjuicio de la responsabilidad subsidiaria del propietario, será responsable de los daños y perjuicios que ocasione a las personas, instalaciones y medios en general.  ;;;;;;;;;;;+43.62387,-5.88069;/documents/39908/43230/PlayaCarniciega1.jpg/f43a1de2-44cd-1c43-0f46-920b9301c535?t=1674171345423,/documents/39908/43230/playa-carniciega-verdicio+%282%29.jpg/e7039496-733a-9bd2-b239-30a3043d4aa9?t=1674171344728;Playa de Carniciega / Carriciega / De Barquera,Playa de Carniciega / Carriciega / De Barquera;,
Playa Carranques;Centro de Asturias;Un pasado como puerto ballenero Dos pequeñas conchas separadas por un promontorio, así es la playa de Carranques, situada en la ciudad residencial de Perlora. Es un arenal muy frecuentado, con buenos equipamientos. De arena dorada y oleaje moderado, pierde casi toda su zona arenosa en pleamar. Su entorno es de gran interés paisajístico, con calas, cuevas y abundante vegetación. ;;;Carreño;A pie y coche;Arena dorada;Diario: 10/06 a 14/09.;Cuenta con una rampa hasta la arena.;Aparcamiento gratuito,Duchas y lavapiés,Aseos,Playa sin Humo;220 m.;;;Queda  prohibido  el  acceso  de  animales  de  compañía  entre  el  15/05 y el 15/10.  Del 01/05 al 14/05 y 16/10 al 31/10, se permitirá el acceso de animales de compañía hasta las 10:00 y desde las 19:00 h., quedando  prohibida la presencia de animales de compañía entre las 10:00 y las 19:00 h. Los animales no podrán generar molestias a otros usuarios, debiendo ejercer la persona propietaria control en todo momento sobre el animal. En los paseos marítimos y urbanos, en las zonas próximas a los accesos a la playa, se permitirá la presencia de animales de compañía siempre que vayan sujetos por una correa fija de longitud no superior a un metro y, cuando así fuera necesario por las características del animal, deberán ir provistos de bozal.;;;;;;;;;+43.57753,-5.74332;/documents/39908/43233/PlayaCarranques2.jpg/6bbe1e1d-89fc-8d12-650d-7d81d3f03ba5?t=1674171348383,/documents/39908/43233/PlayaCarranques3.jpg/fd2ce3ce-5173-552f-9878-b42b0866eb15?t=1674171349046,/documents/39908/43233/Perlora.jpg/957906c2-c11b-3a79-8a13-9a48a9a90eca?t=1674171347090;Playa de Carranques,Playa de Carranques,Vista panorámica de la playa de Carranques en Perlora;,,
Playa de Cobijeru;Oriente de Asturias;El mar se bate a unos cien metros de esta original playa Es una playa de interior, sin salida directa al mar. Está formada por arena blanca y agua salada, pero el Cantábrico se bate a unos cien metros y sólo se cuela por debajo de los acantilados. Con forma semicircular, tiene unos treinta metros y está en el fondo de unas praderas. Sus aguas tienen una profundidad de apenas un metro.  Sólo se puede llegar a pie. El coche se deja en el pueblo de Buelna y desde ahí a la playa hay unos quince minutos caminando. ;;;Llanes;A pie difícil;Arena blanca;;;;30 m.;Ordenanza mascotas en la playa: Queda prohibido el acceso y la presencia de animales domésticos en la playa desde 01/06 hasta 30/09 En el caso de animales abandonados que deambulen por las playas, serán responsables de los mismos sus propietarios. Quienes vulneren las prohibiciones, o no cumplan con las condiciones preceptuadas anteriormente, deberán abandonar de inmediato la playa con el animal, a requerimiento verbal de los Agentes de la Autoridad o personal de Salvamento, quienes girarán parte de denuncia en orden a la instrucción del oportuno expediente sancionador.  ;;;;;;;;;;;+43.39613,-4.61044;/documents/39908/43248/PlayaCobijeru1.jpg/78c60604-09bd-059d-8780-755dc72a2742?t=1674171359648,/documents/39908/43248/PlayaAcacias2.jpg/4744d166-959f-2470-e039-dce915f22d67?t=1674171358973;Playa de Cobijeru / Las Acacias,Playa de Las Acacias Complejo de Cobijeru;,
Playa de Palombina;Oriente de Asturias;Una bella cala, cómoda y en un entorno urbano Palombina es la playa urbana de Celoriu, un rincón que registra cada verano unos altos niveles de ocupación pero que mantiene intacta su belleza, esa que le confiere su arena blanca, sus cristalinas aguas y las formaciones rocosas de gran tamaño que surgen en la tierra y dentro del mar. En bajamar queda conectada con la playa de Las Cámaras y de Los Frailes. Dispone de un amplio aparcamiento, un mirador con hermosas vistas y todo tipo de servicios y equipamientos. Es un centro turístico de referencia en Llanes.;;true;Llanes;A pie y coche;Arena dorada;;;Servicio hostelería,Duchas,Aseos,Aparcamiento,Accesible,Servicio salvamento;100 m.;Ordenanza mascotas en la playa: Queda prohibido el acceso y la presencia de animales domésticos en la playa desde 01/06 hasta 30/09 En el caso de animales abandonados que deambulen por las playas, serán responsables de los mismos sus propietarios. Quienes vulneren las prohibiciones, o no cumplan con las condiciones preceptuadas anteriormente, deberán abandonar de inmediato la playa con el animal, a requerimiento verbal de los Agentes de la Autoridad o personal de Salvamento, quienes girarán parte de denuncia en orden a la instrucción del oportuno expediente sancionador. Servicio salvamento (diario): 15/06 a 08/09 de 11:30 a 19:00 h. Accesible - Practicable Rampa de acceso. Aseos y duchas accesibles.;;;;;;;;;;;+43.432849,-4.809677;/documents/39908/43299/palombina-las-camaras-celorio.jpg/5149383a-6424-2209-b4a5-7ae2b2864467?t=1674171414220,/documents/39908/43299/PlayaPalombina1.jpg/e0390b5c-9dfe-64fc-13ce-5808ad21b5e9?t=1674171413588;Playa de Palombina,Playa de Palombina;,
Playa de Arnelles;Occidente de Asturias;Cien metros dorados al abrigo del cabo de San Agustín En el margen oriental del Cabo de San Agustín, en el concejo de Coaña, encontramos la playa de Arnelles, un pequeño arenal de 100 metros de longitud, de arenas doradas, oleaje moderado y poca ocupación debido a su acceso a pie. Encajada en un escarpado entorno, está situada cerca del bello puerto pesquero de Ortigueira, un lugar que merece una visita y donde se podrán encontrar distintos servicios. Está bien equipada. La playa forma parte de una Zona de Especial Protección para las Aves (ZEPA) y un Lugar de Importancia Comunitaria (LIC).;;;Coaña;A pie ;Arena fina dorada;;;Duchas,Lavapiés,Aparcamiento,Servicio salvamento,Aparcamiento autocaravanas;330 m.;Ordenanza mascotas en la playa: Queda prohibido el acceso y la presencia de animales domésticos en la playa desde 15/06 hasta 15/09.  En los paseos marítimos y urbanos, en las zonas próximas a los accesos a las playas, se permitirá la presencia de animales de compañía siempre que vayan sujetos por una correa fija de longitud no superior a un metro y, cuando así fuera necesario por las características del animal, deben ir provistos de bozal. Servicio salvamento (diario): 01/07 a 31/08 de 12:00 a 19:00 h.  ,;;;;;;;;;;;+43.560163,-6.731981;/documents/39908/43587/PlayaArnelles2.jpg/fed301c9-b844-d92c-3866-0d137f0d990a?t=1674171722686,/documents/39908/43587/playa-de-arnelles-ortiguera-coa%C3%B1a.jpg/b0f1de0d-6b6f-6de6-e56e-1a1477dbcb3c?t=1674171723264,/documents/39908/43587/PlayaArnelles1.jpg/4d5ca819-8d9b-f0e0-9486-8b020f87e9cd?t=1674171726359;Playa de Arnelles,Playa de Arnelles,Playa de Arnelles;,,
Playa de Los Quebrantos;Centro de Asturias;Un extenso arenal que suma a los amantes de la playa, el surf y la pesca Los Quebrantos es la playa de  L´Arena. Mide más de 800 metros y está conectado con el Playón de Bayas. Juntos suman más de 3 kilómetros y conforman el arenal más largo de Asturias, ideal para pasear, disfrutar del sol, pescar o coger olas. Esta playa se forma en la desembocadura del río Nalón y tiene accesos desde la villa, tanto en coche, como a pie y en bicicleta, ya que se ha habilitado un carril-bici. Los Quebrantos está formada por arena oscura y protegida por un sistema dunar. En la parte más urbana dispone de un paseo marítimo.;;;Soto del Barco;A pie fácil y coche;Arena oscura;;;Playa sin Humo,Servicio hostelería,Duchas,Aseos,Aparcamiento,Accesible,Área Recreativa,Servicio salvamento,Surf;1.400 m.;Ordenanza mascotas en la playa: En la playa, tanto en las zonas de uso general como en las zonas de uso privado de establecimientos turísticos, queda terminantemente prohibida la circulación o permanencia de perros u otros animales durante la temporada de baños. Servicio salvamento (diario): 01/07 a 11/09 ACCESIBLE - PRACTICABLE Plazas de aparcamiento accesibles. Duchas, aseos y lavapiés accesibles.   ;;;;;;;;;;;+43.564969,-6.064864;/documents/39908/43377/2022-los-quebrantos+%288%29.jpg/d1f9d1ec-30d2-e449-3ef1-2818dd610705?t=1674171508991,/documents/39908/43377/2022-los-quebrantos+%2813%29.jpg/1cee12ea-9ffc-0f34-f195-fa7f386e2a12?t=1674171512194,/documents/39908/43377/2022-los-quebrantos+%283%29.jpg/ff3b1c5c-cf76-ebbe-2210-51671c267311?t=1674171506025;Playa de Los Quebrantos,Playa de Los Quebrantos,Playa de Los Quebrantos;,,
Playa de Monellos;Occidente de Asturias;Un paraíso escondido donde practicar la pesca submarina Al fondo de una profunda ensenada aparece esta pequeña cala, de apenas 40 metros, de piedra y arena, rodeada de rocas, resguardada por el viento y protegida del mar abierto. De difícil acceso a pie, es un lugar muy frecuentado por los amantes de la pesca submarina. Está separada por un cabo de Torbas, otra de las playas del concejo, y se encuentra al este de la población de El Porto / Viavélez. Con muy poca afluencia, carece de servicios. Situada en la localidad de Valdepares. ;;;El Franco;A pie difícil;Bolos;;;Playa sin Humo;100 m.;Ordenanza mascotas en la playa: Está prohibida la circulación y estancia de perros y otros animales en las playas fuera de los meses señalados por el Ayuntamiento de El Franco (consultar).;;;;;;;;;;;+43.56251,-6.852036;/documents/39908/43278/Monellos+I.jpg/968a7556-76f9-292a-7880-c27737b343cf?t=1674171397516,/documents/39908/43278/Monellos+II.jpg/4c6384c9-ea28-6c2c-6d55-cc25464aff72?t=1674171398152,/documents/39908/43278/PlayaMonellos1.jpg/118ce112-aab6-e2cc-cfd3-b99b2521ac35?t=1674171396823;Playa de Monellos,Playa de Monellos,Playa de Monellos;,,
