Alt Imagen Destacada;Nombre;Concejo;Zona;Extensión;Periodo de visita;Altitud máxima;Datos de Contacto;Uso;Servicios;Facebook;Twitter;Youtube;Pinterest;Instagram;Rss;Canal;Url;Archivo;Título;Título;Seleccionar heading;Contenido Texto;Imagen;Pie de foto;ALT de la imagen;TITLE de la imagen;Título;InformacionTexto;Localización;Flora;Fauna;Horarios y Tarifas;Qué ver;OtrosDatos;Q de Calidad;Reserva de la Biosfera;Coordenadas;Slide;Título;Url;Observaciones;Más Información;Trámites relacionados
;Santarbás;Cangas del Narcea;;;;;;;Zona de seguridad Punto panorámico Senderismo Fuente Acceso tráfico rodado Zona de aparcamiento Zona infantil Barbacoa Zona de mesas Accesible autocares;;;;;;;;;;;;;;;;;;Área recreativa sobre un altozano, próxima a Bruelles, en Cangas del Narcea.;Su ubicación sobre un altozano, junto a la capilla de Santarbás, permite amplias vistas al sur, divisando la parte inmediata de la cordillera.;Desde la AS-15 tomamos una desviación en Javita y continuamos por la CN-6 hacia Llamas del Mouro. Tras 7 km. y pasados varios pueblos, en Bruelles, un camino que nos conduce al campo de la iglesia desemboca en el área.;;;;;;;;43.237771,-6.446508;/documents/39908/61881/Santarbas_1.jpg/fb63f977-7728-3084-3638-ef4e6560ea14?t=1674187642367,/documents/39908/61881/Santarbas_2.jpg/8b4c677a-9d17-8c93-5dba-a391cfbe5ced?t=1674187642984,/documents/39908/61881/Santarbas_3.jpg/3d901954-9eb4-1f62-d347-f0f8d70e0e73?t=1674187643763,/documents/39908/61881/Santarbas_4.jpg/cfc3f1c9-dc23-237f-7dab-344e9b36410c?t=1674187644370;Área recreativa Santarbás,Área recreativa Santarbás,Ermita de Bruelles,Ermita de Bruelles;,,,;;;
;Pormenande;El Franco;;;;;;;Acceso tráfico rodado Zona de aparcamiento Zona infantil Barbacoa Zona de mesas;;;;;;;;;;;;;;;;;;Área recreativa cerca de la playa, próxima a La Caridad, en El Franco.;El área recreativa se sitúa en el llano antes de la playa, rodeada de bosque de eucalipto por el oeste y un montículo apto para el paseo.;Desde La Caridad, tomamos la desviación en dirección a la playa de Pormenande, y justo antes de la playa se encuentra el área.;;;;;;;;43.562032,-6.827400;/documents/39908/61656/Pormenande_1.jpg/fb38aaf7-6245-8e4e-b8f8-8d5b39f0d06e?t=1674187491381;Área recreativa Pormenande;;;;
;Noveledo;Vegadeo;;;;;;;Zona de seguridad Senderismo Fuente Acceso tráfico rodado Zona de aparcamiento Zona infantil Barbacoa Zona de mesas;;;;;;;;;;;;;;;;;;Área recreativa situada en la margen izquierda del río Suarón en Vegadeo.;Se encuentra a la izquierda del río Suarón, en pleno casco urbano de Vegadeo, muy cerca de las escuelas, en frente, en el otro margen, se encuentra el campo de fútbol. ;Situada en el casco urbano de Vegadeo, próxima a los centros educativos (Intituto de E.M. y Politécnico). Se accede desde la carretera comarcal AS-1 (La Garganta-Santa Eulalia de Oscos), por la entrada al Politécnico.;;;;;;;;43.462615,-7.041220;/documents/39908/61716/Noveledo_1.jpg/90026109-66f3-5949-1593-4898fb09c4d8?t=1674187521100,/documents/39908/61716/Noveledo_2.jpg/7faa7a5f-c675-0166-dbd1-72be7b19320c?t=1674187521721,/documents/39908/61716/Noveledo_3.jpg/dc4404c7-0f82-8bf4-e553-0a36cd708660?t=1674187522442,/documents/39908/61716/Noveledo_4.jpg/68d71c57-ced2-c0a0-42ae-9d1867f3f7d0?t=1674187520440;Área recreativa de Noveledo,Área recreativa de Noveledo,Área recreativa de Noveledo,Área recreativa de Noveledo;,,,;;;
;Aguillón;Taramundi;;;;;;;Punto panorámico Bar / Cafetería Senderismo Fuente Acceso tráfico rodado Zona de aparcamiento Zona infantil Barbacoa Zona de mesas Accesible autocares;;;;;;;;;;;;;;;;;;Área recreativa situada en Aguillón, muy cerca de Taramundi.;El Área recreativa se encuentra en una vega en la margen izquierda del río Cabreira, en una zona de alisales, entre suaves sierras, cubiertas de especies autóctonas (castaño y roble) y de repoblación (pino). Entorno rural, donde destacan las edificaciones tradicionales de piedra, con sus típicos tejados de pizarra.;Desde Vegadeo, tomamos la carretera AS-21 a Taramundi. El área se encuentra 3 km. antes de llegar a la villa, en el pueblo de Aguillón.;;;;;;;;43.366625,-7.089457;/documents/39908/61620/Aguillon_1.jpg/ca1aab8c-6e43-0783-a9a8-17709eea1991?t=1674187475075;Área recreativa de Aguillón;;;;
;Embalse de Alfilorios;Ribera de Arriba y Morcín;Centro de Asturias;0,52;;;;Abastecimiento de agua potable. Riego.;;;;;;;;;;;;;;;;;;;El embalse de Alfilorios está situado sobre el cauce del río Barrea, en el concejo de Ribera de Arriba, aunque casi la totalidad de su superficie se encuentra en el concejo de Morcín;El embalse de Alfilorios fue inaugurado en el año 1990 y tiene una capacidad de 9,14 hm³. Se construyó para abastecer de agua potable a las poblaciones de la zona central de Asturias, especialmente a la ciudad de Oviedo/Uviéu.   Su presa tiene 67 metros de altura. En la parte norte del embalse existe un área recreativa. Desde el pequeño mirador se contempla el Monsacro (monte sagrado) donde se encuentran dos capillas medievales.;Por la N-630 hasta Santolaya. Cruzar el pueblo para coger la MO-1 en dirección a La Roza, para poco antes entre Malpica y El Regueru desviarse por la MO-2 hacia Los Alfilorios.;Formaciones de ribera.;Se pueden encontrar aves acuáticas.;;;;;;43.296530, -5.917096;/documents/39908/61566/Embalse+de+los+Alfilorios.JPG/04b0c689-7b78-9871-a252-ccb536a918bd?t=1674187431991,/documents/39908/61566/istas+desde+Pe%C3%B1erudes+con+los+Alfilorios+al+fondo.jpg/bde80d67-fd78-53a9-b012-20015404bea9?t=1674187432804,/documents/39908/61566/EmbalseAlfiloriosMorcin.jpg/7477faa2-80a2-a9bf-3138-50b4a6c9910e?t=1674187429773,/documents/39908/61566/EmbalseAlfilorios_Morcin.jpg/4095434f-c33d-dd3d-d7fb-02eac5a741b7?t=1674187430368;Embalse de Alfilorios,Vistas desde Peñerudes del embalse de Alfilorios,Embalse de Alfilorios,Embalse de Alfilorios;,,,;Se prohíbe cualquier tipo de navegación;;
;La Peñona;Pravia;;;;;;;Zona de seguridad Punto panorámico Fuente Acceso tráfico rodado Zona de aparcamiento Barbacoa Zona de mesas Accesible autocares;;;;;;;;;;;;;;;;;;Un buen sitio para hacer un descanso y a la sombra de robles y castaños, dotada de cómodos bancos y mesas;Esta área recreativa se encuentra junto al mirador de La Peñona, a las faldas del monte que le da nombre. Cuenta con mesas y bancos de piedra, fuente y barbacoas. El acceso es cómodo ya que se realiza en coche y cuenta con un aparcamiento. Se puede acceder bien desde Somao, por la carretera AS-233, tomando una pista asfaltada una vez alcancemos La Calzada, o desde Pravia, por las localidades de Escoredo y Villafría. Se encuenta en la ruta en coche de Los Miradores.;Desde la N-632, en el cruce de Muros de Nalón, seguimos por la AS-223, Somao-La Calzada, desde la que otra carretera asfaltada asciende directamente hasta el área.  ;;;;;;;;43.524639,-6.138908;/documents/39908/61848/LaPenona_1.jpg/209734da-9def-a6c7-0f24-be159c85ec27?t=1674187608733,/documents/39908/61848/LaPenona_2.jpg/1d924209-decd-e7a2-ed45-21ad5886dbe1?t=1674187609333,/documents/39908/61848/LaPenona_3.jpg/85773a60-aadf-ad3e-6d3e-7deadd08b714?t=1674187610007,/documents/39908/61848/2021-AR-la-penona.jpg/496e4728-d77d-67e5-4815-545a4e1622c4?t=1674187611364;Área recreativa La Peñona,Área recreativa La Peñona,Área recreativa La Peñona,Área recreativa La Peñona;,,,;;;
;Embalse de Salime;Grandas de Salime;Occidente de Asturias;265,6;;;;Energía eléctrica;;;;;;;;;;;;;;;;;;;Embalse situado a 4 Km de Grandas de Salime y a 151 km. de Oviedo/Uviéu, es uno de los lugares de mayor belleza del concejo.;Cuenta con un recorrido hasta la cola del embalse de 30 km. lo que lo hace especialmente atractivo para la navegación y la práctica de todo tipo de deportes náuticos. Bajo sus aguas se encuentran las casas del antiguo pueblo de Salime, antigua capital del concejo, pero cuando disminuye el nivel del embalse resurge de entre las aguas el pueblo emergido.;Desde Grandas de Salime por la carretera AS-14.;;;;;;;;;/documents/39908/61557/Embalse-sin-gente-%283%29.jpg/ba2762df-0fa9-0a6a-0c60-1026eaa08cf0?t=1674187419966,/documents/39908/61557/Embalse-con-gente-%281%29.jpg/5a0fd4d9-d2f8-252a-65d5-e3a25f91b799?t=1674187416127,/documents/39908/61557/embalse-salime.jpg/b58e3c0c-6a60-ad49-11e6-f864f6804e29?t=1674187415568,/documents/39908/61557/Embalse-sin-gente-%281%29.jpg/e59602a8-c1d1-2481-b33c-645d9098e180?t=1674187418614;Embalse de Salime,Embalse de Salime,Embalse de Salime,Embalse de Salime;,,,;;;
;Reserva Natural Parcial de Cueva de las Caldas;Oviedo;Centro de Asturias;0.45;;;https://naturalezadeasturias.es;;;;;;;;;;;;;;;;;;;;Yacimiento prehistórico, declarado Reserva Natural Parcial, a pocos kilómetros de Oviedo/Uviéu.;Situada a pocos kilómetros de Oviedo/Uviéu, en el término de Priorio, la Reserva Natural Parcial de la Cueva de las Caldas abarca una zona de protección de 45 hectáreas. La cavidad principal de las Cuevas, de 5 metros de anchura, posee tres entradas: la principal, otra entrada menor, que actúa como surgencia discontinua y la surgencia principal, por debajo de la segunda. El desarrollo del complejo es sencillo, desde la entrada principal, un estrecho paso conduce a la galería del río subterráneo. En época de crecidas, parte del caudal rebosa por la surgencia discontinua. Aguas arriba, la galería se hace más amplia y con un desarrollo lineal, sin apenas ramificaciones. En su tramo medio aparece la sima de la Figalina, que enlaza con la entrada superior. Siguiendo la galería llegamos a un punto en que se hace impenetrable y solo la corriente de agua accede a la cavidad. En el interior de la cueva destaca la abundante presencia de quirópteros. Esta cueva-surgencia merece especial atención como ecosistema subterráneo y, sobre todo, por su yacimiento prehistórico de los periodos solutrense y magdaleniense.;La Cueva de Las Caldas se encuentra entre las localidades de Piñera y Les Caldes.;;;;;;;;+43.337255,-5.907951;/documents/39908/44004/ReservasCuevaLasCaldas1.jpg/d618e481-23df-dd9c-8033-d6fb0c6e7904?t=1674172478819;Cueva de Las Caldas;;;;
;La Toya;Parres;;;;;;;Zona de seguridad Fuente Acceso tráfico rodado Zona de aparcamiento Zona infantil Barbacoa Zona de mesas Accesible autocares;;;;;;;;;;;;;;;;;;Área recreativa ubicada en Cuadroveña, en una campa elevada rodeada de montañas, en Arriondas.;Protegida al norte por un bosquecillo de abedules, y con amplias vistas de la villa de Arriondas, El Fitu y la Cordillera Cantábrica. Dispone de barbacoas, mesas, fuente y aparcamiento.;Desde Arriondas vamos en dirección Cuadroveña por la N-634. A 2,3 km. tomamos una desviación a la izquierda y a 600 m. ya se ve el área que está a 1 km. de la desviación.;;;;;;;;43.374666,-5.205030;/documents/39908/61692/LaToya_1.jpg/367a6d08-66fa-7140-9e6a-26a32455175c?t=1674187505696,/documents/39908/61692/LaToya_2.jpg/2b4a31f3-a3b6-3e1e-8c93-723fa947ed80?t=1674187506468,/documents/39908/61692/LaToya_3.jpg/24bfc554-fb93-383b-c079-11a363d2f9b2?t=1674187507160;Área recreativa La Toya,Área recreativa La Toya,Área recreativa La Toya;,,;;;
;Las Xanas;Santo Adriano;;;;;;;Zona de seguridad Senderismo Acceso tráfico rodado Zona de aparcamiento Zona de mesas Accesible autocares;;;;;;;;;;;;;;;;;;Área recreativa próxima a la Senda del Oso en Santo Adriano.;El área es utilizada como zona de descanso para los visitantes de la Senda del Oso. Además es punto de partida o de llegada del paseo por el desfiladero (Ruta de las Xanas).;Desde Trubia a 11 km por la carretera de Proaza. Pasando el pueblo de Tuñón antes de llegar al de Villanueva, a la izquierda, parte una carretera a Coruxera que va a Las Caldas Soto de Ribera. Poco antes del inicio de la ruta de Las Xanas está ubicada el área.;;;;;;;;43.274643,-5.993969;/documents/39908/61866/LasXanas_1.jpg/bd6384c3-9481-f0f5-67d8-ed0bf1c626a1?t=1674187633327,/documents/39908/61866/LasXanas_2.jpg/f6ccbc5c-a0e8-7830-82e2-bc17446192ee?t=1674187633970,/documents/39908/61866/LasXanas_3.jpg/b44caeb4-a4b0-6ea2-e9f4-a160994a78cb?t=1674187634547,/documents/39908/61866/LasXanas_4.jpg/68f71a26-d15c-f99f-a67c-1af5b1b185f4?t=1674187635213;Área recreativa Las Xanas,Área recreativa Las Xanas,Área recreativa Las Xanas,Área recreativa Las Xanas;,,,;;;
;Lago del Valle;Somiedo;Centro de Asturias;22 Ha.;;1.560 m.;;;;;;;;;;;;;;;;;;;;;La laguna primitiva que ocupaba la depresión al pie del circo montañoso, tenía unos 15 m de profundidad y silueta arriñonada.;En su estado actual, después de su recrecido como consecuencia de las obras realizadas para su aprovechamiento, el lago del Valle es el que alcanza mayor extensión superficial entre los regionales y, a causa de su peculiar emplazamiento, está entre los más apreciados por sus atractivos naturales. El lago del Valle forma, junto a los lagos de Saliencia, el Conjunto Lacustre de Somiedo, declarado Monumento Natural.;Desde que fué declarado Somiedo como Parque Natural, no se puede acceder en coche al Lago del Valle.;Las pequeñas algas carófitas, de hasta unos 15 cm de talla, se reparten por debajo de los 2 m de profundidad, preferentemente entre los 2 y los 12 m, no pareciendo abundar hasta los 15 m de calado. La angiosperma encontrada a mayor profundidad fue el Potamogeton de hojas filiformes. También se encuentran plantas de hojas flotantes: Potamogeton natans, escaso y Ranunculus peltatus y, plantas emergentes, como Eleocharis palustris, la cual prefiere aguas someras. Por último, la zona de pronta desecación, además de estar ocupada parcialmente por alguna de las plantas anteriormente citadas y de otras que utilizan los recursos de los hábitats acuáticos y terrestres, como Rorippa, Lythrum, etc., se instalan sauces y plantas invasoras de cubetas desecadas, como Herniaria, Filaginella, etc. En cualquier caso, en la zona eulitoral, el recubrimiento es poco importante.;Entre otros animales viven briozoos (Plummatella repens),moluscos (bivalvo, Planorbis y gasterópodo), hirudíneos (Erpobdella monostriata y Dina lineata), oligoquetos, heretóptero (Micronecta poweri), dípteros, coleópteros, efemerópteros, anfibios como la rana parda y el sapo común (Rana temporaria y Bufo bufo), la trucha común y el piscardo.;;;;;;43.041418,-6.139483;/documents/39908/61482/LagoDelValle1.jpg/b64260dc-f2e3-d22b-525a-08eaf8b1bb3b?t=1674187345553,/documents/39908/61482/Lago_del_Valle3.jpg/e259998f-03b7-3441-3788-03a8f991f19c?t=1674187347476,/documents/39908/61482/LagoDelValle2.jpg/d6447255-31b3-af44-7ef8-4df4a2174e53?t=1674187346156,/documents/39908/61482/Lago_del_Valle4.jpg/7590070a-271d-f554-1e8f-a7a91a00cf44?t=1674187346785;Lago del Valle,Lago del Valle,Lago del Valle,Lago del Valle;,,,;;;
;Monumento Natural Complejo de Cobijeru;Llanes;Oriente de Asturias;;;;;;;;;;;;;;;;;;;;;;;;La Playa y Cueva de Cobijeru, Puente Caballo o arco de piedra natural y el 'bramadoriu' o bufón, forman el Complejo de Cobijeru, declarado Monumento Natural;Este complejo, de fácil acceso y situado a pocos kilómetros de la localidad de Buelna, tiene un gran valor paisajístico, geológico y educativo, por lo que es muy importante su conservación. Engloba un conjunto de depresiones kársticas de gran valor, así como un pequeño tramo de acantilado. La primera depresión forma la Playa de Cobijeru, que tiene la peculiaridad de encontrarse aislada del borde costero, siendo una de las pocas playas interiores del Principado. A escasos metros está la Cueva de Cobijeru que comunica el litoral con la zona interior más elevada a través de una galería sometida a los niveles de la marea. Completa este complejo un gran arco de piedra sobre el mar conocido como Puente Caballo, y un bufón con desarrollo oblicuo hacia la playa. ;El Complejo de Cobijeru se encuentra en el municipio de Llanes, en el tramo costero situado al noroeste de la localidad de Buelna.;;;;;;;;+43.39612,-4.61031;/documents/39908/43989/MonumentoComplejoCobijeru1.jpg/f3418f18-e1d8-d073-9488-2c5adcc650e0?t=1674172457585;Complejo de Cobijeru;;Complejo de Cobijeru;;
;Parque Natural de las Fuentes del Narcea, Degaña e Ibias;Cangas del Narcea, Degaña e Ibias;Occidente de Asturias;555;Todo el año;2.002 m. en el Pico Cueto de Arbas;Casa del Parque Natural de las Fuentes del Narcea, Degaña e Ibias 33816 Courias. Cangas del Narcea 985 813 981 pnfuentes@tragsa.es Centro de Interpretación e Información del Parque Natural de las Fuentes del Narcea, Degaña e Ibias "Casa Florencio" 33812 Zarréu. Degaña 610 588 462 turismodegania@degania.org Aula de la Naturaleza y Centro Interpretación de la Palloza de Ibias 33810. San Antolín. Ibias 615 164 329 turismo@ibias.es;;;;;;;;;;;/documents/39908/65880/Folleto+general+de+las+Fuentes+del+Narcea%2C+Dega%C3%B1a+e+Ibias.pdf/9883936b-01e9-a8f9-95b6-a14a8c12c0f2?t=1674194077986,/documents/39908/65880/Dec%C3%A1logo+turismo+responsable.pdf/a8b24296-d4bc-632b-559a-1070ac5ee894?t=1674194078744;Folleto general de las Fuentes del Narcea, Degaña e Ibias,Decálogo de Turismo Responsable;;;;;;;;El oso pardo y el roble son los principales pobladores de este inédito paraje del suroccidente asturiano.;Con una extensión de 555 kilómetros cuadrados, el Parque Natural de Fuentes del Narcea, Degaña e Ibias, fue declarado Parque Natural en el año 2002 y Reserva de la Biosfera en 2003. Cuenta con una de las más ricas naturalezas del Cantábrico. Dentro del parque se encuentran, además otros dos espacios naturales de gran interés: la Reserva Natural Integral del Bosque de Munie??os y la Reserva Natural Parcial del Cueto de Arbas. El paisaje del parque ofrece una gran variedad de matices, que se definen con personalidad en cada uno de los concejos que lo conforman: en la zona de Cangas del Narcea, el relieve es abrupto y accidentado al paso del río Narcea y sus numerosos afluentes son espacios ideales para la pesca de la trucha y el salmón. En esta área se encuentra incluido parte del fascinante bosque de Munie??os, cuya visita se mantiene restringida para preservar intacta su naturaleza excepcional. En otras masas forestales del concejo está permitida la caza de algunas de sus numerosas especies salvajes como el corzo o el jabalí. En el concejo de Degaña abundan las altas sierras y los verdes valles. Su paisaje constituye uno de los ecosistemas más típicos de la Cordillera Cantábrica. Destacan en él los robledales y otras especies, como abedules, tejos, acebos... así como su fauna salvaje, en la que se incluyen especies amenazadas como el oso, el gato montés y el urogallo. Degaña es, a su vez, una Reserva Regional de Caza muy apreciada por los amantes de esta disciplina. El tercer concejo que se incluye en el parque es Ibias. Una zona con gran relieve montañoso que, sin ser demasiado abrupto, dota al paisaje de gran belleza y riqueza vegetal. El monte de Valdebois, en el bosque de Munie??os, es su enclave más importante. Las fuentes del río Ibias y sus afluentes bañan las sierras y valles de aguas cristalinas. Ibias cuenta con testimonios que demuestran su población en el Neolítico y en la época castreña y romana. Dólmenes en Pradías y Chao Leda funden historia, cultura y arte con la naturaleza espectacular de parajes como Munie??os o los Ancares. Destaca en todo el concejo de Ibias la arquitectura popular de hórreos y pallozas, que son una evolución de la casa castreña. En el Parque Natural de las Fuentes del Narcea, Degaña e Ibias, los perros deben de ir bajo el control efectivo de su dueño (preferiblemente sujetos con correa), excepto perros guardianes de rebaños, perros de caza en cacerías y perros guía.;El Parque Natural de las Fuentes del Narcea, Degaña e Ibias se encuentra en el sector suroccidental de Asturias. Abarca la cuenca alta de los ríos Ibias y Narcea, y recorre los concejos de Cangas del Narcea, Degaña e Ibias.;La vegetación del Parque se caracteriza por su gran extensión de robledales y hayedos. El más importante de estos últimos, por su tamaño y estado de conservación, es el hayedo del valle del Hermo, que ocupa 10 kilómetros de ladera. Son también representativos los bosques de las cabeceras de los ríos Ibias y Molín. Los robledales se distribuyen por toda la zona, siendo el máximo exponente de roble albar el Bosque de Munie??os. Por Degaña, en la cuenca alta del Naviego o en la subida al puerto del Connio abundan los abedules. En la alta montaña, la vegetación está constituida por matorrales de enebros, brecinas y arándanos, siendo muy característicos los del Cueto de Arbas.;El más representativo de la fauna del Parque es, sin duda, el oso pardo cantábrico. Las condiciones de la zona, sus extensos bosques y las áreas de refugio poco accesibles, se convierten en un excelente lugar para su desarrollo y supervivencia. Aunque se ha reducido notablemente su número en las últimas décadas, es sin duda el animal seña de identidad de los bosques asturianos. También el lobo mantiene una población destacada, con áreas estables de cría y de grupos familiares de relativa importancia. Y, en las grandes extensiones de bosques y matorrales encontramos numerosos corzos y rebecos. Entre las aves cabe destacar al urogallo, animal en peligro de extinción, que encuentra su hábitat en los bosques de Hermo, Degaña y Munie??os. En la mayor parte de los ríos, en cuyas aguas abundan truchas y salmones, se puede observar la presencia protegida de la nutria.;;Casa del Parque Natural de las Fuentes del Narcea, Degaña e Ibias. Courias (Cangas del Narcea). Aula de la Naturaleza y Centro Interpretación de la Palloza de Ibias. San Antolín (Ibias). Centro de Interpretación e Información del Parque Natural de las Fuentes del Narcea, Degaña e Ibias "Casa Florencio". Zarréu (Degaña) Museo del Vino (Cangas del Narcea). Rutas: Laguna del Cueto de Arbas (Cangas del Narcea), Pomar de las Montañas (Cangas del Narcea), Laguna de Chagüeños (Degaña), Dolmen da Hucha (Ibias). Espacios protegidos en el Parque: Reserva Natural Integral de Muniellos (Cangas del Narcea e Ibias). Observación flora y fauna: Senderos Interpretativos del Oso (consultar: tierradeosos.es), vegetación de laguna en el Cueto de Arbas (Cangas del Narcea). Mirador del Alto del Acebo (Cangas del Narcea). Artesanos de la madera (los tixileiros o cunqueiros). Código de BUENAS PRÁCTICAS. Así suenan Las Fuentes del Narcea, Degaña e Ibias.  ;;;true;43.195990, -6.542865;/documents/39908/65880/Muniellos+-+Fuentes+del+Narcea%2C+Dega%C3%B1a+e+Ibias.jpg/235bdeca-c0cf-39c7-b634-2af636622bb1?t=1674194076725,/documents/39908/65880/05163_Reserva_Natural_Parcial_del_Cueto_de_Arbas.jpg/c1bc7121-da0e-f3f4-0735-d92189b913e8?t=1674194082003,/documents/39908/65880/Osos_entre_matorral.JPG/5a258abd-1881-18df-8f2b-19213e362cc7?t=1674194079381,;Munie??os - Parque Natural de las Fuentes del Narcea, Degaña e Ibias,Reserva Natural Parcial del Cueto de Arbas,Osos en Las Fuentes del Narcea, Degaña e Ibias,Vídeo del Parque Natural de las Fuentes del Narcea, Degaña e Ibias;,,,https://www.youtube.com/watch?v=p2jkN2EsGzQ;;;
;Carbayón de Valentín;Tineo;Occidente de Asturias;;;;;;;;;;;;;;;;;;;;;;;;Un roble muy longevo declarado Monumento Natural.;Es un ejemplar de Quercus Robur no muy alto, unos 8 m., aunque destaca por las dimensiones de su tronco, que alcanza los 10 metros de diámetro. La antigüedad de este roble, además de por el diámetro de su tronco, queda corroborada por datos históricos que aparecen citados, según la Enciclopedia Asturiana, en documentos anteriores al descubrimiento de América. Estos eran muy comunes en Asturias, pero la gran mayoría fueron talados por la gran calidad y dureza de su madera, muy utilizada para la construcción de hórreos y paneras, y también como vigas en la construcción de iglesias y palacios.;El Carbayón de Valentín se encuentra en el municipio de Tineo, en la localidad de Valentín junto a la capilla de San Pedro.;;;;;;;;+43.304325,-6.520509;/documents/39908/44130/Carbay%C3%B3n-de-Valent%C3%ADn-%2811%29.jpg/62e8f470-fc7b-927f-fd2d-b6f03e26b8d4?t=1674172596729,/documents/39908/44130/Carbay%C3%B3n-de-Valent%C3%ADn-%286%29.jpg/c58925d4-95ce-8583-ab69-25ca33e5c127?t=1674172594687,/documents/39908/44130/Carbay%C3%B3n-de-Valent%C3%ADn-%282%29.jpg/f414e9f6-a424-a24c-95fc-0695e4758be6?t=1674172592458,/documents/39908/44130/Carbay%C3%B3n-de-Valent%C3%ADn-%288%29.jpg/c56d67b7-9167-0604-4ee6-c73b4529a95d?t=1674172595451;Carbayón de Valentín,Carbayón de Valentín,Carbayón de Valentín,Carbayón de Valentín;,,,;Carbayón de Valentín;;
;El Puertu (Leitariegos);Cangas del Narcea;;;;;;;Punto panorámico Senderismo Fuente Zona de mesas;;;;;;;;;;;;;;;;;;Se encuentra en la Reserva Natural Parcial El Cuetu d' Arbas, en una pradería alpina en el monte Valdecuélebre.;Salpicada de vegetación subarbórea, fundamentalmente piornal, se encuentra en el entorno más inmediato a la Laguna d'Arbas. Desde el área se divisa El Puertu (Leitariegos) y El Cuetu d'Arbas. Dispone de fuente, mesas y bancos de piedra. Es posible visitarla realizando la ruta de senderismo SL.AS.20 Ruta El Cuetu d'Arbas que asciende a lo mas alto de El Cuetu d'Arbas.;Por la carretera AS-213, de Cangas del Narcea - Villablino, a la altura de El Puertu (Leitariegos), nos desviamos al monte Valdecuélebre por la ruta SL.AS-20 El Cuetu d'Arbas.;;;;;;;;42.991954,-6.419666;/documents/39908/61686/ElPuertuLeitariegos_1.jpg/f84d3d4c-17b6-1b1f-202f-64e1ff7c967f?t=1674187504427;Área recreativa El Puertu Leitariegos;;;;
;Llorío;Laviana;;;;;;;Acceso tráfico rodado Zona de mesas;;;;;;;;;;;;;;;;;;Área recreativa a orillas del río Nalón, en Llorio, Laviana.;Está situada en la curva de la Mozquita rodeada por un entorno de altas montañas de caliza.;Desde Pola de Laviana por la AS-17 en dirección a Caso, hasta la cercana población de Llorío.;;;;;;;;43.232949,-5.518754;/documents/39908/61647/Llorio_1.jpg/dd02c31a-3b35-9dff-23ea-ce4493b58969?t=1674187485507,/documents/39908/61647/Llorio_2.jpg/2d6632c2-183b-9c29-c48a-9849c3f6dd54?t=1674187486153,/documents/39908/61647/Llorio_3.jpg/49e6e235-7861-8960-8559-ba4e393065bd?t=1674187486713;Área recreativa Llorío,Área recreativa Llorío,Área recreativa Llorío;,,;;;
;Salías;Coaña;;;;;Cartavio Webhttp://www.ayuntamientodecoana.com/index.php?M1=3&M2=69;;;;;;;;;;;;;;;;;;;;Área recreativa situada en la playa de Armazá, próxima a la localidad de Cartavio, en Coaña.;Ofrece un espléndido mirador al Mar Cantábrico. Dispone de un amplio aparcamiento y está equipada con bancos, papeleras, mesas, parrillas, fuentes, e incluso un pequeño refugio (techo de madera sobre pilares), que sirve de resguardo en caso de lluvia.;Desde la carretera N-634 nos desviamos al pueblo de Cartavio y seguimos las indicaciones dirección a la playa de Armazá.;;;;;Zona de seguridad Punto panorámico Senderismo Fuente Acceso tráfico rodado Zona de aparcamiento Barbacoa Zona de mesas Accesible autocares;;;43.556160,-6794391;/documents/39908/61929/Salias_1.jpg/cda887af-c59e-2de1-5147-678e9c259f8a?t=1674187665610,/documents/39908/61929/Salias_2.jpg/e52f3942-dfc4-dd32-23b1-2431d325810e?t=1674187666214,/documents/39908/61929/Salias_3.jpg/a62eba95-61c8-40b5-b54a-c59cbd2c8667?t=1674187666810;Área recreativa Salías,Área recreativa Salías,Área recreativa Salías;,,;;;
;Las Veigas;Allande;;;;;;;Senderismo Fuente Acceso tráfico rodado Zona de aparcamiento Barbacoa Zona de mesas;;;;;;;;;;;;;;;;;;Área recreativa fluvial en Pola de Allande, Allande.;Situada al lado del río Nisón, dispone de un amplio estacionamiento y se complementa con un paseo fluvial de 800 metros. Tiene agua potable, parrillas de las que se puede hacer uso todo el año, mesas y bancos. Además dispone de caseta bar y piscina abiertos del 15 de Junio al 10 de Septiembre. En una parcela municipal próxima se permite la acampada, con un máximo de diez tiendas de campaña.;Situada en Pola de Allande junto a la piscina municipal.;;;;;;;;43.270531,-6.603373;/documents/39908/61860/las-veigas+%284%29.jpg/c78bf9bf-1ffc-b459-649e-0b50fdc2fbcb?t=1674187622327,/documents/39908/61860/las-veigas+%286%29.jpg/befcc35e-9e18-5a06-d1e0-e62e5cb69f3f?t=1674187623495,/documents/39908/61860/las-veigas+%2815%29.jpg/cf1637d7-d6d7-da21-b0ce-ad2f226d1375?t=1674187629474,/documents/39908/61860/las-veigas+%288%29.jpg/e957be03-78cf-841e-7136-dad3f10a4cb5?t=1674187624694;Área recreativa Las Veigas,Área recreativa Las Veigas,Área recreativa Las Veigas,Área recreativa Las Veigas;,,,;;;
