Nombre;Concejo;Zona;Dirección;Código postal;Localidad;Horario;Tarifas;Teléfono;Email;Web;Más información;Época;Gestión;Archivo;Título;Facebook;Twitter;Youtube;Pinterest;Instagram;Rss;Canal ;Url;Título;Texto;Coordenadas;Slide;Título;Url;Fecha de Construcción;Observacion
Monasterio de Santa María de Villanueva de Oscos;Villanueva de Oscos;Occidente de Asturias;;33776;Vilanova;Cerrado temporalmente;;;;;;;;;;;;;;;;;;Monasterio del siglo XII fundado por el rey Alfonso VII.;El monasterio de Santa María fue durante siglos el centro organizativo del espacio agrario y económico de esta zona del occidente asturiano. Fue fundado en el año 1137 por el rey Alfonso VII y su esposa Berenguela, como cenobio de monjes benedictinos, aunque posteriormente fue ocupado por el Císter. Todos sus bienes pasaron a ser propiedad civil tras la Desamortización de Mendizábal, menos el templo, que se convirtió en iglesia parroquial. Las dependencias monacales fueron vendidas y convertidas en viviendas particulares, a excepción del claustro que se conserva en estado de ruina. De la primitiva fábrica románica sólo se conserva la iglesia, que desarrolla planta de tipo monástico del siglo XII: tres naves con la central sobresaliente en altura, cubiertas con techumbre de madera y cabecera con triple ábside, donde se utilizan las bóvedas de cañón y de cuarto de esfera. El interior destaca por su sobriedad y austeridad decorativa. Las naves de cinco tramos se separan mediante arcos apuntados, que se apoyan en unos pilares con forma de cruz. El único motivo decorativo sobresaliente es el sepulcro de Juan Álvarez Osorio, colocado en el presbiterio y que se protege con un arcosolio, canecillos y cornisa, decorados con simbólicas referencias funerarias. El edificio más reciente es el monasterio, que data de los siglos XVII y XVIII, cuya construcción se atribuye al maestro mayor de la catedral de Santiago de Compostela, Domingo Lois Monteagudo. La construcción se acopla al lado sur de la iglesia y reviste grandiosas proporciones con una austera y severa arquitectura. Al interior se accede a través de una bella portada, formada por un original arco con dovelas resaltadas entre dos pilastras que se alargan en la cornisa. Encima de la puerta se encuentra un sobresaliente balcón sin antepecho, rodeado por los escudos de España y de la orden del Císter. Toda la fachada es de sillares de pizarra y la cubierta de lajas pizarrosas, el material dominante en el occidente asturiano.;43.311592,-6.986192;/documents/39908/45963/Monasterio+de+Santa+Mar%C3%ADa+de+Vilanova.jpg/af89970f-e1d1-6129-fd28-b3234938621c?t=1674174684475,/documents/39908/45963/Iglesia+Monasterio+de+Santa+Mar%C3%ADa+de+Villanueva.jpg/a65e97c0-8f51-5924-b399-6f7203e0b9e5?t=1674174683391,/documents/39908/45963/H%C3%B3rreo+y+fachada+principal+Monasterio+de+Santa+Mar%C3%ADa+de+Vilanova.jpg/cd5b4317-f24c-d505-e869-a20c7bfb3a35?t=1674174682820,/documents/39908/45963/Monasterio+Santa+Maria+Villanueva+de+Oscos-ptio+central.jpg/65acaaa4-5a9f-a69b-81f4-ba5b0a08efea?t=1674174685081;Exterior Monasterio de Santa María de Vilanova,Interior del Monasterio de Santa María de Vilanova,Hórreo y fachada del Monasterio de Santa María de Vilanova,Patio central del Monasterio de Santa María de Vilanova;,,,;;Cerrado temporalmente
Monasterio de San Vicente;Oviedo;Centro de Asturias;C/ San Vicente, 3;33003;Oviedo/Oviéu;Martes a sábado: 10.00-13.30 y 16.00-18.00 h Domingos y festivos: 11.00-13.00 h Lunes cerrado;;985 215 405;;;;Gótico (siglo XVI);;;;;;;;;;;;El Monasterio es la sede del Museo Arqueológico de Asturias.;En este mismo lugar en el año 761, los abades Máximo y Fromistano fundaron el primer edificio de la ciudad, un monasterio dedicado a San Vicente, bajo la advocación de la regla de San Benito. El monasterio conoció, en el siglo XVIII, un gran esplendor económico y un renombre intelectual con la presencia del Padre Feijóo, que ocupó el cargo de abad. En el siglo XIX el claustro y otras dependencias se destinaron a Museo Arqueológico de Asturias. Los cuatro lados del piso bajo del claustro se abren al jardín por arcos de medio punto moldurados y se cubren con bóvedas de nervios de gran belleza, que se complican en los esquinales. La galería alta se establece a base de columnas con capiteles de zapata y un cerramiento de piedra. El número de arquerías se duplica en el piso superior, a la vez que se reduce su tamaño. La iglesia del antiguo monasterio es hoy la iglesia de Santa María la Real de la Corte, entre el Museo Arqueológico y el monasterio de San Pelayo. Fue trazada a mediados del siglo XVI por el maestro Juan de Cerecedo, El Viejo, como un templo de nave única. La nave de bóveda de cañón aparece perforada por capillas laterales, abiertas entre los contrafuertes, mientras que el crucero se divide en tres tramos y se cubre con una bóveda vaída. El acceso a la iglesia se realiza bajo un gran arco, cerrado por rejería de madera barroca, que se abre a un pórtico. En el crucero se encuentra la tumba del padre benedictino Feijóo, abad durante muchos años del monasterio de San Vicente, fallecido en 1764. A los pies de la iglesia está el antiguo huerto monástico, hoy convertido en la plaza de Feijóo, con la estatua del erudito en actitud pensante.;43.363051,-5.842179;/documents/39908/45984/MonasterioSanVicente1.jpg/061f85bc-cb82-4193-ffe9-94f581d867c5?t=1674174702324,/documents/39908/45984/MonasterioSanVicente2.jpg/55b898a9-7f94-035f-01c0-415c9fa29627?t=1674174702916,/documents/39908/45984/MonasterioSanVicente3.jpg/81e12db3-bae0-cf22-7708-8da675f588da?t=1674174703551,/documents/39908/45984/MonasterioSanVicente4.jpg/93f4d69e-4bf6-c257-c3ee-d6751f4ec1a9?t=1674174704143;San Vicente,San Vicente,San Vicente,San Vicente;,,,;;
Ermita de Santiago (Morcín);Morcín;Centro de Asturias;;33161;Los Yanos;;;985 783 162;;;;Románico;;;;;;;;;;;;La ermita de Santiago o Capilla de arriba está edificada, según la leyenda, sobre el pozo de Santo Toribio en el que estaban ocultas las reliquias de la Cámara Santa.;La ermita de Santiago o Capilla de arriba está edificada, según la leyenda, sobre el pozo de Santo Toribio en el que estaban ocultas las reliquias de la Cámara Santa. Al igual que la Magdalena, data de época bajo medieval. Tiene planta octogonal y ábside semicircular. A uno de sus lados precedido de tramo recto está la llamada Cueva del Ermitaño. Toda la construcción es de mampostería, el exterior se protege con contrafuertes y pequeños vanos se abren en los muros.La puerta de acceso sobresale del cuerpo del edificio. Es de arco de medio punto dovelado. El interior está abovedado con nervaduras que apean sobre los contrafuertes. El ábside se cubre con bóveda de cañón en su tramo recto y de esfera el tramo semicircular. El espacio lateral a la cueva del Ermitaño también está abovedado. En el interior se conseva una mesa de altar y restos de pintura de murales. La ermita de Santiago fue restaurada en 1986 y 1989 por la Consejería de Educación, Cultura y Deportes.;43.261573,-5.890862;/documents/39908/45999/ErmitaSantiago1.jpg/40ce35fb-8184-4853-eaf6-dec7942a04d0?t=1674174712028,/documents/39908/45999/ErmitaSantiago2.jpg/8389fd4d-d099-8345-ee5f-d859dcf1cb43?t=1674174712749;Ermita de Santiago,Ermita de Santiago;,;;
Ermita de la Santa Cruz;Cangas de Onís;Oriente de Asturias;Avda. D. Constantino Glez y González, 7;33550;Cangues d' Onís/Cangas de Onís;;;985 848 005 (información y reservas);;;;;;;;;;;;;;;;La Capilla de la Santa Cruz albergó la Cruz de la Victoria y está declarada Bien de Interés Cultural.;Sobre un primitivo dolmen, en el año 737 el Rey Favila construyó una capilla que albergase la Cruz de madera que Pelayo enarboló en la Batalla de Covadonga y que luego se convirtió en la Cruz de la Victoria. Se cree además que fue la primera iglesia cristiana que se levantó en Asturias tras la reconquista. La estructura del dolmen está formada por cinco grandes lajas de piedra y dos más pequeñas que forman un rectángulo. La cámara interior estuvo cubierta por un gran túmulo de cantos rodados y piedras. La losa que hoy vemos es una losa sepulcral moderna. En la construcción de los bloques se emplearon rocas calizas, areniscas y cuarcitas. Las caras interiores del dolmen tienen grabados, pinturas y piqueteados. La capilla, que alberga al dolmen es una construcción reciente de acuerdo con los modelos estilísticos de la zona. Tiene planta rectangular, dividida en dos partes, capilla y pórtico. El pórtico engloba la escalera de acceso. La cubierta del pórtico se sujeta con una columna toscana y un muro rematado con espadaña. Los muros de la nave se refuerzan con dos contrafuertes y una ventana hornacina que ilumina el interior. La capilla se cubre con bóveda de cañón. Una lápida colocada en el muro, recuerda la antigua inscripción de Favila. Desde el centro de la capilla es visible el dolmen.;43.35275,-5.130377;/documents/39908/45990/ErmitaSantaCruz1.jpg/9fd1ec76-7ab0-e348-8029-37f04c10500d?t=1674174706843,/documents/39908/45990/ErmitaSantaCruz2.jpg/f19fd4a4-744d-e825-e098-b2ab06e5b3af?t=1674174707418;Ermita de la Santa Cruz,Ermita de la Santa Cruz;,;737;
Iglesia de Santiago (Pesoz);Pesoz;Occidente de Asturias;Bo. Pesoz, 46;33735;Pesoz;;;;;;;Románico;;;;;;;;;;;;La iglesia es uno de los elementos más emblemáticos de Pesoz.;El templo tiene su origen en el románico, previsiblemente en el siglo XIII, aunque fue reconstruido y engrandecido sucesivamente: la portada de ingreso en el siglo XV, una capilla lateral en el XVII, y la del lado opuesto en el XIX. El templo es de una sola nave con capillas laterales. Al exterior presenta planta cuadrada, de la que sobresale el ábside. Los muros son de mampostería de pizarra revocada, con sillares en esquinas y vanos. La cubierta es de pizarra con espadaña de dos vanos. El templo conserva varias obras barrocas del XVIII: un Crucificado de talla muy popular, tres retablos y varias imágenes.;43.257690,-6.876326;/documents/39908/46038/IglesiaSantiagoPesoz1.jpg/bfcd3584-9d5c-5802-a478-1d7103e23894?t=1674174731843;Iglesia de Santiago (Pesoz);;;
Santuario de los Mártires Cosme y Damián;Mieres;Centro de Asturias;Parroquia de Cuna;33615;Insierto;Domingos y festivos: Abierta por las tardes.;;985 426 097;;;;Siglo XVIII;;;;;;;;;;;;Centro religioso contruido en el siglo XVIII y ampliado en el XIX;Según la tradición, el culto a los mártires Cosme y Damián se remonta al tiempo del traslado de las reliquias de Toledo a Oviedo/Uviéu en la época de la invasión musulmana. A la original planta de cruz latina, del siglo XVIII, se le añadió en el siglo XIX el pórtico que rodea la iglesia en tres de sus fachadas y la torre del campanario. Ésta última, de sección cuadrada, está dividida en tres plantas, la inferior abierta y recubierta por un paramento de piedra, las otras dos están separadas por una línea de impostas. Al templo se accede, bajo la torre, por una puerta con orejas barrocas. Los materiales utilizados en la fábrica son mampostería para muros, madera para el pórtico y sillería para esquinas, vanos, etc. La cubierta es a dos aguas en nave y cuatro en la torre. En el interior, la nave se cubre con bóveda de cañón, con lunetos y crucería la parte de la cabecera. Toda la bóveda está decorada con pinturas. Frente al santuario, existe aún la llamada Casa de la Novena, en cuyo interior se conserva un limosnero popular del siglo XVIII.;43.220808,-5.806600;/documents/39908/45978/2022-SantuarioCosmeDamian1-%281%29.jpg/f6ce0d92-6ad5-2fb3-386f-ea79f8cc3ca2?t=1674174699353,/documents/39908/45978/2022-SantuarioCosmeDamian1-%282%29.jpg/eb13a123-6024-a5e4-877b-88afd2f82861?t=1674174699930;Santuario de los Mártires Cosme y Damián,Santuario de los Mártires Cosme y Damián;,;;
Capilla de San Roque (Llanes);Llanes;Oriente de Asturias;Pl. de San Roque, 2;33500;Llanes;;;;;;;Siglo XIV;;;;;;;;;;;;El día grande de San Roque se celebra el día 16 de agosto.;La capilla, del siglo XIV, es lo que queda en pie del hospital de peregrinos vinculado al Camino de Santiago, que en plena Edad Media ordenó construir Juan Pérez de Cue, y es una de las edificaciones más antiguas de la villa de Llanes. La pequeña capilla, situada en la plaza del mismo nombre, es también lugar de referencia e inspiración de las fiestas y el bando de San Roque, es uno de los símbolos identitarios de Llanes, cuyo día grande se celebra el día 16 de agosto. Y junto con La Magdalena y La Guía es uno de los bandos llaniscos.;43.420395,-4.755355;/documents/39908/45912/CapillaSanRoque1.jpg/a74c7069-79a6-1384-c4b5-2c036edc0239?t=1674174639470;Capilla de San Roque interior;;;
San Isidoro el Real;Oviedo;Centro de Asturias;Pza. de la Constitución;33009;Oviedo/Uviéu;;;985 215 428;;;;Barroco (siglo XVI);;;;;;;;;;;;La iglesia se encuentra junto al ayuntamiento en pleno casco antiguo de Oviedo/Uviéu.;Esta iglesia, antes de San Matías, formaba parte del colegio de San Matías construido en el siglo XVI siguiendo el esquema constructivo jesuítico. El conjunto estaba formado además por las antiguas escuelas (actual edificio del Intituto Británico) y una residencia derribada en el año 1879 para levantar el mercado de la carne. Se empezó a construir en 1578 con dinero legado testamentariamente por doña Magdalena de Ulloa para crear un colegio de jesuitas y se concluyó en 1681. En 1770, como consecuencia de la expulsión de los jesuitas, pasó a ser la actual parroquia de San Isidoro. La iglesia, de estilo barroco, es de planta rectangular con nave única formada por cuatro tramos a los que se abren capillas laterales intercomunicadas, crucero alineado de gran altura pensado para recibir la cúpula y cabecera cuadrada con dos sacristías laterales. Los tramos de la nave se separan por pilastras cajeadas y se cubren con bóveda de cañón con lunetos al igual que las capillas laterales y los brazos del crucero, éste se cubre con una cúpula sobre pechinas y la cabecera con bóveda de arista. La planta y el diseño del primer piso de fachada podrían atribuirse a Juan de Tolosa. La fachada se estructura en tres partes, en la central se sitúa la puerta principal enmarcada por semicolumnas, entablamento y frontón partido.;43.360539,-5.845331;/documents/39908/45933/SanIsidoroReal1.jpg/c08bb292-d97a-2758-66e6-c550ba3b77e6?t=1674174663015;San Isidoro el Real;;;
Basílica de Santa María Magdalena (Cangas del Narcea);Cangas del Narcea;Occidente de Asturias;C. Cta. de la Vega;33800;Cangas del Narcea;9:30-13:30 h 17:00-20:30 h Domingos sólo mañanas No visitable durante los oficios religiosos.;;;;;;Barroco;;;;;;;;;;;;La Basílica de Sta. María Magdalena, antigua colegiata, responde a traza de Fray Bartolomé Lechuga.;La basílica construida en el siglo XVII, constituye una de las mejores muestras del barroco asturiano. Está ubicada en la localidad de Cangas del Narcea, junto al puente colgante, uno de los símbolos de la localidad, y en su entorno se dispone el mercado semanal. Santa María Magdalena se estructura en planta de nave única, con tres capillas laterales a cada lado y cabecera cuadrada de tres ábsides, siendo el central de mayor tamaño que los laterales. Al exterior presenta un hermoso juego de volúmenes destacando en altura el crucero que cubre la cúpula del interior. La fachada principal se estructura en un cuerpo central y dos torres laterales de sección cuadrada. Las torres se rematan con dos torrecillas, bajo las cuales se abren los huecos de medio punto de las campanas. En el centro de la fachada, sobre un cuerpo saliente, se abre una gran puerta de arco de medio punto, rodeada de molduras. Sobre el dintel se coloca una hornacina rematada con un frontón de bolas. Todo el frente de la portada se cubre con otro frontón que tiene en su centro un escudo. Por encima de éste una barandilla une las dos torres, y una imposta lo recorre por debajo remarcando la altura interior. En el interior, tanto la nave como las capillas se cubren con bóvedas de lunetos. La parte del crucero se cubre con cúpula de piedra. En dos de las pechinas de la cúpula se sitúan los escudos de Queipo de Llano y Queipo-Valdés.;43.177325,-6.552219;/documents/39908/45921/ColegiataSantaMariaMagdalena1.jpg/2b4a4260-893c-cbc5-b322-690e360802d0?t=1674174653203;Colegiata de Santa María Magdalena;;;
Colegiata de San Pedro;Teverga;Centro de Asturias;AS-265;33111;La Plaza;Consultar;2€ persona.;696 816 915 (Guía);fuenteseca30@hotmail.com;;;Románico;;;;;;;;;;;;En esta interesante iglesia, edificada entre 1069 y 1076, parecen enlazarse la arquitectura prerrománica asturiana con el románico primitivo.;San Pedro de Teverga tiene su origen en el estilo románico primitivo del siglo XI, aunque se desconoce con exactitud la fecha de su fundación. El templo presenta planta basilical dividida en tres naves cubiertas con bóvedas de cañón, cabecera rectangular dividida en tres capillas mediante dos arcos y porche o nártex a los pies, donde se sitúa la torre campanario erigida en el siglo XVIII. En el interior, el porche se encuentra dividido en tres naves con dos columnas centrales muy anchas y bajas, y sus bóvedas quedan sustentadas por otras cuatro arrimada a ambos lados, con toscos capiteles cúbicos las centrales, y baco cuadrado. La decoración de estos capiteles es tosca: temas vegetales tallados a bisel, hombres y animales muy planos y temas geométricos. Desde el punto de vista iconográfico son más interesantes los correspondientes a las naves: figuras humanas, cuadrúpedos con cabeza de oso y cola, hombres barbados en actitud de lucha, hombres con cabeza de oso o perro, etc. El cuerpo de la iglesia es muy elevado, los arcos fajones sobre pilares, descansan en grandes columnas con capiteles distintos a los modelos tardíos del prerrománico.  La decoración exterior es muy interesante: cornisa ajedrezada y canecillos zoomórficos aparecen por primera vez como decoración específica del románico. Unidos a la Colegiata están la casa abacial y el claustro, terminados de construir en 1670, según la inscripción de una columna. Esta iglesia fue restaurada en 1981 y 1990 por la Consejería de Educación, Cultura y Deportes.En la sacristía de la iglesia existe un museo en el que destacan los cadáveres momificados del Marqués de Valdecarzana y de su hijo Pedro de Miranda, el abad de la Colegiata desde 1690 a 1720.;43.158678,-6.102182;/documents/39908/46017/colegiata-san-pedro-teverga.jpg/3112410e-21e7-4d4a-7828-9ee381c462ce?t=1674174723004,/documents/39908/46017/campanario-colegiata.jpg/72c66324-169b-98a5-b8c5-e42adf5dcc45?t=1674174723843,/documents/39908/46017/colegiata-san-pedro-teverga+%283%29.jpg/cbbdc7be-6785-40b6-326c-37144d1a3f10?t=1674174722308,/documents/39908/46017/colegiata-san-pedro-teverga+%281%29.jpg/57b49f59-6740-bbce-0cd5-228739104af8?t=1674174721710;Colegiata de San Pedro (La Plaza),Vistas desde el Campanario de la Colegiata de San Pedro (La Plaza),Colegiata de San Pedro interior,Colegiata de San Pedro interior;,,,;;
San Bartolomé (Par??eiru);Villayón;Occidente de Asturias;;33717;Par??eiru;;;;;;;Siglo XVIII;;;;;;;;;;;;En torno a la iglesia se celebran las fiestas parroquiales en el mes de agosto.;La iglesia parroquial es de nave única, con arco de triunfo que delimita un amplio presbiterio, con dependencias laterales. Tiene cabecera plana, más elevada que la nave, cabildo en los lados oeste y sur, con banco de piedra corrido, y espadaña de tres huecos con adorno de pináculos rematados con bola. La puerta, a los pies, es adintelada, con enmarque de piedra y pequeñas orejas. Lo más interesante de la iglesia es el retablo, barroco, del primer tercio del siglo XVIII, de madera tallada y repintada en alegres colores. Tiene banco de tres partes, en la central se abre la puerta del Sagrario. El único piso se divide en tres calles, delimitadas por columnas salomónicas que se cubren de hojas de parra y racimos de uvas. El ático es curvo, rematado también en voluminosa tarjeta. Está presidido por la Virgen de la Velilla, de vestir, en la que sólo se tallan las partes vistas. A su izquierda se coloca una Inmaculada, y a la derecha el titular de la iglesia, San Bartolomé. En el ático se dispone la imagen de Santo Domingo.;43.401739,-6.669131;/documents/39908/46065/BartolomeParlero1.jpg/e42487bd-afbf-d741-b990-93f8c921f4a3?t=1674174744681;San Bartolomé de Parlero;;;
Iglesia de San Martín de Escoto (Sotu);Parres;Oriente de Asturias;;33585;Llames;;;;;;;Siglo XVI;;;;;;;;;;;;El templo pasó por varias reformas y añadidos.;Situada en las proximidades de Sotu, dentro del antiguo coto de Llames, la iglesia de San Martín de Escoto fue construida a mediados del siglo XVI , con materiales procedentes de la iglesia del monasterio femenino de San Martín de Dueñas, disuelto el siglo anterior por la relajación de las monjas. El templo que hoy conocemos pasó por varias reformas y añadidos, ofreciendo un aspecto heterogéneo con reminiscencias de varios períodos. La iglesia está relacionada históricamente con el monasterio de San Martín de Soto de Dueñas, ocupado por monjas benedictinas que fueron trasladadas al cercano monasterio de Villamayor (Piloña). Posteriormente, el monasterio fue ocupado por monjes cistercienses de Valdediós, y, finalmente, pasó a formar parte del señorío del monasterio de San Pelayo de Oviedo/Uviéu en 1530. Este abandono condujo al monasterio a la ruina, pero parte de los restos del edificio fueron utilizados en la edificación de la iglesia de San Martín, en el siglo XVI. El trazado de la planta es común a las iglesias románicas rurales: nave única rectangular, cubierta con techumbre de madera a dos aguas, y cabecera cuadrada, con bóveda de crucería apuntada (bóveda que puede responder a una fase constructiva gótica, siglos XIV y XV). En la decoración se acusa la confluencia de estilos sucesivos. Los capiteles del arco de triunfo están decorados en estilo románico clásico del siglo XII, tienen forma troncopiramidal con hojas de palma dispuestas en haces separados, semejando unos arquillos estriados. La capilla mayor presenta una decoración más tosca, a pesar de haber sido realizada unos dos siglos después. Los nervios de la bóveda descansan sobre ménsulas historiadas con figuras antropomórficas y de animales. Desde la cabecera se accede a la capilla de Santa Lucía, con muestras de pintura popular. En la bóveda de cañón con que está cubierta la capilla, hay una representación bastante arcaica del Cristo en majestad. Dos cenefas con cabezas de querubines separan esta figura de las paredes de la capilla: en la occidental se representa a Santa Lucía y en la oriental, el enterramiento de San Martín. Estas pinturas se conservan en muy malas condiciones. Los muros de la iglesia son gruesos, realizados en mampostería, con sillar en las esquinas y machones que refuerzan la cabecera. Se abren pocas ventanas. Las dos portadas, de medio punto, presentan decoración: alfiz moldurado que descansa sobre ménsulas y figuras antropomórficas. La iglesia de San Martín de Escoto, en Llames de Parres, fue restaurada por la Consejería de Cultura en 1985 y declarada Monumento Histórico Artístico.;43.35628,-5.216297;/documents/39908/46011/SanMartinEscoto1.jpg/28c21a5d-41b3-3b16-4452-9cfd893c741a?t=1674174718441,/documents/39908/46011/SanMartinEscoto2.jpg/6bed9174-6e80-8321-96df-3844a963a816?t=1674174719029;Iglesia de San Martín de Escoto (Soto de Dueñas),Iglesia de San Martín de Escoto (Soto de Dueñas);,;;
Monasterio de San Pelayo;Oviedo;Centro de Asturias;C/ San Vicente;33003;Oviedo/Uviéu;;;985 218 981;mspelayo@telefonica.net;;;Barroco;;;;;;;;;;;;El Monasterio sirve como archivo histórico provincial.;El monasterio de las benedictinas de San Pelayo fue fundado en época medieval bajo la advocación de San Juan Bautista. Sin embargo, con el traslado de los restos de San Pelayo a Oviedo/Uviéu para ser depositados en este convento, varió su designación para denominarse Monasterio de San Pelayo. Se trata de un convento de clausura que forma parte de la historia de Asturias, ya que en mil años de existencia ha logrado acopiar un notable fondo documental y, en la actualidad, sirve como Archivo Histórico Provincial. Las monjas que lo ocupan han sido conocidas tradicionalmente como las Pelayas. En su espléndido archivo se pueden encontrar los fondos de los monasterios de San Bartolomé de Nava, Santa María de Villamayor, San Vicente y Santa María de la Vega, junto a abundantes objetos y reliquias que pasaron a formar del convento. La iglesia fue construida entre los años 1592 y 1600. Su planta es sencilla, una sola nave carente de capillas. La fachada, entre muros laterales y sobe una alargada escalinata, es de fábrica sencilla, construida con sillares perfectamente escuadrados. Está formada por tres puertas con molduras, siendo la central de mayor altura. Sobre ésta se coloca una amplia hornacina con la figura en piedra de San Pelayo y un rosetón acristalado. El interior está magnificado por la sillería del coro procedente del antiguo convento de San Vicente. Tallada sobre madera a finales del siglo XVI, su factura es sencilla y su estilo manierista. Se compone de treinta y seis sitiales altos con un extenso repertorio iconográfico en los respaldos, donde aparecen retratados reyes y emperadores. En 1703 se diseñó la vistosa fachada de la vicaría, basándose en los palacios barrocos. La planta baja se organiza con tres grandes arcos entre columnas toscanas exentas, que sustentan los balcones de la primera planta, balconadas decoradas con molduras de orejas entre columnas jónicas. En la segunda planta se colocan los escudos de la orden benedictina, por debajo del escudo real, que se sitúa en un destacado ático bajo frontón curvo y entre dos columnas corintias. El claustro tiene tres alturas que le convierten en una construcción maciza con cierto aire de monumental. Al igual que la iglesia, el claustro se sustenta en pilares y columnas de orden toscano. En el siglo XVII se sustituyó la antigua torre campanario por una nueva torre rematada con una flecha de tracería gótica, que reproduce en menor tamaño, la verticalidad de la torre de la Catedral.;43.363470,-5.842560;/documents/39908/45948/MonasterioSanPelayo1.jpg/c1344be1-01a6-fbda-6018-d904667a6033?t=1674174673845,/documents/39908/45948/MonasterioSanPelayo2.jpg/2d521694-6f2a-7687-73b6-cdf34d720a78?t=1674174674425;Monasterio de San Pelayo,Monasterio de San Pelayo;,;;
Colegiata de Santa María La Mayor (Salas);Salas;Occidente de Asturias;Plaza del Ayuntamiento;33860;Salas;Invierno Visita libre. Pedir las llaves en la Oficina de Turismo. Verano (15/06 a 15/09) y Semana Santa Todos los días: 11:00-14:00 h 16:00-20:00 h;;;;;;Gótico;;;;;;;;;;;;En la iglesia se encuentra el mausoleo del fundador de la Universidad de Oviedo.;La iglesia se alza imponente en el centro de la localidad de Salas, en pleno casco antiguo. Data del siglo XVI aunque posteriorente se le añadieron otros elementos como la torre campanario, las capillas y pórtico. La torre campanario, situada a los pies, es de planta cuadrada con dos contrafuertes en los ángulos y un cuerpo semicircular adosado, con bóveda de cuarto de esfera. En el lateral izquierdo de la iglesia, un cuerpo saliente rectangular, añadido en la primera mitad del siglo XVI, recoge la portada bajo arco cobijo, la puerta, bajo arco apuntado con una arquivolta acanalada con rosetas y rodeada de dovelas, está enmarcada por un alfiz gótico en cuyo centro se sitúa un escudo de armas. En el interior, la nave está dividida en dos tramos cubiertos con bóvedas estrelladas, más sencillas que la que cubre el ábside, el coro o tribuna, situado a los pies, se levanta sobre una bóveda de crucería nervada y arco carpanel. Todas las nevaduras arrancan de ménsulas sin decorar, quedando así los muros lisos. La iluminación se realiza através de largos y estrechos vanos de medio punto con doble derrame. La capilla mayor conserva un magnífico retablo barroco del escultor asturiano Luis Fernández de la Vega, a ambos lados, se hallan los nichos con las figuras orantes de los padres del arzobispo D. Fernando Valdés Salas, en la pared norte está el mausoleo renacentista del ilustre fundador de la Universidad de Oviedo, de finales del siglo XVI, realizado en mármol por el escultor italiano Pompeio Leoni (1576-1582).;43.408958,-6.261277;/documents/39908/45918/SantaMariaMayor2.jpg/642b62b7-5fcf-a5b9-c736-696302ce22ae?t=1674174651572,/documents/39908/45918/SantaMariaMayor1.jpg/0b5beda9-c39c-eba5-6b83-4853ab64036e?t=1674174650591,/documents/39908/45918/SantaMariaMayor3.jpg/447d44e8-7edb-297b-00b8-5e3253616b3d?t=1674174652516;Colegiata de Santa María La Mayor,Colegiata de Santa María La Mayor,Colegiata de Santa María La Mayor;,,;;
Colegiata de Santa María la Real de Tanes;Caso;Centro de Asturias;;339994;Tañes;;;;;;;Siglo XVI;;;;;;;;;;;;Es un templo con proporciones poco frecuentes en Asturias;La Colegiata de Santa María la Real de Tanes se encuentra al borde de la presa de Tanes y está constituida por un núcleo, la nave principal y varios añadidos que forman un curioso conjunto de proporciones poco frecuentes en los templos asturianos. El cuerpo central lo constituye la nave de planta rectangular y cabecera recta, de mayor altura que el resto de las dependencias. En el interior, la nave se divide en tres tramos por medio de pilastras con columnas adosadas y arcos fajones. Se cubre con bóveda de crucería. Por la cabecera se accede, desde el presbiterio, a una pequeña sacristía cubierta con crucería. A los pies de la nave hay un coro de madera sostenido por una triple arcada de piedra. A la izquierda de la nave se encuentra la Capilla del Nazareno, la construcción más antigua del conjunto. Esta capilla es un recinto de planta cuadrada cubierto con bóveda de cañón. Las fachadas occidental y sur están protegidas por un pórtico, cerrado en el frente y abierto con arquería en el lado sur. Desde el pórtico se accede a un recinto cuadrado que hizo funciones de escuela y vivienda del maestro. En el ángulo suroccidental de la fachada se abre la nueva sacristía. Es un recinto de planta rectangular y fachada independiente.;43.204097,-5.395984;/documents/39908/46053/Colegiata+Tanes+%2820%29.jpg/0a96c395-01cb-84ff-ad93-63f0007de43a?t=1674174738628,/documents/39908/46053/Colegiata+Tanes+%2817%29.jpg/3ad0792d-34c0-f1bd-0a3b-8a5d04f05fc0?t=1674174738059,/documents/39908/46053/Colegiata+Tanes+%282%29.jpg/ec0451ea-b68f-69e2-4970-dfceabd92776?t=1674174736656,/documents/39908/46053/Colegiata+Tanes+%285%29.jpg/b3e0deaf-399c-4bec-6361-26be7efc23ae?t=1674174737264;Colegiata de Santa María la Real de Tanes,Colegiata de Santa María la Real de Tanes,Colegiata de Santa María la Real de Tanes,Colegiata de Santa María la Real de Tanes;,,,;;
Capilla de Santa Ana (Llanes);Llanes;Oriente de Asturias;Plaza Santa Ana;33500;Llanes;;;;;;;Siglo XV;;;;;;;;;;;;Capilla en honor a los marineros.;La capilla de Santa Ana es el lugar de veneración de la patrona de los marineros. Ubicada en el corazón del Casco Histórico de Llanes, su estructura cuenta con un pórtico delantero y es de nave única y cuadrada. Datada en el siglo XV, posee un interesante y recién restaurado retablo del siglo XVII. La imagen de esta capilla es la protagonista de la procesión marinera de Santa Ana. Durante este día, la imagen de la Virgen recorre las calles de Llanes acompañada de gaiteros y marineras, que entonarán los cantos al son de las panderetas.;43.421095,-4.752864;/documents/39908/45909/SantaAna1.jpg/3211cbd9-b478-9253-214f-1c9f4406a312?t=1674174638601;Capilla de Santa Ana;;;
