Nombre;Concejo;Zona;Dirección;Teléfono;Email;Web;Más información;Facebook;Twitter;Youtube;Pinterest;Instagram;Rss;Canal ;Url;Descripción breve;Descripción;Horario y duración de las visitas;Tarifas;Visitas guiadas;Productos que comercializa;Indicar los productos que disponen de D.O.P. o I.G.P.;Observaciones;Coordenadas;Slide;Título;Url
Cofradía del Arroz con Leche;Cabranes;Oriente de Asturias;;985 898 002;;;;;;;;;;;;El origen y el por qué de la Cofradía del Arroz con Leche surge en torno al Festival del Arroz con Leche de Cabranes, Fiesta de Interés Turístico;En 2014 donde de forma legal, se constituye la Cofradía del Arroz con Leche de Cabranes, como Asociación Cultural, y cuyo principal fin viene definido en sus estatutos, y se resume en: "La participación en la  promoción y organización del Festival del Arroz con leche de Cabranes" En este momento la Cofradía cuenta con unos 30 Cofrades de número y celebran su Gran Capítulo el segundo domingo de Mayo, coincidiendo con el Festival del Arroz con Leche de Cabranes.;;;;;;;43.403408,-5.425376;/documents/39908/66477/Cofradias_Arroz_con_Leche_2.jpg/fed4f23a-d7a9-4699-21b6-2e80e4523934?t=1674194859401,/documents/39908/66477/Cofradias_Arroz_con_Leche_1.jpg/a87a233b-7e41-43e3-dfa3-bed17ed96b34?t=1674194858836,/documents/39908/66477/Cofradia_Arroz_con_Leche.jpg/66705ee8-0647-d45f-9db4-220319b60b8a?t=1674194858225;Cofradía del Arroz con Leche,Cofradía del Arroz con Leche,Cofradía del Arroz con Leche;,,
Quesos Artesanos Rebollín;Salas;Occidente de Asturias;Polígono Industrial El Zarín - Parcela 5A;985 837 766;rebollin@agrovaldes.es;https://www.rebollin.es/;;https://www.facebook.com/queseria.rebollin/;https://twitter.com/QUESOSREBOLLIN;;;https://www.instagram.com/quesosrebollin/;;;;Las instalaciones de la Quesería El Rebollín, garantizan en todo momento la calidad de sus productos, consiguiendo así obtener un producto uniforme y de alta calidad;En el proceso de elaboración se siguen las siguientes fases, recepción de la leche, pasterización, coagulación, desuerado, moldeado, salado y maduración. En primer lugar, recibimos la leche, luego la pasterizamos, se le añaden los fermentos para que coagule, y después hemos de moldear la cuajada en moldes par a que el queso desuere para realizar a continuación el salado. Durante la maduración de los quesos, se los voltea para facilitar el proceso. Cuando ya han madurado se envasan al vacío. ;Horario variable (imprescindible reserva previa);5€ / pax;Visitas con horario variable y siempre con reserva previa;D.O.P.  Afuega'l Pitu Blanco y Rojo Rebollín Queso fusión de Sidra Rebollín Queso como una Cabra Rebollín Queso Vaca Rebollín Queso sin lactosa Rebollín;;Reservas: 985 837 766 / rebollin@agrovaldes.es;43.391144,-6.326429;/documents/39908/65982/2021-Quesos_Artesanos_Reboll%C3%ADn+%281%29.jpg/5adc3f9a-c677-ae11-0082-bf97f7775644?t=1674194260827,/documents/39908/65982/2021-Quesos_Artesanos_Reboll%C3%ADn+%282%29.jpg/8ab246cc-6083-9362-9a60-95d84648a47c?t=1674194261421,/documents/39908/65982/2021-Quesos_Artesanos_Reboll%C3%ADn+%283%29.jpg/86174780-94c4-4948-4273-ac631f5fb231?t=1674194262059,/documents/39908/65982/2021-Quesos_Artesanos_Reboll%C3%ADn+%284%29.jpg/648feb29-64ca-70ce-2cba-46bf1650c49f?t=1674194262742;Quesos artesanos El Rebollín,Quesos artesanos El Rebollín,Quesos artesanos El Rebollín,Quesos artesanos El Rebollín;,,,
Llagar Sidra Pamirandi;Cabrales;Oriente de Asturias;La Caleya. 33555 Asiegu;687 449 313;manuelniembro@gmail.com;https://www.rutalquesuylasidra.com/;;https://www.facebook.com/rutalquesuy.lasidra;;;;;;;;Ruta'l Quesu y la Sidra;Un paseo por la aldea de Asiegu en compañía de Javier y Manolo nos abre las puertas al mundo de Guillermina. La Asturias del queso de Cabrales y la sidra, la Asturias de la casería y los pastores, la de las paisanas y paisanos de toda la vida. Asiegu, a 400 metros sobre el nivel del mar, nos ofrece una amplia panorámica entre Arenas (130 m.) y la cima del Picu Urriellu o Naranjo de Bulnes (2519 m.). Desde aquí el valle, las prederías y los invernales, el bosque, la cuesta y la xerra, y los puertos con sus majadas… nos dan la clave para disfrutar plenamemte del paisaje de los Picos de Europa. Explicaremos la elaboración del queso de Cabrales sin entrar en la quesería para prevenir el contagio del coronavirus. Visitaremos la cueva de maduración de Los Sotámbanos y nuestro lagar de sidra Pamirandi para conocer los secretos mejor guardados del Cabrales y la sidra. Y todo ello culmina con los tortos, picadillo, Cabrales, sidra, borunu, fabes... y mucho más de la espicha (menú degustación) de la Sidería Casa Niembro.;Consultar;27,50 €/pax;Sí;Sidra Natural;;Las reservas se realizarán preferentemente online. Teléfono reservas: 985 845 001;43.325958,-4.862952;/documents/39908/65952/Llagar+Sidra+Pamirandi+%284%29.jpg/d728255d-4f62-9dda-f7cb-1ccb2089ca0c?t=1674194219427,/documents/39908/65952/Llagar+Sidra+Pamirandi+%281%29.jpg/61484af5-3aee-3cf3-9f86-6971d18f0921?t=1674194216474,/documents/39908/65952/Llagar+Sidra+Pamirandi+%282%29.jpg/594e15b5-4e92-392b-cebf-c68f57cb362d?t=1674194217145,/documents/39908/65952/Llagar+Sidra+Pamirandi+%283%29.jpg/d3e375e8-44d6-b378-b072-cc7d228803cd?t=1674194218676;Llagar,Proceso,Embotellado,Espicha;,,,
Sociedad Cultural y Gastronómica La Pegarata;Laviana;Centro de Asturias;Libertad, 2 - Bajo izda. 33980. La Pola Llaviana/Pola de Laviana;629 832 100;lapegarata@lapegarata.es;www.lapegarata.es;;;;;;;;;;La Sociedad Cultural y Gastronómica La Pegarata lleva 25 años desarrollando su labor en defensa del turismo y la gastronomía de Laviana y el Alto Nalón;La cofradía está formada por quince miembros, y a lo largo del año realiza actividades culturales como charlas y conferencias sobre distintos aspectos del universo social y cultural especialmente con iniciativas culinarias y turísticas, junto con los viajes por la geografía española. Tenemos los premios Tierra Verde de la Aspet y el nacional de Radio Turismo por la proyección del fenómeno turístico en la comarca del Alto Nalón. Y asimismo editamos varios libros sobre este entorno altonaloniano, sobre la historia de la Pegarata, sobre Palacio Valdés, la gastronomía y el Camino de Santiago por estos contornos.;;;;;;;43.2448002,-5.5626496;/documents/39908/66465/pegarata+%281%29.jpg/9088270c-b4b6-6464-6b02-6ec3648fbfc2?t=1674194841249,/documents/39908/66465/pegarata+%286%29.jpg/849a26de-94e6-cae1-49fe-ce764150a400?t=1674194845007,/documents/39908/66465/pegarata+%285%29.jpg/f9ab33e5-3f35-a75e-a218-df9282ad5f2d?t=1674194844426,/documents/39908/66465/pegarata+%287%29.jpg/50955fd5-fd03-3da2-0487-0525fb0f6cb9?t=1674194845596;Sociedad Cultural y Gastronómica La Pegarata,En La Pola Llaviana/Pola de Laviana tiene su sede la cofradía La Pegarata,Premio ASPET a la cofradía La Pegarata,Varios miembros de la cofradía La Pegarata;,,,
Bodegas Monasterio de Corias;Cangas del Narcea;Occidente de Asturias;Monasterio de Corias. 33800. Courias;985 810 493 / 670 659 579;bodega@monasteriodecorias.es;;;https://www.facebook.com/bodega.monasteriodecorias;https://twitter.com/bodegacorias;;;;;;;Conoce la historia y el proceso de elaboración del vino con DOP Cangas y disfruta de una cata de cuatro vinos.;En la visita podrás conocer la historia vitivinícola de la zona, así como  los  procesos de elaboración y controles de los caldos con DOP Cangas en nuestras instalaciones. El recorrido finaliza con una cata de cuatro de nuestros vinos. Realizamos servicio a domicilio. Gastos de envío gratuitos a partir de 60 €.;Horario: lunes a viernes: 12:00 y 18 h. Sábados: 12 h. Duración aproximada: 1 hora y media Imprescindible reserva previa.;5 €;Sí;Monasterio de Corias (DOP) Corias Guilfa (DOP) Escolinas (DOP) Novicio (DOP);;;43.195676, -6.542074;/documents/39908/65937/ViejosVi%C3%B1edos.jpg/e37a17b8-dcea-a49f-6580-2d11724bf68b?t=1674194198195,/documents/39908/65937/Vi%C3%B1aGrandiella.jpg/561cb4aa-a80e-393f-79dd-743e100121c6?t=1674194198817,/documents/39908/65937/SalaBarricas.jpg/1497367c-adfb-d1df-3550-085c0079a8ab?t=1674194196750,/documents/39908/65937/SalaCata.jpg/02817516-65fc-b28a-61c8-777ccb8b8278?t=1674194197585;Bodega Monasterio de Corias,Bodega Monasterio de Corias,Bodega Monasterio de Corias,Bodega Monasterio de Corias;,,,
Llagar Sidra Menéndez;Gijón;Centro de Asturias;Ctra. AS-248. Nº 8695. 33391. Fano. Gijón;985 137 196;gerardo@sidramenendez.es;https://www.sidramenendez.com/;;https://www.facebook.com/sidramenendez;;;;;;;;Visita guiada al lagar con degustación de sidra natural directamente del tonel.;Visita donde podrá ver el proceso de elaboración de las dos marcas de sidra natural que elaboramos a la vez que se hace un recorrido por las instalaciones del lagar. Desde la recepción de la materia prima hasta la planta de embotellado. Durante la visita se degusta la sidra directamente del tonel .  ;Lunes a viernes: 11:00 a 13:00 y 16:00 a 17:00 h. Duración aproximada de la visita 45 min. Imprescindible reserva previa. Durante los meses de octubre y noviembre época de campaña no se realizarán visitas guiadas. Debido a la COVID-19 las visitas al llagar están suspendidas temporalmente.    ;5 € / persona;Sí;Sidra Menéndez DOP Ecológica y Val D´Ornon DOP;;Puedes comprar nuestra sidra ONLINE Envíos a España y Europa. Tenemos también tienda propia para venta de sidra al público en el siguiente horario:  Lunes a viernes: 9:00 a 14 00 h y 16:00 a 19:30 h. Cerrado: sábados y domingos;43.461161, -5.620832;/documents/39908/65955/Sidra_Menendez3.jpg/a2e2addf-8c2f-d222-cd81-8b1ff77d5023?t=1674194220647,/documents/39908/65955/Sidra_Menendez2.jpg/8a80f19d-d9e2-1a99-aa5c-50555d4476ea?t=1674194220044,/documents/39908/65955/Sidra_Menendez4.jpg/377f1bd9-873c-e524-bd5b-f15f043373a6?t=1674194221217,/documents/39908/65955/Sidramenendez1.jpg/18542030-68cc-23b7-0547-f203dd34c869?t=1674194221851;Llagar Sidra Menéndez,Llagar Sidra Menéndez,Llagar Sidra Menéndez,Llagar Sidra Menéndez;,,,
Pomarada y Llagar Palacio de Meres;Siero;Centro de Asturias;Meres, 8. 33199. Meres;985 792 514 / 653 758 914;info@palaciodemeres.com;https://www.palaciodemeres.com/;;https://www.facebook.com/palaciodemeressa;;;;https://www.instagram.com/palaciodemeres/;;;;Palacio de Meres, declarado Conjunto Histórico Artístico.;El compljo está compuesto por casa-palacio, iglesia, llagar, jardines, bosques y pomaradas, todo ello repartido en unas diez hectareas de terreno. Celebramos reuniones, espichas, banquetes, se pueden hacer sesiones de fotos y rodajes cinematográficos, musicales... además de visitas turísticas y cultivo de manzanas. ;Lunes a sábado: 10:00 a 18:00 h. (imprescindible cita previa) ;Adultos: 5€ Niños: 2.5€;Sí;Porducción y venta de manzana asturiana ecológica y con denominación de origen. ;;Teléfono reservas: 985 792 514 Correo reservas: info@palaciodemeres.com;43.37824,-5.75259;/documents/39908/3475358/Palacio-de-Meres-%281%29.jpg/5e4ca36e-df05-10a4-85bd-efcff97878a5?t=1704359962368,/documents/39908/3475358/Llagar-antiguo-%282%29.jpg/4a963e24-7f46-f3fe-599c-ede92b96969f?t=1704359961070,/documents/39908/3475358/Pumarada-%284%29.jpg/7eb35a53-c0fc-683f-26bd-419e05abbabd?t=1704359963713,/documents/39908/3475358/Escanciado-%285%29.jpg/d946d745-2ded-71ed-b7b6-cfd5d6fa4c8d?t=1704359959778;Palacio de Meres,Llagar,Pumarada,Escanciado;,,,
Quesería El Cabriteru;Cabrales;Oriente de Asturias;Ctra. Gral. de Arangas AS-345. 33554. Arenas;605 608 720 / 985 846 717;info@queseriaelcabriteru.com;https://www.queseriaelcabriteru.com/;;https://www.facebook.com/elcabriteruqueseria/;https://twitter.com/elcabriteru;;https://www.pinterest.es/elcabriteru/_created/;https://www.instagram.com/elcabriteru/?hl=es;;;;Elaboramos nuestros quesos según la antigua tradición de la zona: empleando únicamente leche cruda de oveja y cabra de ganadería propia;Una experiencia turística única en Asturias para descubrir la vida en el campo. Será un acercamiento al mundo rural y al día a día de los trabajos de granja. Si vienes con tus hijos o tus nietos, será una vivencia muy enriquecedora pues si se dan las circunstancias, incluso podrán interactuar con corderos y cabritos. Imagínate, ¡una aventura inolvidable! Apúntate a disfrutarla. Tras el paseo por la granja, en la terraza a las orillas del río Ribeles, se hará una degustación de las tres variedades de este queso azul de autor acompañado de sidra casera. La granja y la quesería de El Cabriteru se encuentran a las afueras de Arenas de Cabrales, en una espaciosa finca junto al río. Tenemos tienda ONLINE. Los pagos pueden realizarse con tarjeta o transferencia bancaria. Envíos rápidos y a toda España (Islas no). Transporte especializado que mantiene la cadena de frío. No hay compra mínima. Portes 12 €;Julio y agosto: 11:00 a 12:30, 12:45 a 14:15, 16:30 a 18:00 y 18:15 a 19:45 h. Resto del año: 12:00 y 17:00 h. Duración aproximada: 1 h. 30 min.   ;5 €/pax;SÍ. Consultar horarios aquí.  ;Queso azul artesano elaborado exclusivamente con leche de oveja y/o cabra procedente de ganadería propia. Los quesos azules de El Cabriteru te trasladarán a la montaña asturiana y te harán recordar el auténtico sabor de antaño. Queso azul 100 % leche cruda de oveja. Queso azul 100 % leche cruda de cabra. Queso azul 2 leches (mezcla de leche cruda de oveja y leche cruda de cabra).;;Reservas: 985 846 717 / 605 608 720 / 600 628 178 Actividad especialmente indicada para familias con niños. Dispone de un amplio aparcamiento. Se recomienda reserva previa.  Admite mascotas.;43.313804,-4.807766;/documents/39908/65991/queseria_ganaderia_Arenas_de_Cabrales_El_Cabriteru_.jpg/78a473b1-962a-161b-5eeb-1bd52948171a?t=1674194276906,/documents/39908/65991/queser%C3%ADa_artesanal_El_Cabriteru_tres_variedades_de_queso_azul.jpg/3c55d1c4-8f1a-636b-f104-83da2fc55e4e?t=1674194276333,/documents/39908/65991/quesos_el_cabriteru_maduracion.jpg/b852b254-b49d-e334-cdb1-92da6eea2dc0?t=1674194277575,/documents/39908/65991/quesos_El_Cabriteru_premiados_internacionalmente.jpg/26847837-f3ff-af2a-028f-aaca7de55b04?t=1674194278153;Quesería ganadería Arenas El Cabriteru,Quesería Artesanal El Cabriteru, tres variedades de queso azul,Maduración de quesos El Cabriteru,Quesos El Cabriteru premiados internacionalmente;,,,
Cofradía Amigos de los Quesos del Principado de Asturias;Oviedo;Centro de Asturias;Palacio Valdés, 4 - 1° - 33002 Oviedo;985 246 216 / 661 987 299;info@cofradiaquesos.com;www.cofradiaquesos.com;;;;;;;;;;En Oviedo en 1982 un grupo de amigos se reunía periódicamente en la Fromagerie Babilonia, establecimiento especializado en quesos, para degustar y conocer quesos de todo el mundo y especialmente los asturianos que por aquellos años rondaban la decena de variedades conocidas, entre los asistentes era frecuente la presencia del famoso pintor internacional Orlando Pelayo, residente en París y su amigo el editor gijonés Silverio Cañada, y precisamente de Orlando habría de salir la primera idea de organizar en Oviedo una Cofradía de Quesos al modo y estilo de las que ya existían en la vecina Francia.;En poco tiempo se conforma un grupo de expertos en Gastronomía y Leyes para conformar unos Estatutos o Normas iniciales, se trata de organizar una Cofradía Gastronómica, entidad social, cultural y recreativa, sin ánimo de lucro, y sus fines, entre otros habría de ser el conocimiento, estudio, divulgación y promoción de los quesos. La Cofradía inicia sus reuniones y va creciendo poco a poco, con un número limitado a 50 Cofrades, se reúne todos los primeros martes de cada mes para tratar de asuntos propios, conocer nuevos quesos y en un ambiente de cordialidad y camaradería, exaltar sus condiciones organolépticas, disfrutar de la gastronomía y enriquecer la cultura gastronómica de los Cofrades y sus invitados.  Con los estatutos registrados y oficializados, la Cofradía toma nueva dimensión y un gran rumbo, colabora en la organización de Concursos de quesos que comienzan a extenderse por toda Asturias, los Cofrades ofrecen pregones en ferias y concursos, colaboran con artículos sobre quesos en revistas técnicas. Con motivo de estrechar relaciones y convivencias con otras Cofradías hemos viajado a Francia, Bélgica, Italia, Holanda, Reino Unido, Macaronesia y Portugal, además de casi todas las Comunidades Autónomas españolas peninsulares e insulares. En su espíritu de pedagogía, la Cofradía ha escrito dos libros sobre los quesos asturianos, uno escrito y dirigido por miembros de la Cofradía, titulado "Quesos de Asturias", y otro un libro de colección especial titulado "Los Grandes Quesos de Asturias".      ;;;;;;;43.363816,-5.849120;/documents/39908/66459/CofradiaAmigosdelosQuesos1.jpg/d3dc3be1-aa2d-5d48-1406-66bdc2ce635b?t=1674194835643,/documents/39908/66459/CofradiaAmigosdelosQuesos2.jpg/661044f7-7a1f-58e2-30c8-c31dcfd8845b?t=1674194836392,/documents/39908/66459/Cofrad%C3%ADaAmigosdelosquesos4.jpg/e3ce7189-1ba5-2181-8692-a9072ce0c5cf?t=1674194837702,/documents/39908/66459/CofradiaamigosdelosQuesos3.jpg/4da1c90e-e3f1-0f4a-30a4-3f0ddae279d0?t=1674194836964;Bodegón de Quesos asturianos,Bodegón de Quesos asturianos,Bodegón de Quesos asturianos,Bodegón de Quesos asturianos;,,,
Cofradía del Queso Gamonéu;Cangas de Onís;Oriente de Asturias;;636 216 405 / 639 404 110;cofradiaquesogamoneu@gmail.com;;;;;;;;;;;La Cofradía de los amigos del Queso de Gamonéu, se fundó en abril del 2004, quedando registrada y autorizada oficialmente en el año 2005. Esta formada  actualmente por 43 Cofrades.    ;Desde entonces su meta principal ha sido el promocionar, ensalzar y dar a conocer este queso tan singular que es el queso de "Gamonéu". Un queso extraordinario que se elabora en los concejos de Cangas de Onis y Onis, en el que hay dos variedades, el Queso Gamonéu del Puerto y el Queso Gamonéu del Valle, el primero se elabora en las majadas en el Parque Nacional de Picos de Europa, esta compuesto por leche de vaca, cabra y oveja, se mima en estas montañas se auma 2 meses y se introduce en las cuevas naturales otros dos aproximadamente para su maduración y perfecta evolución. El queso Gamonéu del Valle se elabora en queserías dentro de estos dos concejos llevando el mismo proceso de elaboración. Nuestra cofradía y siguiendo las normas inscritas en nuestros estatutos, organiza charla y coloquios sobre el queso donde intervienen personas altamente cualificadas dentro del gremio. Este año 2016 se organiza el II Congreso de Quesos Ibericos con D.O.P, el cual se desarrollará en Cangas de Onís los dias 15 y 16 de Octubre, con una participación alta de Queserias con D.O.P de todo el territorio nacional con ponentes nacionales e internacionales. Organizamos anualmente concurso de pinchos al gamoneu, que cada año alcanza más éxito, este año con jurado popular y profesional para juzgar los mejores, también se hacen catas populares del queso para que las personas interesadas puedan participar y aprender cómo se hace una cata de quesos. Esta Cofradía formó a gran parte de sus miembros como catadores de nuestro producto con cursos impartidos por una bióloga del consejo regulador del Queso Cabrales, por lo que nos da experiencia para realizar catas y ser jurado en concursos de quesos. La   Cofradía   asiste   a   capítulos   de   otras   cofradías por   todo   el   territorio nacional, así como en Francia y Portugal llevando el nombre del Queso Gamonéu a todos los rincones de la geografía. Y finalmente cada dos años hacemos el capítulo de la cofradía, en el que acuden cofradías de toda España, Francia y Portugal con un volumen de asistencia de unas 150 personas. Durante la celebración del capítulo se nombran cofrades de honor y de mérito, un acto en el que se pone todo el tesón para que los asistentes lleven el mejor recuerdo de nuestra comarca y sobre todo un buen sabor de boca.;;;;;;;43.344998,-5.115180;/documents/39908/66456/Cofradia_Gamoneu_3.jpg/5d1e4e90-2d1f-e86b-2653-a9aee149bc8e?t=1674194834376,/documents/39908/66456/Cofradia_Gamoneu.jpg/b92b0da8-0d05-998a-b94b-7beaa3e095d1?t=1674194832457,/documents/39908/66456/Cofradia_Gamoneu_2.jpg/31716202-b409-859c-199e-0015ddb059ee?t=1674194833681,/documents/39908/66456/Cofradia_Gamoneu_1.jpg/05f79abc-eaff-20e0-7b7f-adc3cf65abd4?t=1674194833107;Queso Gamonéu,Cofradía del Queso Gamonéu,Cofradía del Queso Gamonéu,Cofradía del Queso Gamonéu;,,,
Cofradía del 'Oriciu';Gijón;Centro de Asturias;;653 805 907 / 610 300 171;;;;;;;;;;;;La Cofradía se presentó en sociedad en el mes de Marzo de 2010, celebrando el primer Capítulo como Cofradía en el año 2011 en Gijón.;La cofradía nace, de un grupo de trece amigos, los cuales desde hace varios años se venían reuniendo en Gijón, alrededor de unos fogones, en los que nunca faltaba algo para "echarse a la boca". Y, como en época de erizos, estos nunca faltaban en dichos encuentros, decidimos dar un paso adelante, legalizando el grupo, en torno a estos exquisitos equinodermos. ("Oriciu" en Asturiano que significa: erizo de mar). El objetivo, como cofradía, es trabajar por dar el mayor realce, a un producto que representa la gastronomía asturiana y la distingue, sorprendentemente, del resto de las regiones españolas, siendo su consumo algo tan habitual como la sidra misma, de la cual se deja acompañar en perfecta armonía. Y si en Asturias el "oriciu" es importante, en Gijón, alcanza sin duda el grado máximo de consumo, donde antaño, se vendían a pie de calle, directamente de los recolectores, y literalmente "a paladas". Y si el "Oriciu" es nuestra bandera, nuestro buque insignia es compartir con el resto de cofradías la camaradería, y la hermandad.;;;;;;;43.531085,-5.667938;/documents/39908/66471/Cofradia_del_Oriciu_3.jpg/c1407903-dbba-6897-23a1-32f922e4ef37?t=1674194853762,/documents/39908/66471/Cofradia_del_Oriciu_1.jpg/1f7e23e2-6424-14c5-d323-15b0dcbf8667?t=1674194851725,/documents/39908/66471/Cofradia_del_Oriciu_2.jpg/53091ba9-764c-2582-ff26-e70babcb50af?t=1674194853047,/documents/39908/66471/Cofradia_del_Oriciu_4.jpg/6e8a7de5-ca1f-f1de-0ce7-b5c177bacd20?t=1674194854401;Cofradía del Oriciu,Oricios,Cofradía del Oriciu,Cofradía del Oriciu;,,,
Cofradía Amigos de los Nabos;Morcín;Centro de Asturias;La Foz de Morcín;985 795 461 / 667 811 164 / 639 893 164;;;;;;;;;;;;La idea acariciada durante años de fundar la Cofradía  Amigos de los Nabos se hace realidad en La Foz de Morcín el 17 de diciembre de 2002, por iniciativa de cuatro amigos íntimamente ligados a la localidad. ;Creada con la finalidad de promocionar el cultivo y consumo de nabos de mesa. La cofradía impulsa actividades orientadas a divulgar el método tradicional de elaboración del pote de nabos en Morcín. Así mismo intenta rescatar del olvido los ritos y costumbres que se celebraban en torno a la fiesta de Santo Antón en La Foz de Morcín.                                                                                                                                                 La Cofradía de  Amigos de los Nabos de la Foz de Morcín está compuesta por los siguientes estamentos, en cuanto a sus integrantes: • Cofrades fundadores, siéndolo los cuatro amigos fundadores de la misma. • Cofrades numerarios. Los que se incorporen en fechas sucesivas      • Cofrades de honor, serán aquellas personas que, sin pertenecer a la Cofradía, y por haberse distinguido por su afición, defensa y promoción de todo lo relacionado con los nabos, reúnan condiciones especiales para ello.   La Cofradía de Amigos de los Nabos organiza manifestaciones sociales, culturales, y gastronómicas, que recuerdan esas costumbres que antaño se daban como "La Sextaferia", La Matanza del "gochu", o el "Amagüestu", y la promoción y un mejor conocimiento de  esta vianda exquisita que son los maravillosos Nabos de Morcín. En este momento somos treinta y tres cofrades, nuestro uniforme es: traje oscuro, camisa blanca con corbata grabada, zapatos negros,  capa negra y forrada en verde, montera picona negra y colgado al cuello un medallón de nuestra asociación. Nuestro Gran Capitulo, lo celebramos el sábado anterior al día 17 de Enero, festividad de San Antón patrono de La Foz de Morcín. Comenzamos el Capitulo con el desfile de las numerosas Cofradías que nos visitan, provenientes de Francia, Portugal y España, con sus pendones y ropajes multicolores,  después tiene lugar el acto donde  se entronizan los nuevos cofrades de número y de Honor, y se termina con la comida de hermandad, comiendo todos juntos el pote de nabos. En definitiva, el valor más importante de nuestra cofradía gastronómica es el mantenimiento de un valor histórico que forma parte de la idiosincrasia de nuestro  pueblo y un premio a sus tradiciones.  ;;;;;;;43.149647,-5.279219;/documents/39908/66438/AmigosdelosNabos3.jpg/afc9cd51-ab7c-7514-513e-e5d548241012?t=1674194814263,/documents/39908/66438/AmigosdelosNabos1.jpg/1a83ebcc-34c7-8d67-ad68-df862e512d13?t=1674194812987,/documents/39908/66438/AmigosdelosNabos1.jpg/1a83ebcc-34c7-8d67-ad68-df862e512d13?t=1674194812987,/documents/39908/66438/AmigosdelosNabos4.jpg/13990c94-a32d-a735-6786-f795027e5c1b?t=1674194814993;Cofradía Amigos de los Nabos,Cofradía Amigos de los Nabos,Cofradía Amigos de los Nabos,Cofradía Amigos de los Nabos;,,,
Llagar Sidra El Gaitero;Villaviciosa;Oriente de Asturias;La Espuncia. 33300. Villaviciosa;985 890 100;info@gaitero.com;https://www.sidraelgaitero.com/;;https://www.facebook.com/grupoelgaitero;https://twitter.com/grupoelgaitero;https://www.youtube.com/c/SidraElGaitero;;https://www.instagram.com/grupoelgaitero/;;;;Visita a la colección permanente y las bodegas con degustación incluida.;La Colección Permanente ‘El Gaitero', instalada en el antiguo edificio de dirección y administración construido en 1890, muestra la historia centenaria de Valle, Ballina y Fernández, S.A. a través de manuscritos, impresos, maquinaria, fotografías, materiales publicitarios, productos elaborados y gran número de objetos conservados por la firma.;Información sobre visitas;Gratuito;Sí.;Industrial Zarracina Champanera Asturiana Concentrados de Villaviciosa Bodegas Asturianas Viñedos de Alfaro S.A. La Asturiana SAIC Valle, Ballina y Fernández de Argentina;Sidra natural y sidra natural espumosa;Puedes comprar todos nuestros productos en nuestra TIENDA ONLINE Obligatorio reservar con antelación y esperar confirmación, gaitero2@gaitero.com o 985 890 100. No podemos garantizar que se pueda atender a todas las reservas que se realicen con menos de un día de antelación. El aforo máximo de la visita es de 24 personas.;43.493781,-5.423937;/documents/39908/61947/FabricadeSidraElGaitero_1.jpg/85a01b38-8acf-acac-ea37-218e12e9452d?t=1674187679283,/documents/39908/61947/FabricadeSidraElGaitero_2.jpg/5474451f-a8a3-7a17-b87d-e5c64bc5b099?t=1674187679943,/documents/39908/61947/FabricadeSidraElGaitero_3.jpg/cf354dcc-8299-d95d-1fe7-d6c1b227055f?t=1674187680614,/documents/39908/61947/FabricadeSidraElGaitero_4.jpg/770770cc-c6bb-079c-6532-6aeece70dd3d?t=1674187681274;Fábrica de Sidra El Gaitero,Fábrica de Sidra El Gaitero,Fábrica de Sidra El Gaitero,Fábrica de Sidra El Gaitero;,,,
Quesería Vega de Ario;Onís;Oriente de Asturias;Bº San Roque, 33556. Benia;677 377 309;queseriavegadeario@hotmail.com;https://queseriavegadeario.misquesosasturianos.com/;;https://es-es.facebook.com/rosa.i.sanchez;;;;https://www.instagram.com/quesosvegadeario;;;;Desde Benia en Onís, elaboramos un queso excepcional, uno de los mejores quesos del mundo: Gamonéu del Valle;El Gamonéu de Vega de Ario está elaborado artesanalmente con mezcla de leche de vaca (80%) y de cabra (20%). Este queso ha sido galardonado varias veces como mejor queso de Asturias lo que dice mucho de este producto que se caracteriza por sus matices ahumados y sus aromas y sabor extraordinarios. Los quesos de nuestra quesería se encuentran bajo el amparo de la Denominación de Origen Protegida Gamonéu, que asegura la autenticidad del queso.;Martes a Domingo: 10:00 a 11:00, 11:30 a 12:30, 18:00 a 19:00 y 19:30 a 20:30 h.;Desde 7 € hasta 8 € Incluye cata al finalizar la visita;Sí;Gamoneu del Valle (DOP);; ;43.336118,-4.970047;/documents/39908/66024/2021-vega-de-ario+%286%29.jpg/d07d444f-6df8-29ed-b246-c614de80bfba?t=1674194313388,/documents/39908/66024/2021-vega-de-ario+%284%29.jpg/6728b183-35f9-2f2e-70dd-e55232c49aa0?t=1674194312192,/documents/39908/66024/2021-vega-de-ario+%282%29.jpg/62a154eb-7992-5320-518f-fceb0e95bab1?t=1674194310251,/documents/39908/66024/2021-vega-de-ario+%283%29.jpg/7ffdd1ec-5f31-9b9f-a8ff-93e400439992?t=1674194312768;Vega de Ario,Vega de Ario,Vega de Ario,Vega de Ario;,,,
