Nombre;Zona;Tipo;Municipio;Localidad;Días;Email;Web;Facebook;Twitter;Youtube;Pinterest;Instagram;Rss;Canal ;Url;Descripción Corta;Descripción;Coordenadas;Slide;Título;Url
Certamen del Quesu Casín;Centro de Asturias;Fiesta de interés turístico del Principado de Asturias;Caso;El Campu;31 Agosto;;;;;;;;;;;Certamen del Quesu Casín en Caso, un sabor antiguo en un marco idílico;El Quesu Casín es uno de los más antiguos que se conocen. Un exquisito y elaborado producto artesano de leche cruda de vaca, que cuenta con DOP (Denominación de Origen Protegida). La comunidad vecinal del concejo de Caso – sobre todo sus mujeres -, ha logrado mantener viva esta tradición ancestral, a pesar de los duros avatares que ha vivido el campo a lo largo de la Historia. Desde tiempo inmemorial, la convivencia entre los casinos y el ganado, derivó en una compenetración que fue mucho más allá de la mera explotación económica, siendo el Quesu Casín el sabroso testimonio de esa simbiosis única. Por todo ello, desde hace varias décadas se celebra anualmente el Certamen del Quesu Casín, siendo la fecha habitual el último sábado de agosto. El evento gira en torno a dos ejes fundamentales: el mercado con los puestos de los productores del queso Casín y el concurso de quesos elaborados por queserías acogidas a la DOP Quesu Casín. En paralelo se desarrollan diversas actividades complementarias, tales como concursos de cocina, degustaciones, talleres, exposiciones, actuaciones de grupos folclóricos, maratón solidario y menús especiales. Además, este certamen es una excelente ocasión para conocer un poco más el Parque Natural de Redes. Sus paisajes, sus rutas, sus museos, sus gentes y en general el animado ambiente festivo de esta zona de Asturias tan singular. Más información;43.183219,-5.344876;/documents/39908/63558/Certamen_del_Quesu_Casin.jpg/c1b898d1-5d1e-2f18-99e8-888d86e14d69?t=1674191439342,/documents/39908/63558/Certamen_del_Quesu_Casin_2.jpg/a319ad3b-5da0-7753-6cbb-096ebea52e49?t=1674191440691,/documents/39908/63558/Certamen_del_Quesu_Casin_1.jpg/b9701a75-5555-8cd7-5345-1dc161014448?t=1674191439960,/documents/39908/63558/Certamen_del_Quesu_Casin_3.jpg/a2bd18cd-5a99-3843-7764-74cbcbbe3502?t=1674191441344;Certamen del Quesu Casín,Certamen del Quesu Casín,Certamen del Quesu Casín,Certamen del Quesu Casín;,,,
Festival de la Avellana;Oriente de Asturias;Fiesta de Interés Turístico del Principado de Asturias;Piloña;L´Infiestu;6 Octubre;;;;;;;;;;;Festival de la Avellana o la dedicatoria a un preciado fruto del bosque;El Festival de la Avellana se celebra cada año el primer domingo de octubre en la capital del concejo de Piloña, L´Infiestu. Este gran homenaje a uno de los frutos autóctonos por excelencia de Asturias encuentra en las tierras piloñesas el mejor escenario para darse a conocer. Piloña tiene una gran tradición natural, vinculada a los bosques, a la artesanía, a la madera, a la agroalimentación ecológica, al turismo rural, etc. Por esta razón el Festival de la Avellana es una cita lúdica y cultural de gran tradición en este territorio, y cuenta con un programa de actividades festivas vinculadas al mercado tradicional, exposición de artesanía y productos agroalimentarios, exposición de aves, exposición de artesanía de la madera, campeonatos de bolos, etc. Todo ello rematado con las típicas verbenas. Se trata de una fiesta en la que se pone de manifiesto el respeto a las tradiciones y la exaltación de los productos naturales de Asturias. Más información;43.348808, -5.363203;/documents/39908/63477/Festival_de_la_Avellana_2.jpg/dc9aa0ec-1e20-ea18-ddb9-f22811bcc1f4?t=1674191337185,/documents/39908/63477/Festival_de_la_Avellana_1.jpg/5a45d046-a1fa-2f2f-2a0c-ec18e0746675?t=1674191336567,/documents/39908/63477/Festival_de_la_Avellana_3.jpg/9e02a48b-821f-affe-7b47-5aff9f164a78?t=1674191338064,/documents/39908/63477/Festival_de_la_Avellana.jpg/5a04583a-3e55-46c7-51c9-6e2cde89019c?t=1674191335911;Festival de la Avellana,Festival de la Avellana,Festival de la Avellana,Festival de la Avellana;,,,
Fiesta de Santu Medé (San Emeterio y San Celedonio);Oriente de Asturias;Fiesta de interés turístico del Principado de Asturias;Ribadedeva;Pimiango;Marzo (2 y 3);;;;;;;;;;;Es una fiesta ancestral, cuyo origen más que probable está en la cristianización de una fiesta de primavera;Se trata de una original celebración en Pimiango, a la que suman los vecinos de toda Ribadedeva y también gentes que vienen de otros lugares de Asturias y de fuera. La fiesta actualmente es de carácter religioso y está dedicada a los mártires San Emeterio y San Celedonio. Consiste en una peregrinación desde el pueblo de Pimiango hasta la Ermita de San Emeterio. Son más de dos kilómetros de caminata por un paraje de excepcional belleza donde te encontrarás la Cueva del Pindal (Patrimonio de la Humanidad), el faro de San Emeterio (el más oriental de Asturias), el Monasterio de Tina, y el tramo más costero del Camino de Santiago. La fiesta, donde se celebra la tradicional ofrenda del ramu y su subasta, tiene como brillante colofón una gira campestre - la única del municipio -, en la que no falta la música de las bandas de gaitas, las actuaciones de los grupos folclóricos, así como la sidra y la comida típica asturiana. Más información;43.388381, -4.541170;/documents/39908/63483/Ermita_de_Santo_Mede_Pimiando_Ribadedeva.jpg/ecf2c7ea-e096-4bbd-0602-0371accf94d1?t=1674191348032,/documents/39908/63483/Praderas_de_Pimiango_Ribadedeva.jpg/8e4106fa-ad66-c69e-56c5-ac353e11026b?t=1674191348855,/documents/39908/63483/Rincon_de_Santo_Mede_Pimiango_Ribadedeva.jpg/36176096-a907-3008-5abd-f3645cfb39fe?t=1674191350580,/documents/39908/63483/06689_Mirador_de_Pimiango_Ribadedeva.jpg/6e615508-f6d8-2e0a-b3fc-dbd1102a1316?t=1674191347380;Ermita de Santo Medé en Pimiango,Praderas de Pimiango en Ribadedeva,Rincón de Santo Medé en Pimiango,Mirador de Pimiango;,,,
La Regalina;Occidente de Asturias;Fiesta de interés turístico del Principado de Asturias;Valdés;Cadavéu;Último domingo de agosto;;;;;;;;;;;La Regalina en Cadavéu, el sueño del Padre Galo con vistas al mar;Pocas fiestas habrá en Asturias que hayan sido fundadas e impulsadas por un intelectual y humanista de la talla del Padre Galo. Nacido en Cadavéu, este sacerdote con vivencias cosmopolitas, de amplios horizontes culturales, poliglota, y escritor en lengua en lengua asturiana, funda esta fiesta en el año 1931, y desde entonces viene celebrándose el último domingo de agosto. Otra de las singularidades de La Regalina es que tiene lugar al aire libre en el campo de La Garita, junto a la Ermita de Santa María de Riégala, lugar desde el hay unas vistas de la costa y sus espectaculares acantilados que son únicas. La Regalina es una de las citas ineludibles en el verano del concejo de Valdés, y es tanto por su origen y peculiaridades una fiesta muy de corazón, que levanta adhesiones inquebrantables y profunda admiración en cuantos la conocen. Más información;43.554803, -6.372554;/documents/39908/47889/Fiestas-de-la-Regalina-Valdes.jpg/6dbaa6ed-ac12-e244-a153-29e7c180725f?t=1689594332502,/documents/39908/47889/Fiestas-de-la-Regalina-Valdes-2.jpg/08e1ae90-0685-0eca-afc4-1237394a5d3f?t=1689594348603,;Fiesta de La Regalina,,Fiesta de La Regalina;,,https://www.youtube.com/watch?v=UKMtT2ruM4w
Certamen del Queso de Gamonedo;Oriente de Asturias;Fiesta de Interés Turístico del Principado de Asturias;Onís;Benia;Octubre (26 y 27);;;;;;;;;;;Certamen del queso de Gamonedo en Onís, con todo el sabor de los Picos de Europa;El queso Gamonedo o Gamonéu es uno de los más característicos y apreciados de todos cuantos se elaboran desde tiempo inmemorial en la comarca de los Picos de Europa. Muy vinculado en su origen al pueblo del mismo nombre, este queso es una auténtica joya para los amantes de los quesos y un producto muy apreciado para uso culinario. A finales de octubre se celebra su certamen en Benia, la capital del concejo de Onís, en una cita festiva que se prolonga durante todo el fin de semana, y que es un auténtico canto a lo autóctono, no solo por el queso sino porque también hay diversos concursos-exposición de Pita asturiana y de oveya xalda. Además, campeonato de bolos, música y muchas otras actividades que le dan un aire lúdico a Benía, donde hay muchísimo ambiente por esas fechas. Más información;43.334675, -4.969358;/documents/39908/63582/Certamen_del_Queso_de_Gamonedo_1.jpg/a3f866cb-a9d3-0917-599a-1883cd519f55?t=1674191467814,/documents/39908/63582/Certamen_del_Queso_de_Gamonedo.jpg/54cb943c-64f8-b3ab-e15d-b1993063625a?t=1674191467085,/documents/39908/63582/Certamen_del_Queso_de_Gamonedo_2.jpg/14498339-baac-8b64-aa9b-6dcd019ae906?t=1674191468429,/documents/39908/63582/Certamen_del_Queso_de_Gamonedo_3.jpg/328448c4-0a8c-dfe4-21db-2961fe2180ba?t=1674191469101;Certamen del Queso de Gamonedo,Certamen del Queso de Gamonedo,Certamen del Queso de Gamonedo,Certamen del Queso de Gamonedo;,,,
Fiesta de Nuestra Señora del Carmen y Carmín;Centro de Asturias;Fiesta de Interés Turístico del Principado de Asturias;Siero;La Pola Siero;Julio (13 a 18);;;;;;;;;;;Fiesta de Nuestra Señora del Carmen y Carmín: la romería de Asturias;Hablar del Carmín es como hablar de algo muy conocido y tradicional: todo está dicho o escrito alguna vez por algún investigador, pero siempre hay algo nuevo que decir. Nació esta fiesta en 1695, año en el que Andrés Quintanal y su mujer María García, vecinos de La Pola Siero y devotos de la Virgen del Carmen, costearon la construcción de Les Campes de una ermita dedicada a esta Virgen, formándose una Cofradía bajo la advocación del Carmelo. Cuentan las crónicas que les costó 12.000 reales, y que se bendijo el 17 de Julio de ese mismo año, es decir, al día siguiente de la festividad de la patrona y se propuso celebrar la festividad en el año 1696. Estaba situada dicha ermita entre los castaños que ocupaban la actual Plaza de Les Campes, y al lado del camino que seguían los peregrinos en dirección a Santiago de Compostela. Los cofrades, que eran numerosísimos y de toda la provincia, festejaban a su patrona el domingo siguiente al 16 de Julio, si esta fecha no caía en domingo, celebrando una procesión en la que, entre otras demostraciones, se ejecutó, hasta el primer decenio de este siglo, la danza o baile de "los Danzantes", y en la que se exhibían numerosos "Ramos", costumbre éste que perduro hasta el año 1879, en que se perdió. Pero era tal la asistencia de cofrades el domingo, que fue necesario organizar una segunda fiesta el martes, día del mercado de Pola de Siero, para que pudieran festejar a su patrona los devotos del concejo. Estos, que solían madrugar para el mercado semanal, acudían a la villa provistos de comida, que consistía básicamente en una empanada de anguilas y otros platos caseros que degustaban en el mismo castañeu, una vez terminados los actos religiosos y las posteriores danzas y bailes. Ni qué decir tiene que, llena la panza, seguirían con los cánticos y bailes, culminando al oscurecer con la Danza Prima, cuyo estribillo "¡Viva la Virgen del Carmen!" exaltaba a la patrona. El auge que con el paso del tiempo fue adquiriendo esta romería del martes en detrimento de la del domingo, hasta el punto que podemos considerarla como embrión y origen del actual Carmín, se debe exclusivamente a que, en el binomio origen de las fiestas, el componente profano, actuando de elemento dinamizador de los cambios de las mentalidades colectivas, fue absorbiendo paulatinamente al otro componente, el religioso, hasta anularlo, dejándolo relegado exclusivamente a la fiesta del domingo, consistente en una misa solemne y procesión en honor de Nuestra Señora del Carmen. Aunque quedan ya lejanas estas fechas de su origen el Siglo XVII, la romería de El Carmín sigue siendo, en síntesis, igual que aquella del martes, con los lógicos cambios que los tiempos fueron imponiendo. Uno de estos cambios fue el de la fecha de celebración: pasó del martes al lunes siguiente del día 16 de Julio, festividad de la Virgen del Carmen. La razón fundamental que explica este cambio fue la destrucción de la ermita de la patrona durante la invasión francesa, cuya constancia queda en 1815 en uno de los libros de fábrica de la Iglesia firmado por Don Diego Fernández Linares, cura párroco de La Pola Siero. Se sabe también por la documentación que la campana de la ermita se entregó para fundir una nueva para la iglesia parroquial, al estar quebrada la de ésta. En este resumen histórico queda patente la gran tradición de una fiesta que está considerada como una de las grandes romerías de Asturias, y que anima a tope el verano asturiano, tanto el día de la fiesta propiamente dicho, como los días anteriores con distintas actividades lúdicas y culturales.  Más información;43.390895, -5.662186;/documents/39908/63492/Fiesta_de_Nuestra_Se%C3%B1ora_del_Carmen_y_Carmin.jpg/678987c2-6162-5c5f-eb60-6852917a9557?t=1674191360411,/documents/39908/63492/Fiesta_de_Nuestra_Se%C3%B1ora_del_Carmen_y_Carmin_1.jpg/b926eb0a-b969-1461-e72b-edd787d610b2?t=1674191360978,/documents/39908/63492/Fiesta_de_Nuestra_Se%C3%B1ora_del_Carmen_y_Carmin_2.jpg/998ddf33-8a50-707a-d30d-1fa752c44765?t=1674191362208,/documents/39908/63492/Fiesta_de_Nuestra_Se%C3%B1ora_del_Carmen_y_Carmin_3.jpg/3fd77742-1f1a-74d5-acd5-0e27077b239e?t=1674191362827;Fiesta del Carmín,Fiesta del Carmín,Fiesta del Carmín,Fiesta del Carmín;,,,
Festival Intercélticu d'Avilés y Comarca;Centro de Asturias;Fiesta de Interés Turístico del Principado de Asturias;Avilés;Varias localidades;Julio (20 a 28);;;;;;;;;;;Cultura en estado puro;El Festival Intercéltico de Avilés y Comarca, uno de los más importantes y representativos de Asturias, es una gran fiesta celta. Cada año acoge grupos folclóricos y musicales, así como delegaciones de distintos países donde la cultura celta tiene raigambre y presencia. Eventos de todo tipo, en los que no falta la artesanía, el arte, el deporte o las actividades lúdicos toman literalmente la ciudad de Avilés y su comarca, poniendo de manifiesto la identidad, singularidad y pujanza de la cultura celta en esta geografía del Arco Atlántico. Decenas de eventos, espectáculos, teatro, exposiciones, desfiles, jornadas gastronómicas en la que la sidra también está presente, mercados tradiciones y todo tipo de exhibiciones acerca de la cultura celta protagonizan estos días del verano avilesino y asturiano. Los usos y costumbres de los celtas quedan al descubierto más que nunca, para solaz y satisfacción de los miles de personas que participan en el festival, durante todos los días en los que se celebra. El universo celta ocupa un lugar especial en Avilés y su Comarca. Más información;43.555457, -5.922355;/documents/39908/63429/fit_interceltico_aviles1.jpg/6b045133-5721-2ee9-f757-5bed193314ac?t=1674191279523;Festival Intercélticu d'Avilés y Comarca;
Fiesta de Les Cebolles Rellenes;Centro de Asturias;Fiesta de Interés Turístico del Principado de Asturias;San Martín del Rey Aurelio;L´Entregu/El Entrego;30 Noviembre;;;;;;;;;;;Fiesta de Les Cebolles Rellenes en L' Entregu/El Entrego, la imaginación a la mesa;La localidad de L' Entregu/El Entrego, en el concejo de San Martín del Rey Aurelio, es la capital mundial de les Cebolles Rellenes, genial invento culinario que tiene su origen en el ingenio de una cocinera de este pueblo, Aniceta Fueyo "la Nina", que allá por los años 40 del siglo XX lo ideó para dar de comer a varios sacerdotes en tiempo de Cuaresma. Así que, coincidiendo con la festividad de San Andrés, que es el 30 de noviembre, en L' Entregu/El Entrego celebran por todo lo alto la Fiesta de Les Cebolles Rellenes. Hay que decir que la fiesta dura varios días, y que la popularidad que ha alcanzado este plato es tal, que trasciende las fronteras locales y asturianas, e incluso españolas. Por supuesto, la celebración incluye un amplio y variado programa cultural y de ocio: pregón, actuaciones musicales, concurso culinario de "cebolles rellenes", etc. Es verdad que el plato original contempla que las cebollas se rellenen de bonito, pero con el paso del tiempo y el afán por innovar, el recetario se ha ampliado y también hay cebollas rellenas de carne e incluso de marisco. En definitiva las cebollas son protagonistas en un menú que se completa con callos y, de postre, casadielles. Les Cebolles rellenes son una de las fiestas gastronómicas más clásicas, originales y animadas de toda Asturias. Más información;43.287339, -5.637692;/documents/39908/63480/Cebollas-Rellenas.jpg/138ab3ff-d061-2360-4cbe-b8a9fef2a57e?t=1674191344920,/documents/39908/63480/Cebollas_rellenas.jpg/5c876847-f277-3c04-3de7-0453506a93d4?t=1674191339728,/documents/39908/63480/fit_cebolles1.jpg/ee2134a5-7f33-682d-0a23-18b3ba2ea9d0?t=1674191338670,/documents/39908/63480/cebollesrellenes_18.jpg/d1d0eb30-67fa-e6ff-2432-7ec5bc06fc6d?t=1674191344028;Fiesta de les Cebolles Rellenes,Fiesta de les Cebolles Rellenes,Fiesta de les Cebolles Rellenes,Fiesta de les Cebolles Rellenes;,,,
Preba de la Sidra;Centro de Asturias;Fiestas y Actividades de Interés Turístico del Principado de Asturias;Oviedo;Oviedo/Uviéu;2 de junio;;;;;;;;;;;Cuando llega el mes de junio – concretamente la primera quincena – la calle Gascona de Oviedo/Uviéu, también conocida como El boulevard de la sidra, acoge uno de los acontecimientos festivos más singulares de todo el año: la Preba de la Sidra;Esta cita popular y muy ambientada consiste en la presentación del producto sidrero por parte de los numerosos llagares participantes, que someten sus sidras a la votación de los visitantes, previa degustación. Si habitualmente El boulevard de la sidra cuenta con mucho ambiente, el día de La Preba está a rebosar de público, siempre deseoso de degustar la sidra de la temporada y de aportar su opinión como cualificado jurado popular. La calle Gascona, una de las más antiguas y de más solera de la capital asturiana, tiene su origen vinculado a la tradición del Camino de Santiago, y en la actualidad es una de las más transitadas de toda Asturias por propios y foráneos que llegan hasta allí deseosos de degustar la mejor gastronomía asturiana y la mejor sidra. Las cualidades de esta calle y su nivel hostelero nunca defraudan, sino todo lo contrario, y La Preba de la sidra es una de esas ocasiones en que Gascona muestra su excelencia. Más información;43.364393,-5.844685;/documents/39908/63456/preba-de-la-sidra+%284%29.jpg/59e8f0d2-5254-f59b-867e-d9687f324d6e?t=1674191311249,/documents/39908/63456/preba-de-la-sidra+%283%29.jpg/51da2784-26aa-7c54-8c4d-71d0476ac923?t=1674191310171,/documents/39908/63456/preba-de-la-sidra+%281%29.jpg/0ce18daf-680f-92be-30b0-61e2179c6323?t=1674191308777,/documents/39908/63456/preba-de-la-sidra+%282%29.jpg/71c6501c-f08f-eaff-f2ef-06d3ff292036?t=1674191309493;La Preba de la Sidra,La Preba de la Sidra,La Preba de la Sidra,La Preba de la Sidra;,,,
Fiesta del Cordero;Centro de Asturias;Fiesta de interés turístico;Lena y Quirós;Prau Llagüezos;Primer domingo de julio;;;;;;;;;;;Fiesta del Cordero en el Prau Llagüezos, gastronomía en plena naturaleza;La Fiesta del Cordero, celebrada en el Prau Llagüezos, allí donde confluyen los concejos de Lena y Quirós, es también un acontecimiento único.  Único porque es muy poco habitual un asado colectivo de corderos de estas características y dimensiones. Además, el asado se hace al estilo argentino, técnica que fue introducida por un emigrante asturiano de la zona retornado. Por si fuera poco, el escenario es una maravilla: la cima del Monte de La Cobertoria, en plena Sierra del Aramo. Esta Sierra es una de las grandes y míticas montañas asturianas de la zona central, cuya historia está escrita a base de gestas humanas y deportivas. Este asado colectivo, aderezado con música y gastronomía asturiana, se hace en una pradera llana, con fuente y albergue montañero incluido, e incluso con restos de enterramientos probablemente de origen medieval. Un entorno donde se combinan la historia más antigua, la naturaleza más radiante, y las tradiciones asturianas mixturadas con las latinoamericanas. Un eclecticismo que hace de esta fiesta un momento inolvidable. Más información;43.146036, -5.906719;/documents/39908/63486/Fiesta_Cordero1.jpg/9f3cb70c-3d03-0b87-d8f2-0d9f1905b4a2?t=1674191352191,;Fiesta del Cordero,Fiesta del Cordero;,https://www.youtube.com/watch?v=V2S74z-4icI
Antroxu en Avilés;Centro de Asturias;Fiesta de interés turístico del Principado de Asturias;Avilés;Avilés;Febrero (7 a 14);;;;;;;;;;;O la fiesta a raudales;El carnaval es tiempo de folixa (fiesta) popular en Asturias. Es verdad que toda la región se vuelva con el ritual del Carnaval: disfraces, charangas, desfiles, frixuelos (dulce típico de los días de antroxu), música, alegría, llenazo en calles y plazas, en pueblos y ciudades, y también es verdad que si en algún lugar de Asturias es especialmente relevante y llamativo el Antroxu o Carnaval es en Avilés. Esta ciudad de tradición pesquera, marinera y portuaria, se transforma en los días del Antroxu, es como un gran escenario al aire libre donde la luz, el color, los disfraces – que se cuentan por miles – y la fiesta a raudales inunda las calles y plazas de la ciudad. El Antroxu avilesino goza de merecida fama y especialmente su conocido Descenso de Galiana, que es uno de los momentos culminantes de esta celebración, poniendo de relieve toda la belleza y solera del casco histórico de Avilés. Por estas y otras muchas razones, el Antroxu avilesino es mítico, y digno de ser vivido. Muy recomendable para integrarse en el ambiente, disfrazarse y a poder ser en grupo, que resulta mucho más divertido. Por supuesto, se trata de una de las Fiestas de Interés Turístico más destacadas de todo el calendario festivo. Más información;43.553692, -5.925177;/documents/39908/63471/Antroxu_Aviles.jpg/06c76622-0643-73ff-941d-26b7e2c8a78f?t=1674191328555,/documents/39908/63471/Antroxu_Aviles_1.jpg/2f67f9ab-4a2a-2c1e-afd7-b9d54c11691e?t=1674191329137,/documents/39908/63471/Antroxu_Aviles_2.jpg/99d6fe89-88ae-2d32-f7a9-844fd1e73bcb?t=1674191329900,/documents/39908/63471/Antroxu_Aviles_3.jpg/c7f5e073-347e-cb68-4353-8e2edb8a675f?t=1674191331479;Antroxu Avilés,Antroxu Avilés,Antroxu Avilés,Antroxu Avilés;,,,
Semana Santa en Villaviciosa;Oriente de Asturias;Fiesta de Interés Turístico del Principado de Asturias;Villaviciosa;Villaviciosa;Semana Santa;;;;;;;;;;;Semana Santa en Villaviciosa, una pasión muy antigua;La Semana Santa de Villaviciosa es una de las más antiguas de Asturias. Ya está documentada su celebración en pleno siglo XVII, y lo cierto es que el pueblo maliayés fue transmitiendo la tradición y la savia de la Semana Santa de generación en generación, y conmemorando cada año una fiesta de carácter religioso, que suma además un fuerte ingrediente cultural y artístico. Todo el pueblo se une en la conmemoración de los Misterios de la Pasión y Muerte de Jesús de Nazaret y lo hacen encantados de expresar de manera pública una tradición y sentimiento heredado de sus antepasados. Las imágenes religiosas que exhibe la Semana Santa de Villaviciosa son de alto valor artístico, y las celebraciones, especialmente el Miércoles y Viernes Santo, merecen mucho la pena porque durante esos días se puede presenciar El Encuentro y el Descendimiento de la Cruz o Desenclavo, que son verdaderos autos sacramentales, con fuerza dramática. La Semana Santa se vive con pasión en las calles de Villaviciosa, y todo se inunda de devoción, representación y tradición. Es una magnífica ocasión para conocer esta Villa, con tanta historia, tanto ambiente y gentes hospitalarias y abiertas. Más información;43.481671, -5.432342;/documents/39908/63420/Semana_Santa_Villaviciosa_1.jpg/af5a926c-a8b6-d53d-7f4a-646e48bead19?t=1674191266715,/documents/39908/63420/Semana_Santa_Villaviciosa_2.jpg/b6e35347-a69c-0c6f-0b66-603c37ac247b?t=1674191267297;Semana Santa en Villaviciosa,Semana Santa en Villaviciosa;,
Jornadas Gastronómicas del Pote;Centro de Asturias;Fiesta de interés turístico del Principado de Asturias;Mieres;Turón;30 de noviembre a 9 de diciembre;;;;;;;;;;;Jornadas gastronómicas que se celebran coincidiendo con la festividad de Santa Bárbara;Un acontecimiento muy original porque se centra en una actividad gastronómica muy arraigada en Asturias, como es la degustación de un buen pote asturiano, pero que en el Valle de Turón tiene singularidades específicas pues se trata de un pote "más pobre, más aguado, con más grasa para que fartuque y con algunes fabes desmenuzadas para que engorde el caldo", tal como comentan los lugareños. Estas jornadas, que se celebran desde hace más de veinticinco años, coincidiendo con la festividad de Santa Bárbara - patrona de los mineros -, tienen como escenario uno de los valles más representativos de la minería y el patrimonio industrial de Asturias. De hecho, el Pozu Santa Bárbara fue declarado Bien de Interés Cultural en 2010, y se puede conocer con una visita guiada. Además, todo el entorno natural está declarado como Paisaje Protegido de las Cuencas Mineras. Entre las manifestaciones religiosas de esta fiesta destaca la misa cantada por el Coro Minero y la procesión de Santa Bárbara. Además, tiene lugar un emotivo acto con ofrenda floral en memoria de los mineros fallecidos en las minas del Valle de Turón. Más información;43.211435, -5.735560;/documents/39908/63498/07298_Pote_Asturiano.jpg/7834ec53-8c5b-090a-df14-1838e2147791?t=1674191367649,/documents/39908/63498/00552_Valle_de_Turon_Mieres.jpg/bf98a758-4835-aa4a-144a-90e9a6c9cf03?t=1674191364679,/documents/39908/63498/00967_Pote_Asturiano.jpg/dc563a51-0327-2526-707c-67155b6a16b9?t=1674191365550;Pote de Berzas,Valle de Turón,Pote asturiano;,,
Fiesta Gastronómica del Desarme;Centro de Asturias;Fiesta de Interés Turístico del Principado de Asturias;Oviedo;Oviedo/Uviéu;19 octubre;;https://www.oviedo.es;;;;;;;;;Oviedo/Uviéu, la capital de Asturias, es una ciudad donde la gastronomía destaca como uno de los grandes atractivos que se pueden disfrutar en el día a día;Y también son numerosas las citas con la cocina asturiana que se dan en la vida ovetense. Una de las más destacadas es la celebración de El Desarme, una de las jornadas gastronómicas más significativas y con mayor arraigo de cuantas tienen lugar en Asturias. Desde hace más de medio siglo, los restaurantes y sidrerías de la ciudad amanecen con sus mejores galas culinarias para ofrecer el famoso menú del Desarme, que se degusta cada 19 de octubre, y que consiste en garbanzos con bacalao y espinacas, callos a la asturiana y arroz con leche. Sencillamente delicioso y contundente, y una oportunidad única para conmemorar un hecho histórico que data de la primera mitad del siglo XIX, y que está vinculado a las Guerras Carlistas. En el marco de esta fiesta, en el año 2012 se funda la Cofradía del Desarme, nacida con el firme propósito de potenciar esta celebración de gran arraigo y sabor, y que es una ocasión ideal para la exaltación de la amistad en torno a la buena mesa. Más información;43.361915,-5.849388;/documents/39908/63627/desarme-oviedo.jpg/af142834-2157-b55b-2a69-9e2b2a8e701c?t=1674191533801,/documents/39908/63627/callos.jpg/22cb2beb-e503-f599-a2ad-5e71953c5d62?t=1674191535017,/documents/39908/63627/arroz_con_leche.jpg/ea58a785-3083-cc04-e13a-07cccb501e44?t=1674191534422,/documents/39908/63627/arroz_con-leche.jpg/a58adf1e-5279-19b7-eed3-efc13baa27ff?t=1674191535673;Garbanzos con Bacalao y espinacas,Callos,Arroz con leche,Arroz con leche;,,,
Fiesta de Nuestra Señora de El Carbayu;Centro de Asturias;Fiesta de interés turístico del Principado de Asturias;Langreo;El Carbayu;8 Septiembre;;;;;;;;;;;Un viaje a la Edad Media;El 8 de septiembre, los langreanos y allegados celebran el día grande de su concejo, y lugar elegido es la Ermita de El Carbayu. Allí se encuentra la patrona del concejo, y por eso allí se celebra la romería campestre más importante de Langreo, en la que se integran los elementos más representativos de la típica fiesta asturiana: el traje tradicional del folclore asturiano, al mismo tiempo que se celebra la puya'l ramu y la comida en el prau con amigos y familiares. La Virgen de El Carbayu simboliza la unión entre los pueblos y sus gentes, y es una advocación de origen medieval. Un dato curioso es que su figura está situada en un retablo barroco sobre un tronco de árbol, y es que según cuenta la leyenda la virgen se apareció hace siglos sobre un roble (carbayu en asturiano), siendo su voluntad la construcción de un templo en ese lugar concreto, desde donde se divisa todo el Valle de Langreo. Así que leyenda, tradición y fiesta se dan la mano en Langreo. Más información;43.280813, -5.687304;/documents/39908/63438/fit_carbayu.jpg/efd4d154-08b8-c193-8712-6f6da34bf5dd?t=1674191291238;Nuestra Señora de El Carbayu;
Fiesta de L'Amuravela;Occidente de Asturias;Fiesta de interés turístico;Cudillero;Cudillero;29 Junio;;;;;;;;;;;Fiesta de la L'Amuravela en Cudillero, esencia 'pixueta';Es una de las fiestas más curiosas y originales de toda Asturias, con gran sabor marinero y "pixueto" (término que se refiere al lenguaje utilizado antaño por los pescadores cudillerenses y que se usa exclusivamente en Cudillero. En ocasiones también se llama pixuetos a los pobladores de esta villa marinera). Pues bien, cada 29 de junio, festividad de San Pedro, Cudillero celebra L'Amuravela. La fiesta hunde sus raíces cuando menos en el siglo XVI y está vinculada a la construcción de la iglesia parroquial de San Pedro. La originalidad viene dada porque la celebración se inicia con la recitación en verso y en pixueto por parte de una persona de Cudillero de un sermón que resume en tono irónico lo acaecido durante el año y pidiendo protección para el año próximo. Los versos de L'Amuravela contienen referencias históricas a la condición portuaria, pesquera, cosmopolita y navegante del pueblo, así como invocaciones de índole social y religiosa. Es un espectáculo único en un escenario único, en pleno anfiteatro de Cudillero, con las velas desplegadas al viento, en un entorno colorista y pesquero que sabe a mar y a tradición. Y con la bendición de San Pedro, patrón de Cudillero,  la fiesta está servida durante varios días. Antigüedad, historia, lenguaje y tradiciones pixuetas y hospitalidad cudillerense se entremezclan en la esencia de L'Amuravela.  Más información;43.563485, -6.145939;/documents/39908/63597/Fiesta_de_L_Amuravela.jpg/357e9dc1-0138-eeb0-7bab-780bf2542dd8?t=1674191485348,/documents/39908/63597/Fiesta_de_L_Amuravela_1.jpg/ced4c88b-2e3c-270b-e315-f3e3573f7323?t=1674191485946,/documents/39908/63597/Fiesta_de_L_Amuravela_3.jpg/4513320a-4b23-150c-8af1-e419019d05ae?t=1674191487148,/documents/39908/63597/Fiesta_de_L_Amuravela_2.jpg/23c1fffc-7d78-31e3-d456-31eae98e3a0a?t=1674191486577;Fiesta de l'Amuravela,Fiesta de l'Amuravela,Fiesta de l'Amuravela,Fiesta de l'Amuravela;,,,
