Nombre;Concejo;Zona;Plazas;Precio;EstanciaMaxima;Tipo;Acceso;FechaDeCierre;Servicios;Dirección;Teléfono;Email;Título;Descripcion;Coordenadas;Slide;Título;Url;Observacion;MasInformacion
Área de autocaravanas 'Llagar de Sidra Castañón';Villaviciosa;Oriente de Asturias;;;;Pública;Desde la Autovía del Cantábrico (A-8), salida 371 y en la rotonda seguir por la N-632 hacia Quintes/Quintueles. A escasos 100 m. tomar la primera salida a la derecha en dirección a San Miguel de Arroes. Nada más girar, a pocos metros a la derecha se ve la señalización del llagar.  ;;Rellenado agua gratuito (lunes a sábado) Vaciado de aguas grises y WC gratuitos (lunes a sábado) Tienda de venta de sidra y otros productos asturianos Zona pícnic;Bº Los Pisones, 90. 33314. Quintueles;985 894 576 / 650 963 462;;;;43.514167,-5.569444;/documents/39908/62187/area-autocaravanas-sirdra-castanon+%283%29.jpg/f5dcfd7c-e23b-79f6-73cd-232d02b37b1d?t=1674187931272,/documents/39908/62187/area-autocaravanas-sirdra-castanon+%281%29.jpg/6406d4e6-d48c-46cb-941a-337cb126dd19?t=1674187929936,/documents/39908/62187/area-autocaravanas-sirdra-castanon+%284%29.jpg/299cfca5-663a-56c6-ed78-3f20289db728?t=1674187931907,/documents/39908/62187/area-autocaravanas-sirdra-castanon+%282%29.jpg/4d500fbd-546f-2a3a-37ba-7f0b8b394e22?t=1674187930688;Área de autocaravanas 'Llagar de Sidra Castañón',Tienda en el área de autocaravanas 'Llagar de Sidra Castañón',Toneles de sidra 'Llagar de Sidra Castañón',Sidra 'Llagar de Sidra Castañón';,,,;Área exclusivamente de servicio y descanso. Prohibido pernoctar. Solamente dispone de los servicios de carga y descarga de aguas en horario laboral (lunes a sábado).  ;
Área Camper FunsiQuín (Cangas del Narcea);Cangas del Narcea;Occidente de Asturias;8;Gratuita;Sin estancia máxima;Privada;Desde Cangas del Narcea salir por la carretera AS-15 en dirección Degaña. Al llegar al pueblo de Rengos, tomar un desvío que hay a la izquierda por la CN-9, desde la que se llega, en 2 km, a Xedré. El acceso es bueno, con rampa de cemento.;;Pernocta posible Vaciado aguas grises Vaciado aguas negras Carga agua potable  Restaurante (cerrado 12/12 a 17/02) Merendero con zona infaltil WIFI Baños Transporte público < 10 km Duchas (3€/pax) Aparcamiento (6€/día) Carga de electricidad (3€/día) Servicio de lavandería (3€ lavadora/3€ secadora);Carretera CN9, Km 2,200. Gedrez, 48. 33811. Xedré;679 908 087 / 627 242 354 (llamar antes de ir para asegurar plaza);info@funsiquin.com;;;43.013056,-6.608611;/documents/39908/62172/2022-%C3%81rea+Camper+FunsiQu%C3%ADn+%282%29.jpg/757e41d0-4bec-f901-471e-faa7ff1d3b21?t=1674187916706,/documents/39908/62172/2022-%C3%81rea+Camper+FunsiQu%C3%ADn+%281%29.jpg/7a60edf9-37b9-77df-3bfe-aee2fc819d7e?t=1674187916026,/documents/39908/62172/2022-%C3%81rea+Camper+FunsiQu%C3%ADn+%285%29.jpg/57ef94f0-a7a1-ff57-0f67-4bf3480ab934?t=1674187919280,/documents/39908/62172/2022-%C3%81rea+Camper+FunsiQu%C3%ADn+%283%29.jpg/d84d5e80-dad8-299e-cebc-8fc9905c133f?t=1674187917288;Área Camper FunsiQuín,Área Camper FunsiQuín,Área Camper FunsiQuín,Área Camper FunsiQuín;,,,;Solicitar autorización previa. En verano, suele haber actuaciones musicales en directo. ;
Área autocaravanas de Infiesto (Piloña);Piloña;Oriente de Asturias;5;Gratuita;48 h.;Pública;A-66 dirección Santander en la salida 14 toma dirección N-634 (Nava-Infiesto) al llegar a Infiesto se toma la salida AS-254, una vez pasado el puente, se continua por la izquierda dirección Cangas de Onís, girar en calle Vistalegre a mano derecha  subir hacia arriba y luego a la izquierda a 100 m. está el área.;;Craga agua potable Vaciado aguas grises Vaciado aguas negras Servicios hostelería (próximos) Supermercado/tienda (proximos) Gasolinera <10 Km Zona pícnic Parque infantil Transporte público < 10 km Aparcamiento  Piscina < 1,5 km  ;Prolongación C/ Vistalegre (Barrio de Xudes). 33530. L' Infiestu;984 081 246 / 674 124 832;info@tierradeasturcones.com;;;43.345299,-5.364773;/documents/39908/62205/infiesto.jpg/989c4102-a706-310f-655e-45687e531f59?t=1674187948105,/documents/39908/62205/Autocaravanas_Infiesto_1.jpg/7e62095f-b9ee-8db6-8083-a146845b0a0a?t=1674187948769,/documents/39908/62205/Autocaravanas_Infiesto_2.jpg/7020faeb-15b4-dae2-0b7c-74df345e87bc?t=1674187949386,/documents/39908/62205/Autocaravanas_Infiesto_4.jpg/28b35ecc-e539-9ac5-fe2a-ff2958764d2a?t=1674187950785;Río Piloña a su paso por L'Infiestu (Piloña),Área Autocaravanas de Infiesto (Piloña),Área Autocaravanas de Infiesto (Piloña),Área Autocaravanas de Infiesto (Piloña);,,,;;
Área autocaravanas de Pola de Laviana;Laviana;Centro de Asturias;8;Gratuita;48 h.;Pública;Acceso a Pola Laviana por la carretera AS-117. El área se sitúa en la Avda. Real Titánico, junto a la zona deportiva.;;Vaciado aguas grises Vaciado aguas negras Carga agua potable Servicios hostelería (próximos) Supermercado/tienda (próximos) Gasolinera < 10 km Zona pícnic Transporte público < 10 km  ;Avda. Real Titánico. 33980. La Pola Llaviana/Pola de Laviana;;;;;43.255000, -5.568333;/documents/39908/62283/pola-de-laviana.jpg/20be7c73-4103-0744-4055-b47a9d6bb1bf?t=1674188027553,/documents/39908/62283/senda-fluvial-del-nalon.jpg/e0735d90-3bea-efee-e5ae-b17d660c4ecb?t=1674188028847,/documents/39908/62283/puente-d-arcu.jpg/9f9ec812-c7c9-0a13-8606-97038a5183d4?t=1674188028164,/documents/39908/62283/pista-pump-track.jpg/a404b4aa-5fb2-e2c7-ad61-03a00c9bc482?t=1674188026926;La Pola Llaviana/Pola de Laviana,Senda fluvial del Nalón,Puente D'Arcu,Pista pump track;,,,;;
Área autocaravanas de El Alto de Folgueiróu (Illano);Illano;Occidente de Asturias;30;Gratuita;;Pública;El área se situa en el alto del mismo nombre 2 km antes de llegar a la capital del concejo a la que se accede por la AS-12.;;Pernocta posible  Zona montaña Vaciado aguas negras Vaciado aguas grises Carga agua potable Restaurante (próximo) Zona juegos Zona pícnic Admite mascotas  ;AS12 - km 41 (ÁR de Folgueiróu). 33734. El Alto de Folgueiróu;;;;;43.343333, -6.851667;/documents/39908/62256/piscina-de-Illano.jpg/6c657ac9-7720-5bdc-bdda-7ff3e571bc75?t=1674188004824,/documents/39908/62256/san-esteban-de-los-buitres.jpg/b44f5f0b-993c-7c60-c521-d70dc7456264?t=1674188005525,/documents/39908/62256/vistas-embalse-doiras-desde-mirador-san-esteban-de-los-buitres.jpg/7b541aac-c98f-4ce6-8823-2a1b56f4d33b?t=1674188006215,/documents/39908/62256/a-llastra-da-filadoira-o-dolmen-de-entrerrios.jpg/392a3983-2045-e170-fffd-a14028f2bf1a?t=1674188004054;Piscina en el área recreativa en El Alto de Folgueiróu (Illano),San Esteban de los Buitres en Illano,Vistas del Embalse de Doiras desde el mirador San Esteban de los Buitres,A Llastra do Filadoira o Dolmen de Entrerríos;,,,;;
Área autocaravanas de El Lleráu (Cangas de Onís);Cangas de Onís;Oriente de Asturias;4;Gratuita;48 h.;Pública;Acceso a Cangas de Onís por la carretera N-625.En la rotonda hacia Covadonga y después del túnel, se encuentra el área a la derecha.;;Vaciado aguas grises Vaciado aguas negras Carga agua potable Servicios hostelería (próximos) Supermercado/tienda (próximos) Gasolinera < 10 km Aparcamiento;33550. El Lleráu;;;;;43.352222, -5.124722;/documents/39908/62154/iglesia-de-la-asuncion.jpg/0b89487e-d905-5bcd-b18e-6b4242cc8034?t=1674187897235,/documents/39908/62154/sella-a-su-paso-por-cangas.jpg/debe681b-4d14-af44-f41d-c25d5b17d18d?t=1674187897870,/documents/39908/62154/cruz-victoria.jpg/36dc5eca-61e0-69b3-2dd9-ce3dea229054?t=1674187896627,/documents/39908/62154/vistas-desde-puente-romano.jpg/bb8c7854-3d27-ddf9-3bc9-b7e30749c3eb?t=1674187898864;Iglesia de la Asunción en Cangas de Onís,Río Sella a su paso por Cangas de Onís,Cruz de la Victoria en el Puente Romano,Vistas de Cangas de Onís desde el Puente Romano;,,,;;
Aparcamiento del Restaurante Casa Fernando II;Cudillero;Occidente de Asturias;5;Gratuito. Para hacer uso del área, pasar antes por la recepción del hotel;;Parking;Desde la Autovía de Cantábrico [A-8/E-70] tomar la salida 431 hacia Cudillero. Una vez en la rotonda tomar la tercera salida dirección Las Dueñas y la Concha de Artedo. Coger el desvío a la izquierda. A unos 200m a la izquierda está el hotel-restaurante Casa Fernando II y el área. ;Segunda quincena de diciembre;Pernocta posible  Servicio hostelería Gasolinera próxima <10km.  Parking ;El Rellayo, s/n 33155 Cudillero;985 591 382 / 985 590 292;;;;43.56141, -6.17689;/documents/39908/2561294/Casa-Fernando-%281%29.jpg/46e3da51-58a0-2baf-fa9e-868e0226c0fa?t=1698146257121,/documents/39908/2561294/Casa-Fernando-%282%29.jpg/08cb82a4-d196-6f75-90a3-9de8927dded6?t=1698146259275,/documents/39908/2561294/Casa-Fernando-%283%29.jpg/175dd8d5-31f5-96c7-d775-37ae386ada07?t=1698146261062,/documents/39908/2561294/Casa-Fernando-%284%29.jpg/c3ea051f-3e2c-70ee-354d-54a329490a4d?t=1698146262503;Casa Fernando 1,Casa Fernando 2,Casa Fernando 3,Casa Fernando 4;,,,;;
Área autocaravanas de San Martín de Oscos;San Martín de Oscos;Occidente de Asturias;8;Gratuita;72 h.;Pública;AS-11 dirección hacia La Garganta y en este punto tomar el desvío hacia la AS-13. Desde Grandas de Salime por la AS-14 en Pesoz se tomaría la AS-12 y desde aquí coger la AS-13 que llega a San Martín. En San Martín se toma el desvío hacia Ron y a pocos metros se verá el área recreativa y la de autocaravanas.;;Pernocta posible Carga agua potable Vaciado de aguas grises Vaciado aguas negras Servicios hostelería (próximos) Supermercado/tienda (próximos) Gasolinera < 10 km Zona pícnic Piscina (próxima) Aparcamiento;Parque San Martín de Oscos, 150 A. 33777. Samartín;985 626 000;;;;43.271907,-6.957292;/documents/39908/62133/2022-area-autocaravanas-san-martin-de-oscos+%283%29.jpg/a8213fbd-b004-8c59-2923-5ca9b76d249d?t=1674187877380,/documents/39908/62133/2022-area-autocaravanas-san-martin-de-oscos+%282%29.jpg/2bf93110-b080-1907-ae6a-60e467fb1600?t=1674187876670,/documents/39908/62133/2022-area-autocaravanas-san-martin-de-oscos+%284%29.jpg/5c773842-f62b-cba9-31f5-f03869a6c06e?t=1674187878111,/documents/39908/62133/2022-area-autocaravanas-san-martin-de-oscos+%281%29.jpg/1c776152-c92a-e379-5fd5-f41edd65692c?t=1674187876038;Área autocaravanas Samartín,Área autocaravanas Samartín,Área autocaravanas Samartín,Área autocaravanas Samartín;,,,;;
Área autocaravanas de Navelgas (Tineo);Tineo;Occidente de Asturias;15;Gratuita;48 h.;Pública;Desde Oviedo, Gijón y Avilés dirección a Coruña por la N-632, N-634 o E- 70, en Luarca tomar AS-219 dirección Pola de Allande hasta llegar a Navelgas o dirección La Espina (N-634). Continuar dirección Tineo (AS-216), y tomar desviación Bárcena del Monasterio (AS-217) donde encontramos el desvío a Navelgas (AS-219).;;Pernocta posible Carga agua potable Vaciado aguas grises Vaciado aguas negras Aparcamiento   ;Recinto Ferial de Navelgas (junto al río Navelgas). 33873. Navelgas;;;;;43.403889, -6.541667;/documents/39908/62274/panoramica-de-navelgas.jpg/e1effee2-c482-18d7-0878-edd85418a76d?t=1674188015974,/documents/39908/62274/calle-de-navelgas.jpg/a1b5ad06-12b1-9abb-f98b-e4e4ec70f116?t=1674188014154,/documents/39908/62274/rio-navelgas.jpg/14576b72-3059-188d-8058-81ab335f62ee?t=1674188016580,/documents/39908/62274/panera-en-navelgas.jpg/7b516f19-ebd1-ad96-ed91-fb21ed88fda2?t=1674188014794;Panorámica de Navelgas,Calle en Navelgas,Río Navelgas,Panera en Navelgas;,,,;;
Área autocaravanas centro urbano de Taramundi;Taramundi;Occidente de Asturias;7;Gratuita;;Pública;Acceso a Taramundi por la carretera AS-21. El área está detrás del Polideportivo Municipal .;;Pernocta posible Vaciado aguas negras Vaciado aguas grises Carga agua potable Wifi;C/ Los Castros. (Polideportivo Municipal). 33775. Taramundi;;;;;43.359829,-7.107168;/documents/39908/62289/fuente-taramundi.jpg/d8f1a8e0-859b-dd99-f71e-e1542bfb7eb6?t=1674188037104,/documents/39908/62289/Taramundi_3.jpg/15cbd54b-bf5a-2df1-9315-eea42a53ec01?t=1674188035094,/documents/39908/62289/castro-os-castros.jpg/a053d4e7-ab78-4731-26ba-f4e4ffdb6075?t=1674188035738,/documents/39908/62289/Taramundi_2.jpg/0f3a48ea-8d0d-44bd-2f9b-cdf9380bcac8?t=1674188034495;Fuente en el centro urbano de Taramundi,Área autocaravanas Centro Urbano de Taramundi,Castro Os Castros en Taramundi,Área autocaravanas Centro Urbano de Taramundi;,,,;;
Aparcamiento Autocaravanas en Calle Asturias (Siero);Siero;Centro de Asturias;6;Gratuita;;Pública;Autovía A-64, Sentido Santander, Salida 21 Pola de Siero Sentido Oviedo, Salida 18 N-634 Pola de Siero  ;;Pernocta posible  Agua potable  Vaciado aguas grises  Vaciado aguas negras Gasolinera <10 km  Zona Pic-nic;C/ Asturias;;;;;43.39137,-5.66746;/documents/39908/2515499/Aparcamiento_Autocaravanas_Pola_de_Siero+%282%29.jpg/b66631a4-914b-368f-26f9-8b5166ae24ea?t=1697617841921,/documents/39908/2515499/Aparcamiento_Autocaravanas_Pola_de_Siero+%283%29.jpg/f2d012e9-1899-9ad2-0c87-c9649f1ece02?t=1697617843495,/documents/39908/2515499/Aparcamiento_Autocaravanas_Pola_de_Siero+%284%29.jpg/6154e34f-bf15-6804-35f6-ce4400bd3ac9?t=1697617845123,/documents/39908/2515499/Aparcamiento_Autocaravanas_Pola_de_Siero+%281%29.jpg/7e0c2c36-3a1c-dcf3-0cb6-4c62d77a2d9b?t=1697617839162;Aparcamiento autocaravanas 1,Aparcamiento autocaravanas 2,Aparcamiento autocaravanas 3,Aparcamiento autocaravanas 4;,,,;;
Área de Aparcamiento y Servicios para Autocaravanas de Villaviciosa;Villaviciosa;Oriente de Asturias;8;Gratuito;24 h.;Público;;;Pernocta posible Agua potable Vaciado de aguas grises  Supermercado/tienda < 500 m.  Servicio hostelería Gasolinera próxima <10km.  Transporte púbico Aparcamiento;C/ El Salín. 33300. Villaviciosa;985 891 759;turvilla@lacomarcadelasidra.com;;;43.48762,-5.43580;/documents/39908/4331895/%C3%81REA-APARCAMIENTO-AUROCARAVANAS-VILLAVICIOSA-%285%29.jpg/20d4f6db-33af-486d-40f1-0f6d4767b8f4?t=1709817496300,/documents/39908/4331895/%C3%81REA-APARCAMIENTO-AUROCARAVANAS-VILLAVICIOSA-%284%29.jpg/5c2c61e8-cfc7-0bcf-a8c4-03b83a482296?t=1709817494927,/documents/39908/4331895/%C3%81REA-APARCAMIENTO-AUROCARAVANAS-VILLAVICIOSA-%281%29.jpg/2903374d-acf2-8687-9ded-f283c0f9364c?t=1709817491429;Área de autocaravanas de Villaviciosa,Área de autocaravanas de Villaviciosa,Área de autocaravanas de Villaviciosa;,,;;
Área autocaravanas de La Corredoria (Oviedo);Oviedo;Centro de Asturias;16;Gratuita;72 h.;Pública;Desde la AS-II, tomar la salida 2 y seguir indicaciones al Hospital HUCA, hasta llegar al polideportivo. Justo detrás está el área.;;Carga agua potable Vaciado aguas grises Vaciado aguas negras Servicios hostelería (próximos) Supermercado/tienda (próximos) Gasolinera <10 km Transporte público < 10 km Aparcamiento;C/ Daniel Moyano, 8. 33011. La Corredoria;;;;;43.38278,-5.82417;/documents/39908/62226/area_Corredoria1.jpg/303f406b-0b9e-e1bf-df80-88909fdb8fa9?t=1674187969732,/documents/39908/62226/plaza-trascorrales-oviedo.jpg/b5c80112-3613-bdec-1891-62143b3ca7bc?t=1674187971822,/documents/39908/62226/huca.jpg/1fd00dca-885a-d1c2-c226-2576d48b6952?t=1674187971047,/documents/39908/62226/atardecer-desde-el-naranco.jpg/57da80e9-7faa-2a67-c2ca-15ac8136f37e?t=1674187970449;Área autocaravanas de La Corredoria (Oviedo/Uviéu),Plaza Trascorrales en Oviedo/Uviéu,HUCA en Oviedo/Uviéu,Atardecer desde el Naranco en Oviedo/Uviéu;,,,;;
