Nombre;Concejo;Zona;Dirección;Código postal;Localidad;Teléfono;Email;Web;Más información;Archivo;Título;Facebook;Twitter;Youtube;Pinterest;Instagram;Rss;Canal ;Url;Título;Texto;Horario;Tarifas;Fecha de Construcción;Observaciones;Coordenadas;Slide;Título;Url;Limitación del tamaño/peso de la mascota;Se admiten P.P.P - Perros potencialmente peligrosos;Número máximo de perros por persona;Cupo máximo de perros en el interior;Acceso al interior;Acceso a terraza o zona exterior;Admiten otras mascotas además de perros;Otras mascotas permitidas;Detalle de las normas específicas
Castro de Cabo Blanco;El Franco;Occidente de Asturias;;33746;Valdepares;;;;;;;;;;;;;;;El castro de Cabo Blanco es uno de los castros marítimos que jalonan a cortos intervalos la costa centro-occidental de Asturias y que, hasta la fecha, venían siendo considerados de ocupación principalmente romana;Sobre la costa de la Asturias occidental se suceden varias decenas de asentamientos castreños que se sirvieron de la abrupta línea de acantilados marítimos para favorecer su defensa. El castro de Cabo Blanco es un ejemplo magnífico de este tipo de emplazamiento y constituye, por su gran superficie, próxima a las 6 hectáreas, uno de los más grandes de la región. Su posición facilita la defensa del poblado y ofrece un amplio dominio visual, tanto sobre el horizonte marino como sobre la rasa continental. En origen, durante la Edad del Hierro (siglos VIII-I a.C.), el espacio protegido se limitaba al estrecho brazo de tierra que constituye el cabo, para con el tiempo, probablemente en época romana, extenderse sobre el continente, conformando así un vasto recinto defendido por un parapeto de dimensiones monumentales que, en los tramos que aún se conservan, supera los 4 m de altura. Entre 2005 y 2009 se desarrollaron excavaciones arqueológicas que, bajo la dirección de José Antonio Fanjul Mosteirín, Álvaro Menéndez Granda y Á. Villa Valdés, permitieron descubrir una densa trama de edificios levantados entre el siglo V a.C. hasta el siglo I d.C. y una poderosas muralla de estructura modular, característica de los pueblos prerromanos de Asturias. A excepción de los grandes fosos, los restos descubiertos no son hoy visibles pues fueron nuevamente enterrados tras su excavación. Cómo llegar: N-634. En Valdepares desvío al Norte dirección Fonfría. Un kilómetro de camino rural conduce al castro.;Visita libre;;;;43.567240,-6.855908;/documents/39908/46161/2020-Castro+de+Cabo+Blanco+%281%29.jpg/ef3f34b2-baea-8741-41df-190f96c89e28?t=1674174851651,/documents/39908/46161/2020-Castro+de+Cabo+Blanco+%284%29.jpg/abf3c47a-6b19-e077-6842-056b70f1a8f2?t=1674174853559,/documents/39908/46161/2020-Castro+de+Cabo+Blanco+%282%29.jpg/cf765bee-8399-c819-2ccb-9ebe0c61249f?t=1674174852256,/documents/39908/46161/2020-Castro+de+Cabo+Blanco+%283%29.jpg/3b06d037-cc8b-4ce8-505b-56bf48d61dcd?t=1674174852941;Castro de Cabo Blanco,El Porto/Viavélez y Cabo Blanco,Castro de Cabo Blanco,Castro de Cabo Blanco;,,,;;;;;;;;;
Museo de la Apicultura;Caso;Centro de Asturias;Antigua Escuela (junto a la Iglesia de Santa María la Real de Tanes);33994;Tañes;985 608 097 / 644 272 856 (WhatsApp);museosdecaso@gmail.com;https://museosdecaso.es;;;;;;;;;;;;El Museo de la Apicultura forma junto con el Museo de la Madera, el conjunto de museos etnográficos de Caso;En este concejo, que ocupa una buena parte del espacio protegido Parque Natural de Redes, las formas de vida tradicionales, representativas del mundo rural asturiano, están aún muy presentes. Es por ello que sus museos están dedicados a dos actividades muy arraigadas en ese territorio, la apicultura y el trabajo de la madera. La miel y la cera eran dos productos básicos en la vida de las comunidades rurales. La miel ha sido desde antaño el edulcorante natural y la cera la materia prima con innumerables aplicaciones, siendo la principal la elaboración de velas y cirios. En el Museo de la Apicultura de Caso conoceremos el ciclo vital de las abejas y su importancia para el equilibrio natural del planeta, entenderemos los fundamentos del trabajo del apicultor y las aplicaciones de los productos obtenidos. A través de su exposición observaremos la evolución de las colmenas, los trabajos para su preparación, los cuidados que requerían y la extracción de la miel. Junto a ello, una interesante colección de herramientas, utensilios e indumentaria necesarios para que los apicultores realicen su labor. La visita al Museo de la Apicultura es una estupenda visita para los niños, un buen plan para realizar en familia. Desde un documental expresamente concebido para ellos hasta una simpática abeja, nuestra mascota, todo está listo para recibir a nuestros pequeños visitantes. El entorno del Museo de la Apicultura es sin duda espectacular. El edificio que lo alberga, una antigua escuela rural, está situado próximo a Santa María de Tanes, un hermoso ejemplo de iglesia rural asturiana que comenzó a construirse en el siglo XVI en un solar que ocupaba una iglesia medieval y conserva añadidos de siglos posteriores. Destaca su pórtico con ventanas abiertas al actual embalse de Tanes, desde donde podremos disfrutar del hermoso paisaje de este rincón del concejo de Caso.  ;Consultar aquí Las visitas de los colegios se concertarán los días de apertura.;;;;43.203777, -5.395626;/documents/39908/46446/AuladelaApicultura1.jpg/2972778d-7612-4e0e-60e6-043fead16193?t=1674175181841,/documents/39908/46446/AuladelaApicultura2.jpg/4d3e4db3-ea63-3f78-1a98-d1c726661d02?t=1674175182480,/documents/39908/46446/AuladelaApicultura3.jpg/58e4e92b-e70c-a78b-fa88-ddd9131ce8a2?t=1674175183182,/documents/39908/46446/Apicultura_7.jpg/0d90793f-a42a-d98d-9524-7cf8458f0a1f?t=1674175189209;Museo de la Apicultura exterior,Museo de la Apicultura interior,Museo de la Apicultura,Aula de la Apicultura interior;,,,;Sin limitación;Si;2;Sin limitación;Si;;Si;;Siempre atado y si no tiene conflicto con otras mascotas o personas. El perro problemático tendrá que salir del museo.
Museo de la Minería y de la Industria de Asturias (MUMI);San Martín del Rey Aurelio;Centro de Asturias;El Trabanquín;33940;L'Entregu/El Entrego;985 663 133;reservas@mumi.es;;;;;;;;;;;;;Ubicado en la localidad de L' Entregu/El Entrego (San Martín del Rey Aurelio), fue concebido como un homenaje a la actividad minera en Asturias;Este equipamiento, concebido como homenaje e instalación que recoge la memoria histórica de la minería para la posteridad, consta de distintas áreas donde se contemplan imágenes de la actividad minera, maquinaria, minerales, bibliografía y todo lo relativo a la sociología laboral de la minería – enfermería, casa-aseo, etc.-. Tal vez el espacio más espectacular es la mina-imagen, donde se reproduce el interior de una explotación con verdadero realismo (‘jaula' incluida). Además, el museo está estratégicamente ubicado en una zona donde, a pocos metros, se encuentra el histórico pozo San Vicente - el primero autogestionado por un sindicato minero durante la década de los años 20 del siglo XX -, el pozo Sotón, aún en activo y declarado Bien de Interés Cultural, el Ecomuseo del Valle de Samuño, el conjunto de puentes del Ferrocarril de Langreo ‘Los ingleses', y ‘Los gallegos', o la Fábrica de la Sociedad Metalúrgica Duro-Felguera. Todo un conjunto de vestigios y recursos que componen una verdadera ‘milla de oro' del turismo industrial.;Noviembre a febrero: Martes a sábado: 10:00 a 14:00 y 16:00 a 19:00 h. Domingo: 10:00 a 14:00 h. Marzo a octubre: Martes a domingo: 10:00 a 14:00 y 16:00 a 19:00 h. Cerrado: lunes, 25 de diciembre, 24 y 31 de diciembre (tardes), 1 y 6 de enero,  ;Individual: 9,50 € Niños (4 a 12): 6 € Grupos (+15 pax): 5,50 € Tarifas reducidas (+ 65 años, familias numerosas, discapacitados) y otras tarifas: consultar;;Accesible. Visitas grupos: Se recomienda realizar la reserva de visita para grupos con la mayor antelación posible: 985 663 133 / reservas@mumi.es.  El mínimo de visitantes para grupo es de 15 personas. La hora de reserva para visita al Museo, indica la hora de llegada del grupo a las instalaciones.  El acceso a la mina estará determinado por la afluencia de visitantes en ese momento. Se recomienda que el grupo disponga de unas dos horas para la visita, previas a la hora de cierre del Museo. Visitas individuales: No es necesario formar parte de un grupo numeroso para el acceso a la mina.  Las personas que visitan el Museo de la Minería y de la Industria de Asturias de forma individual, accederán al interior de la mina en grupos formados en el propio Museo. La hora de acceso a la mina estará determinado por la afluencia de público en ese momento. Se recomienda disponer de unas dos horas para la visita, previas a la hora de cierre del Museo.;43.288228,-5.653128;/documents/39908/62001/2022-MUMI+%281%29.jpg/e9f61d68-eb5e-5538-5526-f2b3631cbbf0?t=1674187743696,/documents/39908/62001/2022-MUMI+%282%29.jpg/6560fd5d-9f9d-4027-08e8-bb320f8c53ac?t=1674187744497,/documents/39908/62001/2022-MUMI+%283%29.jpg/8263fdfc-1d56-cd35-8116-37d25cd5bd8b?t=1674187745062,/documents/39908/62001/2022-MUMI+%284%29.jpg/7106b938-80de-2581-7a1b-df8595e7ee1f?t=1674187745839;Museo de la Minería y de la Industria - MUMI,Museo de la Minería y de la Industria - MUMI,Museo de la Minería y de la Industria - MUMI,Museo de la Minería y de la Industria - MUMI;,,,;;;;;;;;;
Museo Etnográfico del Oriente de Asturias;Llanes;Oriente de Asturias;Barrio Llacín;33509;Porrúa;985 402 547;info@etnoriente.com;https://etnoriente.com/;;;;;;;;;;;;Museo referente de la cultura tradicional asturiana, situado a cuatro km de Llanes;Inaugurado en el año 2000, el Museo tiene su origen en la donación de las casas y finca de Llacín, realizada en 1994 por Teresa Sordo Sordo y Luis Haces Sordo, hijos de Porrúa y residentes en México. La donación estimuló la creación de la Asociación Cultural Llacín que decidió promover, crear y gestionar un museo etnográfico, con el objeto de dar a los bienes donados una finalidad cultural y recreativa. Los edificios del Museo se encuentran en una finca de una hectárea de superficie habilitada como parque público, con una amplia representación de árboles frutales y de bosque. Entre los árboles destaca la presencia monumental de un aguacate traído de México y plantado en 1906. El perímetro de su tronco en la actualidad es de 7,20 metros. El Museo pretende ser un centro cultural dinámico comprometido con la exposición y divulgación de elementos de interés histórico y etnográfico, pero también un lugar dedicado a investigar, y a proteger el patrimonio cultural asturiano. Las casas que forman el Museo están dispuestas en dos hileras paralelas unidas mediante un corredor volado de madera. En su interior se visitan las dependencias de una casa campesina tradicional: vestíbulo o estregal, cocina, sala, cuarto de habitación, cuadra y lagar para sidra, y una serie de exposiciones temáticas dedicadas a la elaboración del queso y la manteca, la fabricación manual de tejas y ladrillos, procesos textiles, indumentaria popular tradicional, taller de carpintero, herramientas de corte de la madera, lavanderas, aperos, una colección de piezas de metal esmaltado. Ruta Paisaje Cultural de Mañanga: Es un recorrido por las inmediaciones del pueblo de Porrúa y que se adentra en un espacio de gran riqueza paisajística y patrimonial llamado Mañanga. Durante el recorrido se explican las formas de vida tradicionales basadas en la ganadería y la agricultura, el sistema de trashumancia, la importancia del agua, las actividades preindustriales como la fabricación de la cal, así como la influencia de la emigración en la conformación del espacio urbano y la arquitectura de los pueblos. Distancia: 7 km Duración: 2 h 30 min Dificultad: baja Ruta guiada en grupo: 5 € (adultos) 3 € (4 a 14 años) Paseo del Agua: Este paseo nos permite conocer la evolución histórica de la localidad de Porrúa a través de un recurso básico para la vida cotidiana: el agua. Con esta ruta queremos destacar la importancia del agua en los diferentes ámbitos de la vida cotidiana y cómo las posibilidades de acceso y disfrute acompañan los avances en nuestra sociedad. Se visitan a lo largo del pueblo diferentes localizaciones: lavadero, fuentes, abrevaderos, depósito de agua. Distancia: 4 km Duración: 1 h 15 min Dificultad: baja Paseo guiado en grupo: 3 € (adultos) 1 € (4 a 14 años);Cerrado: 16/12 a 16/01 01/07 a 08/09: Lunes a domingo: 11:00 a 13:30 y 17:00 a 20:00 h. Resto del año: Consultar;Individual: 3 € Niños (5 a 14 años): 2 € Grupos: 1,50 € Gratis: martes ;2000;;43.413054,-4.799338;/documents/39908/46842/etnografico-del-oriente+%286%29.jpg/0305956a-335a-6014-5e80-882a98ca3507?t=1698236423404,/documents/39908/46842/etnografico-del-oriente+%281%29.jpg/1d9d8f33-8331-d481-33f0-44ae9bb25cd4?t=1698236414597,/documents/39908/46842/etnografico-del-oriente+%288%29.jpg/b37763f4-cac7-89dd-f5ac-48364eb46300?t=1698236426703,/documents/39908/46842/etnografico-del-oriente+%282%29.jpg/d5622960-c33f-bdd7-fe32-0ed536353f67?t=1698236417017,/documents/39908/46842/etnografico-del-oriente+%285%29.jpg/b13d18e7-34e1-0e23-f3aa-74a8c600bd93?t=1698236421795,/documents/39908/46842/etnografico-del-oriente+%283%29.jpg/ced9a4a4-1200-152e-6d83-911b5028a23b?t=1698236418480,/documents/39908/46842/etnografico-del-oriente+%287%29.jpg/6250b206-90cd-63d6-0800-0ede7cf47305?t=1698236424887,/documents/39908/46842/etnografico-del-oriente+%289%29.jpg/95326d91-2f41-4804-8b02-d655411ae0be?t=1698236428123;Museo Etnográfico del Oriente de Asturias,Museo Etnográfico del Oriente de Asturias,Museo Etnográfico del Oriente de Asturias,Museo Etnográfico del Oriente de Asturias,,,,;,,,,,,,;;;;;;;;;
Museo Arqueológico de Asturias;Oviedo;Centro de Asturias;C/ San Vicente, 5;33003;Oviedo/Uviéu;985 208 977;info@museoarqueologicodeasturias.com;;,;/documents/39908/46860/Museo+Arqueol%C3%B3gico+de+Asturias.pdf/9d7879cb-54d3-a228-dd92-0ea8690a2310?t=1674175480957;Ficha de accesibilidad;;;;;;;;;Centro de referencia para el estudio y la promoción de la arqueología asturiana;El Museo Arqueológico de Asturias está instalado en el antiguo monasterio benedictino de San Vicente, del siglo XVI, edificio íntimamente ligado a la historia de Oviedo/Uviéu, y en el que vivió y escribió todas sus obras el Padre Benito Feijoo (1676-1764). A través de su colección permanente, el Museo ofrece una lectura de la historia a la luz de los más recientes descubrimientos arqueológicos realizados en la región. En el nuevo centro se ha buscado el rigor científico y museográfico a través de la revalorización de numerosos objetos originales interpretados en su contexto geo-histórico. La exposición se organiza en tres plantas del edificio, y en ella se muestran las principales etapas culturales desde la Prehistoria hasta los albores de la Edad Moderna. El hilo conductor de la secuencia histórica se completa con una sección específica destinada a la historia de la formación del museo que, en el caso de Asturias, transcurre de forma paralela a los inicios de la arqueología científica en la región. La visita incluye una sala dedicada a la difusión de los testimonios asturianos declarados Patrimonio Mundial como son las cuevas prehistóricas con arte rupestre y los monumentos del Reino de Asturias. La exposición permanente utiliza distintos elementos interactivos y otros tradicionales como las maquetas en tres dimensiones, dibujos de detalles técnicos y otros con reconstrucciones, mapas y audiovisuales que permiten ampliar la introducción textual a cada apartado.;Miércoles a viernes: 9:30 a 20:00 h. Sábados: 9:30 a 14:00 y 17:00 a 20:00 h. Domingo y festivos: 9:30 a 15:00 h. Cerrado: Lunes y martes ;Gratuito;1952;;43.363115,-5.842337;/documents/39908/46860/MuseoArqueologico1.jpg/260185fc-a286-a621-67f9-b69dbd22f3ad?t=1674175478671,/documents/39908/46860/MuseoArqueologico2.jpg/f12e6eb9-3a8c-58df-ddaf-bfb23cec5d3e?t=1674175479237,/documents/39908/46860/MuseoArqueologico3.jpg/02bebb65-19fb-bc38-984a-6b9e509c65e8?t=1674175479795,/documents/39908/46860/MuseoArqueologico4.jpg/9ff30d6d-4539-5212-d7d6-d0e56adfbe5c?t=1674175480397;Museo Arqueológico de Asturias,Museo Arqueológico deAsturias,Museo Arqueológico deAsturias,Museo Arqueológico deAsturias;,,,;;;;;;;;;
Centro de Interpretación de la Artesanía del Hierro;Boal;Occidente de Asturias;33720. Rozadas;33720;Rozadas;689 573 196;;https://www.parquehistorico.org/;;;;;;;;;;;;Una importante muestra del trabajo artesano del hierro.;Este centro recoge la historia de la artesanía del hierro en el concejo de Boal y su comercialización, una gran actividad que se extendió durante los siglos XVIII y XIX. Ubicado en las antiguas escuelas, de inicios del siglo XX, financiadas por emigrantes del concejo a La Habana la muestra contiene útiles propios de las labores de herrerías y fraguas (clavos, martillos...) en actividad hasta mediados del siglo XX.;01/07 a 30/09: Jueves y sábado: 15:30 a 18:00 h.  Cerrado: 31 de julio, 18, 19, 25, 26 y 29 de septiembre ;Individual: 2 € Infantil y senior: 1,5 € Grupos + 15 pax: 1,5 € Martes y < 5 años: gratuito;;Visitas guiadas (actividades gratuitas): Castro de Pendia: martes y jueves: 17:00 h. Punto de encuentro: Castro de Pendia. Paseo Indiano: miércoles y viernes: 17:00 h. Punto de encuentro: Oficina de Turismo. Las visitas se realizarán si se han sido reservadas previamente.    ;43.439369,-6.85695;/documents/39908/46341/artesania-hierro.jpg/17ce19ea-7cf5-a094-95ee-4a916be65ac3?t=1674175049314,/documents/39908/46341/artesania-del-hiero+%282%29.jpg/22c2a6c5-6eee-8518-5875-0ee2b4c0cfbd?t=1674175050470,/documents/39908/46341/artesania-del-hiero+%283%29.jpg/d5963d8d-ba90-f286-4cc9-01533a125dee?t=1674175051087,/documents/39908/46341/artesania-del-hiero+%281%29.jpg/7c731c25-aca0-8700-4329-1a360680a5cb?t=1674175049890;CI de la Artesanía del Hierro,CI de la Artesanía del Hierro,CI de la Artesanía del Hierro,CI de la Artesanía del Hierro;,,,;;;;;;;;;
Centro de Interpretación del Cine en Asturias (CICA);Gijón;Centro de Asturias;C/ Fernández Vallín, 5 (esquina Padilla) - Casino de Asturias;33205;Gijón/Xixón;985 340 018;administración@cica-asturias.org;https://casino-asturias.com/salas-cica/;;;;https://www.facebook.com/CICA-Centro-de-Interpretaci%C3%B3n-de-Cine-de-Asturias-181602205210519;;;;;;;;En el CICA disfrutarás de la magia del cine más allá de las pantallas;El Centro de Interpretación del Cine en Asturias está alojado en la cuarta planta del Casino de Asturias, donde antiguamente se ubicaban las localidades de "general" del Cine Hernán Cortés. Dispone de una sala de audiovisuales y conferencias con un aforo de 33 butacas, equipada con las últimas tecnologías de proyección y sonido. Ciclos de cine, presentaciones de libros, conferencias de profesionales relacionados con el mundo audiovisual o recitales de música forman parte del programa de actividades planificado por el Centro de Interpretación del Cine en Asturias. También hay un espacio para exposiciones temporales y una mediateca compuesta por el área didáctica (enciclopedia de cinematografía española y dos bases de datos asociadas a la misma), el área de cine (servicio de visionado individual), el área sonora (trescientas piezas musicales de bandas sonoras relacionadas con el séptimo arte y la televisión), el área logística (guía con las empresas del sector audiovisual en Asturias), el área de Internet y la biblioteca.;Lunes a domingo: 18:00 a 21:30 h. Cerrado: agosto;Tarifas: Acceso: 2 € Menores de 18 años y desempleados gratis;;;43.539670, -5.662386;/documents/39908/46455/CineAsturias.jpg/c3932cb4-0545-22b1-e7f2-8f062e3800fb?t=1674175196842,/documents/39908/46455/SalaExposicionCICA.jpg/6d0adeb8-e6f9-d155-d98d-9b2c0bad4fed?t=1674175197424,/documents/39908/46455/VistaGeneral_CICA.jpg/fb1741bb-9e2b-e6b2-03a8-0e6f851be646?t=1674175198040,/documents/39908/46455/CICA.jpg/c6d1e306-45e4-ad32-33ca-8ff0fa422c68?t=1674175196253;Vista general del Centro de Interpretación del Cine en Asturias,Sala de exposiciones del Centro de Interpretación del Cine en Asturias,Sala de exposiciones del Centro de Interpretación del Cine en Asturias,Sala de exposiciones del Centro de Interpretación del Cine en Asturias;,,,;;;;;;;;;
Conjunto Etnográfico de Mazonovo;Santa Eulalia de Oscos;Occidente de Asturias;El Mazonovo;33776;Santalla;620 309 362;ferreirosdemazonovo@gmail.com;https://ferreirosdemazonovo.com;;;;;;;;;;;;Este conjunto se halla restaurado y rehabilitado en su integridad para la comprensión de la industria del hierro.;El edificio de la ferrería se organizaba en torno a dos espacios que albergaban los ingenios hidráulicos: el mazo y los ''barquines'', o grandes fuelles, donde, además se situaba el horno, que queda incluido en la misma área que aloja el mazo. El conjunto se complementaba con el complejo hidráulico constituido por la presa sobre el río, el canal y el estanque de acumulación de agua o "banzao". Las características más destacables de esta ferrería son: la desviación del río mediante piedras, el canal excavado en el terreno, el banzao de lajas de piedra hincadas verticalmente, salvo en su último tramo que es de madera y la "tromba" de aire que también es de madera. En cuanto al edificio de la ferrería propiamente dicho, cabe destacar que es uno de los más interesantes por encontrarse en un estado en el que no ha sufrido grandes modificaciones con el paso del tiempo. El edificio posee fábrica de mampostería irregular de piedra en sus paramentos, con cubrición de lajas de pizarra que se clavan a rípias apoyadas sobre durmientes y vigas de madera. Los elementos que se encuentran fuera del edificio son tres: La presa o "tirula", construida a base de lajas de piedra atravesadas. El canal de unos 350 metros, excavado en el propio terreno. El banzao, formado por lajas de piedra de pizarra, hincadas en el suelo longitudinalmente y estando su último tramo realizado en madera. En cuanto a los mecanismos del mazo, destacan: la rueda hidráulica, de madera de roble y 2,30 metros de diámetro exterior. El eje o árbol, de madera de roble, con una longitud de 5,13 metros, equipado con "sellos" y "xemelas" realizados en hierro, etc. La trompa de aire es uno de los elementos más curiosos del conjunto, realizada en madera, así como los tubos de comunicación con el hogar. Existen dos hogares: el principal, alimentado con aire de la 'trompa' y situado junto al "martillo", y otro secundario alimentado con un fuelle manual y que servía como "fragua".;16/09 a 14/06: Sábado: 11:30 a 14:00 y 16:00 a 19:00 h. Domingo: 11:30 a 14:00 h. Cerrado: domingo tarde y lunes. Demostraciones: Sábado: 11:30, 12:30, 13:30, 16:30, 17:30 y 18:30 h. Domingo: 11:30, 12:30 y 13:30 h. Martes a viernes 13:00 h. (visita con cita previa) 620 309 362 / 696 697 459 15/06 a 15/09: Martes a sábado: 11:30 a 14:00 y 16:30 a 20:00 h. Domingo: 11:30 a 14:00 h. Cerrado: domingo tarde y lunes Demostraciones: 11:30, 12:30, 13:30, 16:30, 17:30, 18:30 y 19:30 h.  ;Individual: 4 €/pax 10 a 16 años: 2 €    ;;;+43.23512,-7.013689;/documents/39908/46260/Exterior+del+conjunto+Etnografico+del+Mazonovo+en+Santa+Eulalia+de+Oscos.jpg/73a6b8d1-972d-28b0-b002-a8fca748cde3?t=1674174982857,/documents/39908/46260/Conjunto+Etnografico+del+Mazonovo+en+Santa+Eulalia+de+Oscos.jpg/08305bd0-da04-1705-c8ea-dced4f90e211?t=1674174981608,/documents/39908/46260/_9090229.jpg/2c102c5d-111d-a7cb-006b-992fef1587b0?t=1674174980979,/documents/39908/46260/Mazonovo+mazo.jpg/80a0c746-a6df-cb9f-f873-b241d137a133?t=1674174983752;exterior del Conjunto Etnográfico de Mazonovo, Santa Eulalia de Oscos,Conjunto Etnográfico de Mazonovo, Santa Eulalia de Oscos,Ferreiro Conjunto en el Conjunto Etnográfico de Mazonovo, Santa Eulalia de Oscos,Conjunto en el Conjunto Etnográfico de Mazonovo, Santa Eulalia de Oscos;,,,;Sin limitación;;;;;Si;;;En nuestra visita hacemos la demostracion del mazo hidráulico al final de ella y esto hace ruido. Nosotros informamos de eso a la gente que nos visita con perros para que ellos decidan si entran o no.
Dolmen de Merillés;Tineo;Occidente de Asturias;;33876;Merías;;;;;;;;;;;;;;;No queda rastro de la masa tumular que presumiblemente lo cubría.;Este megalito situado en la sierra de Merillés, una de las estribaciones noroccidentales de la Sierra de Peña Manteca, se encuentra en un aceptable estado de conservación. En la actualidad conserva cuatro ortostatos cuya disposición permite el acceso al interior de la cámara desde el norte, cámara cuyo alzado se sitúa en torno a los 80 centímetros. La única losa de la cobertera mide 2,70 x 2,05 x 0,25 metros y está estriada en su cuadrante noroccidental. La ubicación de este dolmen permite el contacto visual con otra importante estación megalítica situada al norte: Las Chamas de Penausén (Salas).  ;Visita libre.;;IV-III milenio A.C.;CÓMO LLEGAR: Desde la AS-15, tramo Soto de los Infantes-Soto de la Barca, hasta Puente Tuña, punto en el que se toma la AS-310 hasta Merillés. Desde este lugar se continúa a pie por un camino de fuerte pendiente que conduce al emplazamiento del dolmen en aproximadamente 45 minutos. Éste se encuentra en una parcela cercada por un muro de piedra, en el paraje denominado Las Cabanas. Permitido el acceso de mascotas.;43.27394,-6.345917;/documents/39908/46155/AV-dolmen-de-merilles+%284%29.jpg/25cebe84-3659-de75-ce5f-dc726f7732e8?t=1674174846604,/documents/39908/46155/AV-dolmen-de-merilles+%283%29.jpg/689b6d9d-c425-da17-072b-3a3991d6104e?t=1674174846002,/documents/39908/46155/AV-dolmen-de-merilles+%282%29.jpg/4f6d1c6d-10e3-6f64-8607-f5a7261a6487?t=1674174845228,/documents/39908/46155/AV-dolmen-de-merilles+%281%29.jpg/9125b291-8ca8-a947-3703-c604f6acdf51?t=1674174844611;Dolmen de Merillés en Tineo,Dolmen de Merillés en Tineo,Dolmen de Merillés en Tineo,Dolmen de Merillés en Tineo;,,,;;;;;;;;;
Castro de Pendia;Boal;Occidente de Asturias;33726. Pendia;33726;Pendia;985 620 629;;;;/documents/39908/46197/Castro+de+Pendia.pdf/469e4dbe-2298-7b04-6896-34a5147b2310?t=1674174886167;Más información;;;;;;;;;El Castro de Pendia, con su entorno de protección, está declarado Bien de Interés Cultural desde 2014;La historia de la investigación de este pequeño castro se encuentra directamente vinculada a la del Castelón de Coaña, pues fueron excavados de forma simultánea a comienzos de los años cuarenta por Antonio García y Bellido y Juan Uría Ríu. No obstante, las primeras noticias que dan cuenta de su existencia se deben a Bernardo Acevedo y Huelves que realiza en 1898 una primera descripción de las ruinas, ampliada en 1929 por Alejandro García. En 1934, José Artime, vecino de Boal realiza algunas excavaciones y, finalmente, en 1940 dan comienzo los trabajos que exhumarían el resto del poblado. En 1999, la Consejería de Cultura del Principado de Asturias emprendió la re-excavación de los edificios más importantes como paso previo a la consolidación integral del yacimiento como parte de las intervenciones programadas en el Plan Arqueológico Director de la Cuenca del Navia, trabajos realizados bajo la dirección de Fernando Rodríguez del Cueto y Ángel Villa Valdés. El castro ha sido calificado de poblado enigmático por la llamativa desproporción entre las monumentales fortificaciones (fosos y murallas) y el reducido recinto que protegían en el que apenas se han exhumado una decena de cabañas. El acceso se realiza por un estrecho sendero que deja a la izquierda el foso defensivo que aislaba el asentamiento del resto de la sierra. Sobre su escarpe interior se aprecia la muralla que remata en torre en el punto más elevado del recinto y desde la que se disfruta una espléndida vista de conjunto. En su interior se disponen una docena de cabañas, de planta circular u oblonga, entre las que destaca por su amplitud y aislamiento la situada en el sector norte, levantada dentro de un recinto segregado del poblado por una segunda muralla. Estas construcciones de gran tamaño, son frecuentes en los castros y se interpretan como edificios de uso comunal. Algo semejante a lo que ocurre con las dos saunas. Edificios singulares, comunes en los castros del Navia, de planta rectangular, cubiertas en falsa bóveda con cabecera semicircular en la más antigua y cuadrangular en la segunda. La fundación del poblado se remonta a la Edad del Hierro (siglos IV-I a.C.) si bien su ocupación se prolonga hasta el siglo I d.C. ya bajo dominación romana.  ;Visita libre Para visitas guiadas consultar en la Oficina Turismo de Boal;;Siglo I;CÓMO LLEGAR: Acceso señalizado desde la AS-12, a su paso por la localidad de Pendia PK19. Carretera local 2 Km. Pista sin acondicionar 1 Km. Permitido el acceso de mascotas.;43.432055,-6.772397;/documents/39908/46197/castrodependia-boal.jpg/27678e08-2892-5fc6-6d27-93f71d2ef5a4?t=1674174887186,/documents/39908/46197/RutadelosCastros_Boal_JuanchoAspra_MG_7849.jpg/828f5be0-ef6e-04dd-df18-5094afdf242e?t=1674174887749,/documents/39908/46197/05100.jpg/6250533e-2718-267f-fb2c-c045fd9f2f97?t=1674174888967,/documents/39908/46197/05553.JPG/6d355739-e6f6-73a5-0721-5454314617a7?t=1674174888320;Castro de Pendia en Boal,Castro de Pendia en Boal,Castro de Pendia en Boal,Castro de Pendia en Boal;,,,;;;;;;;;;
