Nombre;Zona;Dirección 2;Dirección;Localidad;Concejo;Código Postal;Teléfono;Email;Web;Facebook;Twitter;Instagram;TikTok;Youtube;Abierto todo el año;Apertura;Horario;Más información;Visitas guiadas;Exposiciones;Observaciones;QCalidad;Información y normas para mascotas;Coordenadas;Slide;Título;Url;Limitación del tamaño/peso de la mascota;Se admiten P.P.P - Perros potencialmente peligrosos;Número máximo de perros por persona;Cupo máximo de perros en el interior;Acceso al interior;Acceso a terraza o zona exterior;Admiten otras mascotas además de perros;Otras mascotas permitidas;Detalle de las normas específicas
Oficina de Turismo de Piedras Blancas;Centro de Asturias;Plaza Europa, 1;Plaza Europa, 1;Piedrasblancas;Castrillón;33450;985 507 677;oitpiedrasblancas@ayto-castrillon.es;https://www.castrillonturismo.es/castrillon/;https://www.facebook.com/turismodecastrillon/;;https://www.instagram.com/turismocastrillon/;;;Si;;Enero a diciembre: Lunes a viernes:  8:00 a 15:00 h.;;;;;;;43.559486, -5.977221;/documents/39908/47085/Oficina-de-Informaci%C3%B3n-Tur%C3%ADstica-de-Piedras-Blancas.jpg/4ab993c8-0036-8522-c058-d0935f58a5f8?t=1674175585325;Oficina de Turismo de Piedras Blancas (Castrillón);;;;;;;;;;
Oficina de Turismo del Aeropuerto de Asturias;Centro de Asturias;Aeropuerto de Asturias;Aeropuerto de Asturias;Santiagu'l Monte;Castrillón;33459;985 122 553;aeropuerto@turismoycultura.asturias.es;https://www.turismoasturias.es;https://www.facebook.com/TurismoAsturias;https://twitter.com/TurismoAsturias;https://www.instagram.com/turismoasturias;;;Si;;Lunes a sábado: 11:00 a 16:30 y 17:00 a 20:30 h. Domingos: 11:00 a 16:30 y 17:00 a 17:45 h.;;;;;;;43.559432, -6.032647;/documents/39908/47094/OT_Aeropuerto.jpg/e294313c-062a-da07-cea4-35b5d75937c8?t=1674175588392;Centro de Información Turística del Aeropuerto de Asturias;;;;;;;;;;
Oficina de Turismo de Luanco;Centro de Asturias;C/ de Gijón, 8 (Museo Marítimo de Asturias);C/ de Gijón, 8 (Museo Marítimo de Asturias);Lluanco/Luanco;Gozón;33440;985 882 644;turismo@ayto-gozon.org;https://www.ayto-gozon.org/;;;;;;Si;;Lunes a sábado: 11:00 a 14:00 y 17:00 a 20:00 h. Domingos: 11:00 a 14:00 h. (hasta nuevo aviso);;;;;;;43.616007,-5.789743;/documents/39908/47043/oficina-muma-11.jpg/4ec11289-7f34-4f99-a99c-526df6da4b12?t=1674175572746;Oficina de Turismo de Luanco;;;;;;;;;;
Oficina de Turismo de Llanera;Centro de Asturias;Avda. de Oviedo 2;Avda. de Oviedo 2;Posada;Llanera;33424;984 183 842 / 985 770 007 (Ayto);turismo@llanera.es;;;;;;;;;Consultar;;;;;;;43.439739,-5.850226;/documents/39908/44325/OficinaTurismo1.jpg/0230718f-905e-1f18-8f31-c19332cc4fc6?t=1674173326194;logo;;;;;;;;;;
Oficina de turismo de Santa Eulalia de Oscos;Occidente de Asturias;Plaza de Sargadelos;Plaza de Sargadelos;Santalla;Santa Eulalia de Oscos;33776;985 621 261 / 985 626 032 (Ayto);turismosantalla@yahoo.es;https://www.santaeulaliadeoscos.es;;;;;;No;SS y 01/07 a 30/09;Semana Santa: Jueves, viernes y sábado: 10:00 a 13:30 y 16:00 a 19:00 h. Domingo: 10:30 a 13:00 h. 01/07 a 30/09: Martes a sábado: 10:00 a 13:30 y 16:00 a 19:00 h. Domingos: 10:30 a 13:00 h Cerrado: lunes;;;;;;;43.258979,-7.020114;/documents/39908/44325/OficinaTurismo1.jpg/0230718f-905e-1f18-8f31-c19332cc4fc6?t=1674173326194;logo;;;;;;;;;;
Oficina de turismo de Teverga;Centro de Asturias;Avda. Doctor García Miranda;Avda. Doctor García Miranda;Samartín;Teverga;33111;985 764 293;serviciosgenerales@aytoteverga.org;https://www.tevergaturismo.es/;https://www.facebook.com/TevergaTurismo/;https://twitter.com/Tevergaturismo;https://www.instagram.com/tevergaturismo/;;;Si;;Sábados y domingos (atención en C/ Dr. García Miranda, 14): 10:30 a 13:30 h. Lunes a viernes: Mañanas (atención en el Ayuntamiento, Samartín) Tardes (atención Telecentro – C/ Manuel Lombardero, Samartín);;;;;;;43.16113,-6.097952;/documents/39908/44325/OficinaTurismo1.jpg/0230718f-905e-1f18-8f31-c19332cc4fc6?t=1674173326194;logo;;;;;;;;;;
Oficina de información turística de Viavélez;Occidente de Asturias;Puerto de Viavélez;Puerto de Viavélez;El Porto/Viavélez;El Franco;33750;690 844 915;turismo@elfranco.es;https://www.elfranco.es/;https://www.facebook.com/eventoselfranco?ref=py_c;;;;;No;;01/05 a 30/09: Sábados y domingos: 12:00 a 14:00 y 17:00 a 20:00 h.;;;;;;;43.563153,-6.840067;/documents/39908/47052/foto-OT-Viav%C3%A9lez.jpg/d9cc257e-df7b-6e9a-c9cf-3566fd16562e?t=1674175575573;Oficina de información turística de Viavélez;;;;;;;;;;
Centro de Recepción de Visitantes de Aller;Centro de Asturias;Complejo Cívico Deportivo;Complejo Cívico Deportivo;Caborana;Aller;33684;985 481 439;info@aller.es;https://www.aller.es/;facebook.com/turismo.aller;https://twitter.com/turismoaller?lang=es;instagram.com/turismoaller_asturias;;;Si;;Lunes a viernes: 9:30 a 14:30 h. y 16:00 a 18:30 h.  Cerrado: fines de semana, festivos, 24, 25, y 31 de diciembre, 1 y 6 de enero.;;;;;;;43.176085,-5.751731;/documents/39908/46938/CRVA.jpg/4e9904fe-a493-8f0f-ee08-35caa1b1fb66?t=1674175541146;Centro de Recepción de Visitantes de Aller;;;;;;;;;;
Punto de información turística de Vegadeo;Occidente de Asturias;Plaza del Ayuntamiento;Plaza del Ayuntamiento;A Veiga/Vegadeo;Vegadeo;33770;624 126 706 / 985 634 022 (Ayto);oficinaturismo@vegadeo.es;https://www.vegadeo.es/turismo;https://www.facebook.com/VegadeoTurismo;https://twitter.com/aytovegadeo?lang=es;https://www.instagram.com/vegadeoturismo/;;;No;;01/07 a 30/09: Martes a sábado: 10:00 a 14:00 y 16:00 a 19:00 h. Domingo: 10:00 a 14:00 h.;;;;;;;43.471359,-7.051957;/documents/39908/46965/Vaca-Silvallana_-Vegadeo.jpg/5c85093f-8f87-8172-896b-d531b6619b43?t=1674175550170;Oficina de Turismo de Vegadeo;;;;;;;;;;
Oficina de Turismo de Villaviciosa;Oriente de Asturias;Casa de los Hevia - C/ del Agua, 29;Casa de los Hevia - C/ del Agua, 29;Villaviciosa;Villaviciosa;33300;985 891 759;turvilla@lacomarcadelasidra.com;https://www.turismovillaviciosa.es/turismo/villaviciosa/asturias,www.lacomarcadelasidra.com;https://www.facebook.com/Comarcadelasidra/;https://twitter.com/comarcasidra;https://www.instagram.com/comarcadelasidra/;;;Si;;Otoño e invierno: Martes:  10:00 a 14:30  Miercoles a Sábado: 10:00 a 14:30 y 15:30 a 18:00 h. Cerrado: domingo y lunes Primavera y verano: Miércoles a sábado: 10:00 a 14:30 y 15:30 a 18:00 h. Domingos: 10:00 a 14:30 h. Cerrado: lunes y martes;;;;;;;43.482158,-5.436389;/documents/39908/47061/OT_Villaviciosa3.jpg/e19130a2-bd92-cc2e-7e6a-e5edf77a765c?t=1674175578370;logo;;Sin limitación;Si;Sin limitación;Sin limitación;Si;Si;Si;Gatos y similares;Recuerda que hay algunas personas que temen o les causan alergia los animales, por lo que te agradeceremos que lo entiendas y evites molestias o situaciones incómodas. Acuérdate siempre de llevar a tu mascota sujeta con correa y cerca de tí, e incluso si su tamaño lo permite es buena idea que la portes en brazos o con un transportin. Además, si muestra una actitud agresiva, o pertenece a una raza PPP, deberás ponerle el bozal. Es necesario que cumplas con la normativa vigente para la posesión y transporte de tu mascota en especial lo referente a su identificación y condiciones sanitarias. La tenencia y circulación de mascotas de razas o especies potencialmente peligrosas se rige por una normativa específica y más restrictiva, asegúrate de consultarla antes de visitarnos. Si tu mascota se hace pipí o caca recuerda que tendrás que recoger sus deposiciones. Deberás asegurarte de su integridad durante la visita y además vigilarás que no ocasione daños, o desperfectos, a las instalaciones o al entorno.
Oficina de turismo de Proaza;Centro de Asturias;Casa del Oso;Casa del Oso;Proaza;Proaza;33114;985 963 060 / 985 761 001 (Ayto);info@proaza.es;https://www.proaza.es/;;;;;;Si;;10:00 a 14:00 y 16:00 a 18:00 h.;;;;;;;43.250951,-6.017113;/documents/39908/44325/OficinaTurismo1.jpg/0230718f-905e-1f18-8f31-c19332cc4fc6?t=1674173326194;logo;;;;;;;;;;
Oficina de información turística de A Caridá;Occidente de Asturias;Aula Etnográfica 'A Bodega'. Complejo Cultural 'As Quintas';Aula Etnográfica 'A Bodega'. Complejo Cultural 'As Quintas';A Caridá;El Franco;33750;985 637 233;turismo@elfranco.es;https://www.elfranco.es/;https://www.facebook.com/eventoselfranco?ref=py_c;;;;;Si;;Invierno: Lunes y jueves: 10:30 a 13:30 y 16:30 a 19:30 h. Martes: 10:30 a 13:30 h. Miércoles: 16:30 a 19:30 h. Viernes: 12:30 a 13:30 y 16:30 a 19:30 h. Verano: Lunes y jueves: 10:00 a 14:00 y 18:00 a 20:00 h. Martes: 10:00 a 14:00 h. Miércoles: 17:00 a 20:00 h. Viernes: 12:30 a 14:00 h.;;;;;;;43.552242,-6.831834;/documents/39908/44325/OficinaTurismo1.jpg/0230718f-905e-1f18-8f31-c19332cc4fc6?t=1674173326194;logo;;;;;;;;;;
Oficina de turismo de Pesoz;Occidente de Asturias;Edificio de Servicios Múltiples, Planta baja;Edificio de Servicios Múltiples, Planta baja;Pezós/Pesoz;Pesoz;33735;985 627 334 / 985 627 000 (Ayto);museo@pesoz.es;;;;;;;;;Consultar;;;;;;;43.255612,-6.876789;/documents/39908/44325/OficinaTurismo1.jpg/0230718f-905e-1f18-8f31-c19332cc4fc6?t=1674173326194;Oficina de Turismo de Pesoz;;;;;;;;;;
Oficina de Información Turística de Onís;Oriente de Asturias;Finca Tullidi. CI Montañas Quebrantahuesos;Finca Tullidi. CI Montañas Quebrantahuesos;Benia de Onís;Onís;33556;616 641 687;turismo@concejodeonis.es;https://www.onisecoturismo.es/planifica/oficinas-de-turismo/;https://www.facebook.com/On%C3%ADs-Ecoturismo-104919608625472/;;https://www.instagram.com/onisecoturismo/;;https://www.youtube.com/channel/UCVbpNPGW-fqn-u8irbJIE8g;No;;01/04 a 31/10 (miércoles a domingo): 10:00 a 13:15 y 16:00 a 18:00 h. Cerrado: lunes, martes y 01/11/23 a 20/03/24;;;;;;;43.335074,-4.967056;/documents/39908/47100/Edificio-exterior-OIT.jpg/b88f4ec9-7396-948f-f967-5294814cc6b7?t=1674175589839;logo;;;;;;;;;;
Oficina de turismo de Navia;Occidente de Asturias;Avda. de la Dársena. Parque Alfonso Iglesias;Avda. de la Dársena. Parque Alfonso Iglesias;Navia;Navia;33710;985 473 795;turismo@ayto-navia.es;https://www.naviaturismo.com/Navia;https://www.facebook.com/TurismoNavia;https://twitter.com/NaviaTurismo;;;;No;;Consultar horarios aquí;;;;;;;43.541744,-6.723034;/documents/39908/44325/OficinaTurismo1.jpg/0230718f-905e-1f18-8f31-c19332cc4fc6?t=1674173326194;logo;;;;;;;;;;
Oficina de turismo de Salas;Occidente de Asturias;Palacio Valdés-Salas (Torre del Castillo) (Antesala del Aula del Prerrománico). Plaza de la Campa;Palacio Valdés-Salas (Torre del Castillo) (Antesala del Aula del Prerrománico). Plaza de la Campa;Salas;Salas;33860;985 830 988 / 985 830 004 (Ayto);turismo@ayto-salas.es;https://www.ayto-salas.es/;;;;;;Si;;Miércoles a sábado: 10:00 a 14:00 y 15:00 a 19:00 h.  Domingos: 10:00 a 13:00 h. Cerrado: lunes y martes;;;;;;;43.40921,-6.261714;/documents/39908/44325/OficinaTurismo1.jpg/0230718f-905e-1f18-8f31-c19332cc4fc6?t=1674173326194;logo;;;;;;;;;;
Oficina Municipal de turismo de Ribadedeva;Oriente de Asturias;C/ Celso Amieva;C/ Celso Amieva;Colombres;Ribadedeva;33590;985 412 235 / 654 535 423;turismo@ayuntamientoderibadedeva.es;https://www.ribadedeva.es;;;;;;No;;Información turística en el Centro Cultural "Casa de Piedra" (El Redondo s/n): lunes a viernes: 11:00 a 14:00 y 17:00 a 19:00 h.;;;;;;;43.374803,-4.540613;/documents/39908/44325/OficinaTurismo1.jpg/0230718f-905e-1f18-8f31-c19332cc4fc6?t=1674173326194;logo;;Hasta 15 Kg;No;1;1;Si;Si;Si;Sólo animales domésticos;Las mascotas eeben de ir siempre atadas.
Oficina de Turismo de Muros de Nalón;Centro de Asturias;Plaza del Marqués de Muros, 7 (bajos Casa de Cultura);Plaza del Marqués de Muros, 7 (bajos Casa de Cultura);Muros de Nalón;Muros de Nalón;33138;985 583 485;turismo@murosdenalon.es;https://www.murosdenalon.es/,http://www.destinobajonalon.es;https://www.facebook.com/turismobajonalon;https://twitter.com/DestinoBNalon;https://www.instagram.com/destinobajonalon/;;;No;;18/06 a 28/09: Martes a sábado: 10:30 a 14:00 y 16:00 a 19:00 h. Domingo: 11:00 a 14:00 h. Cerrado: lunes ;;;;;;;43.54324,-6.10543;/documents/39908/46920/foto-oficina.jpg/a71880dd-5964-65f7-e83f-ee470aca6b34?t=1691564253319;OT de Muros de Nalón;;Hasta 15 Kg;Si;2;2;;;No;;Perros siempre atados. Los PPP deben llevar bozal y correa.
Oficina de turismo de Pravia;Centro de Asturias;Primo de Rivera, Bajo;Primo de Rivera, Bajo;Pravia;Pravia;33120;985 821 204;oficinaturismo@pravia.es;https://www.praviaturismo.es/,;https://www.facebook.com/praviaturismo/;;https://www.instagram.com/praviadescansodereyes/;;;Si;;Martes a sábado:  11:00 a 14:00 y 16:00 a 19:00 h. Domingos:  10:00 a 14:00 h. Cerrado: lunes;;;;;;;43.490296,-6.115346;/documents/39908/44325/OficinaTurismo1.jpg/0230718f-905e-1f18-8f31-c19332cc4fc6?t=1674173326194;logo;;;;;;;;;;
Oficina de turismo de Gijón;Centro de Asturias;C/ Fermín García Bernardo (Casa Paquet);C/ Fermín García Bernardo (Casa Paquet);Gijón/Xixón;Gijón;33201;985 341 771;turismo@gijon.es;https://www.gijon.es/es,;;https://twitter.com/gijon;https://www.instagram.com/gijon/?hl=es;;;Si;;02/11 a 09/05: 10:00 a 14:30 y 16:30 a 19:30 h. Semana Santa: 10:00 a 20:00 h. 10/05 a 01/11 y P. Constitución: 10:00 a 20:00 h. 01/08 a 31/08: 10:00 a 21:00 h.  ;;;;;true;;43.545724,-5.664368;/documents/39908/47082/Casa-Paquet-16-3500x2333.jpg/0541ab4b-ce24-92d6-6bf6-0fcc1a101518?t=1674175584760;Oficina de turismo de Gijón;;;;;;;;;;Atados, con bozal las razas que la ley exige y respetando las indicaciones del personal.
Oficina de turismo de Allande;Occidente de Asturias;Párroco Luis Ochoa;Párroco Luis Ochoa;Pola de Allande;Allande;33880;985 807 291 / 985 807 004 (Ayto);turismo@allande.es,administracion@allande.es;https://www.allande.es/;;;;;;No;01/07 a 30/09 y SS;01/07 a 30/09: Martes a Sábado: 11:00 a 17:30 h. Domingos: 11:00 a 15:30 h. Cerrado: lunes  Semana Santa: 11:30 a 17:00 h.;;;;;;;43.272925,-6.60742;/documents/39908/44325/OficinaTurismo1.jpg/0230718f-905e-1f18-8f31-c19332cc4fc6?t=1674173326194;Oficina de Turismo de Allande;;;;;;;;;;
Oficina de turismo de Grandas de Salime;Occidente de Asturias;Casa de Cultura. El Salvador, 6. Planta baja;Casa de Cultura. El Salvador, 6. Planta baja;Grandas de Salime;Grandas de Salime;33730;985 627 350;oficinadeturismo@grandasdesalime.es;https://www.grandasdesalime.es/;;;;;;No;01/07 a 30/09;01/07 a 30/09: Martes a sábado: 11:00 a 14:00 h. Domingos: 10:30 a 14:30 h. Cerrado: lunes;;;;;;;43.219001,-6.876199;/documents/39908/1887966/3-Foto-OIT-Grandas-de-Salime.jpg/fc6f3b57-5030-71da-2769-b553654b55fc?t=1721037341482,/documents/39908/1887966/4-Foto-OIT--Grandas-de-Salime.jpg/cfcccf0d-c93e-8dce-eea2-6fe043bf29e7?t=1721037342831,/documents/39908/1887966/2-Foto-OIT-Grandas-de-Salime.jpg/cfb2cbd5-9ad4-40a7-0a09-43474b9ef102?t=1721037340116;OT Grandas de Salime,OT Grandas de Salime,OT Grandas de Salime;,,;;;;;;;;;
