Nombre,Localización,Latitud,Longitud,Dirección,Teléfono,Precio,Horario,Tipos_cocina,Valoración,Votos,Características,Descripción,url,url_web,url_ig
KO,localidad,KO,long,loc,telefono,precios,horario,tipo_cocina,valora,votos,caracteristicas,descripcion,https://es.restaurantguru.com/Riesco-Cangas-del-Narcea,,
Hotel Rural Casa Grabelon, Cangas del Narcea,43.17986000,-6.55053000,"Chess, 37, Cangas del Narcea, Principado de Asturias, España",+34985911370, €10 - €24,Desconocido,"['Mediterránea', 'Española']",76,59,"['Asientos al aire libre', 'Reserva']","Después de visitar Puente Colgante Cangas del Narcea, puedes echarle un vistazo a la carta de Hotel Rural Casa Grabelon. Según las valoraciones de sus comensales, la comida mediterránea y española aquí es muy buena. Muchos visitantes vienen para disfrutar de su sabroso rape, su singular entrecote y sus tiernas croquetas. Prueba el perfectamente elaborado pastel de frutas y la generosa tarta de queso que ofrece este lugar. Por si todo esto fuera poco, su personal es competente. Te va a encantar su sorprendente servicio. El lema de este lugar es ""precios interesantes por comidas estupendas"".",https://es.restaurantguru.com/Hotel-Rural-Casa-Grabelon-Fuentes-Del-Narcea-Cangas-del-Narcea,Desconocido,Desconocido
Restaurante Santuario del Acebo, Principado de Asturias,43.17778000,-6.54875000,"El Acebo, Cangas del Narcea, Principado de Asturias, España, 33819",+34647574822, €10 - €24,Desconocido,['Española'],70,23,"['Reserva', 'Accesible para sillas de ruedas']","Tras una buena caminata por Santuario de la Virgen del Acebo, pásate por Restaurante Santuario del Acebo y descansa un poco. Zambúyete en la maravillosa cocina española de este establecimiento. Este lugar te garantiza un sorprendente laing. Saborea despacio el estupendo café cortado que aquí sirven pensando solo en tu disfrute. Su abnegado servicio te hará sentirte especial.",https://es.restaurantguru.com/Restaurante-Santuario-del-Acebo-Cangas-del-Narcea-2,facebook.com,Desconocido
Café Madrid, 17,43.17694000,-6.55026000,"C. Mayor, 17, Cangas del Narcea, Principado de Asturias, España",+34649166442,€10 - €24,"['Lunes  Cerrado', 'Martes  11:30-01:00', 'Miércoles  11:30-01:00', 'Jueves  11:30-01:00', 'Viernes  11:30-01:00', 'Sábado  11:30-01:00', 'Domingo  11:30-01:00']","['Española', 'Española']",80,685,"['Tarjetas de crédito aceptadas', 'Asientos al aire libre', 'Wifi', 'Reserva', 'Entrega', 'Para llevar', 'TV']","Primero, disfruta de Puente Colgante Cangas del Narcea y, después, come algo en Café Madrid. Este restaurante es famoso por ofrecer cocina española. Sus comensales pueden pedir unas singulares croquetas de jamón, unos perfectamente elaborados escalopines y una sorprendente fabada asturiana en Café Madrid. Prueba su sabroso pastel de frutas. Basándonos en lasLa buenísima ubicación de este lugar hace que llegar a él incluso en hora punta sea muy sencillo. Muchos visitantes creen que los camareros y camareras son eficientes en este lugar. Descansar y comer aquí es siempre un placer, principalmente por su espectacular servicio. Te van a sorprender gratamente los asequibles precios de este restaurante. Su festivo ambiente deja una impresión inmejorable en sus invitados. Los usuarios de Google han premiado a Café Madrid con un 4,3. ",https://es.restaurantguru.com/Cafe-Madrid-Cangas-del-Narcea,Desconocido,Desconocido
Pizzería Canto, Cangas del Narcea,43.17530400,-6.55190800,"Av. del Barrio Nuevo, 9, Cangas del Narcea, Principado de Asturias, España",+34984991787,Desconocido,"['LunesLun', '07:00-01:00', 'MartesMar', '07:00-01:00', 'MiércolesMié', '07:00-01:00', 'JuevesJue', '07:00-01:00', 'ViernesVie', '07:00-01:00', 'SábadoSáb', '07:00-01:00', 'DomingoDom', '10:00-00:00']",['Pizza'],70,33,"['Tarjetas de crédito aceptadas', 'Para llevar', 'Reserva', 'Accesible para sillas de ruedas']","Una vez que el paseo alrededor de Colegiata de Santa Maria Magdalena se haya terminado, visita Pizzería Canto. Sus cocineros preparan aquí una perfectamente elaborada pizza. Este restaurante tiene envío a domicilio para así dar un mejor servicio a sus clientes. Por si todo esto fuera poco, su personal es acogedor. Su espectacular servicio es siempre un placer. Tal y como un gran número de críticos reconocen, la atmósfera es exótica. Según la valoración de Google, Pizzería Canto ha logrado un 4,5.",https://es.restaurantguru.com/Pizzeria-Canto-Cangas-del-Narcea,Desconocido,Desconocido
Restaurante Zaycor, Cangas del Narcea,43.18313030,-6.54534590,"Av. Alejandro Casona, 30, Cangas del Narcea, Principado de Asturias, España",+34608782274, €24 - €48,"['LunesLun', '10:30-23:30', 'MartesMar', '10:30-00:00', 'MiércolesMié', '10:30-00:00', 'JuevesJue', '10:30-00:00', 'ViernesVie', '10:30-00:00', 'SábadoSáb', '10:30-00:30', 'DomingoDom', '10:30-00:00']",['Pescado y marisco'],64,26,"['Tarjetas de crédito aceptadas', 'No hay entrega', 'Para llevar', 'Reserva', 'Accesible para sillas de ruedas']",Ven a este restaurante y haz un intermedio para pedir su perfectamente elaborado marisco o su atrayente sopa. Pero la mayoría de los clientes que usan Google no le otorgaron a Restaurante Zaycor una nota muy alta.,https://es.restaurantguru.com/Zaycor-Cangas-del-Narcea,Desconocido,Desconocido
Sidrería Parrilla Suiss, Cangas del Narcea,43.17725470,-6.54871960,"Sidrería Parrilla, Av. del Acebo, 5, local 2, Cangas del Narcea, Principado de Asturias, España",+34985811988,hasta €10,"['LunesLun', 'Cerrado', 'MartesMar', '10:30-23:30', 'MiércolesMié', '10:30-23:30', 'JuevesJue', '10:30-23:30', 'ViernesVie', '10:30-23:30', 'SábadoSáb', '10:30-23:30', 'DomingoDom', '10:30-23:30']","['Grill', 'Asado']",76,627,"['Asientos al aire libre', 'Para llevar', 'Tarjetas de crédito aceptadas', 'Entrega', 'Reserva', 'No accesible para sillas de ruedas']","Si quieres tener un buen recuerdo de Santuario de la Virgen del Acebo, ven primero a este restaurante. En Sidrería Parrilla Suiss, sus clientes pueden tomar unas sorprendentes croquetas de jamón, una tierna parrillada y un generoso jamón. Muchos usuarios han reparado en el hecho de que aquí el pastel de frutas es delicado. Su espectacular sidra hará que tu comida parezca aún mejor, lo que, seguramente, te hará volver. El éxito de este lugar sería imposible sin un creativo personal. Tal y como una serie de críticos aseguran, el servicio es eficiente. Su atmósfera es tranquila, y un gran número de visitantes disfrutan del estilo de este lugar. Este restaurante ha logrado un 4,5 según el baremo de valoraciones de Google.",https://es.restaurantguru.com/Sidreria-Suiss-Cangas-del-Narcea,sidreriaparrillasuiss.com,@sidreriasuiss
El Moreno, Cangas del Narcea,43.17628000,-6.54925690,"Pl. Conde Toreno, 2, Cangas del Narcea, Principado de Asturias, España",+34984708286, €14 - €48,"['LunesLun', '09:00-02:00', 'MartesMar', '09:00-02:00', 'MiércolesMié', '09:00-02:00', 'JuevesJue', '09:00-02:00', 'ViernesVie', '09:00-02:00', 'SábadoSáb', '10:00-02:00', 'DomingoDom', '10:00-02:00']","['Española', 'Bar de Vinos', 'Mediterránea', '', 'Española', 'Bar de Vinos', 'Mediterránea', 'Pescado y marisco', '']",74,190,"['Tarjetas de crédito aceptadas', 'Asientos al aire libre', 'Wifi', 'Sin reserva', 'No hay entrega', 'No accesible para sillas de ruedas']","Seguro que vas a ver Santuario de la Virgen del Acebo: el consejo de sus clientes es que vengas también a este restaurante. La cocina española es lo que a sus visitantes más les gusta de El Moreno. Su sensacional vino y su extraordinaria cerveza son el rasgo distintivo de este lugar. Un gran número de usuarios han reparado en el hecho de que en este establecimiento el personal es eficiente. Su admirable servicio es un gran añadido para este lugar. Una serie de críticos remarcan que la atmósfera es espectacular aquí. Google le ha dado un 4,4, lo que indica que puedes ir a este restaurante para pasar un rato agradable.",https://es.restaurantguru.com/Moreno-Cangas-del-Narcea,elmorenocangas.es,@barmoreno2024
La Ruta, Principado de Asturias,43.17690000,-6.55000000,"Calle Mayor, Cangas del Narcea, Principado de Asturias, España, 33800",+34985810998,hasta €10,Desconocido,['Española'],64,22,['Asientos al aire libre'],"Un paseo admirando Puente Colgante Cangas del Narcea es lo menos que puedes esperar tras cenar en este restaurante. La cocina española es buena en La Ruta. La valoración de Facebook muestra que este lugar ha obtenido 4,5 estrellas.",https://es.restaurantguru.com/La-Ruta-Cangas-del-Narcea-2,Desconocido,Desconocido
"Bar El Mercao -Recinto ferial la Himera, Cangas del Narcea", Principado de Asturias,43.15670000,-6.54120000,"Recinto Ferial La Himera, Cangas del Narcea, Principado de Asturias, España, 33817",+34649166588,hasta €10,"['LunesLun', '11:00-21:00', 'MartesMar', '11:00-21:00', 'MiércolesMié', '11:00-21:00', 'JuevesJue', '11:00-21:00', 'ViernesVie', '11:00-21:00', 'SábadoSáb', 'Cerrado', 'DomingoDom', '11:00-23:00']",Desconocido,64,22,Desconocido,"Facebook le da a este restaurante la calificación global de 4,5 estrellas.",https://es.restaurantguru.com/Bar-El-Mercao-Recinto-ferial-la-imera-Cangas-del-Narcea-Spain,Desconocido,Desconocido
Magadán Restaurante, Cangas del Narcea,43.17981660,-6.55103310,"Pl. de Asturias, 9, Cangas del Narcea, Principado de Asturias, España",+34985811809,hasta €10,"['LunesLun', '06:00-01:00', 'MartesMar', '06:00-01:00', 'MiércolesMié', '06:00-01:00', 'JuevesJue', '06:00-01:00', 'ViernesVie', '06:00-01:00', 'SábadoSáb', '06:00-01:00', 'DomingoDom', 'Cerrado']",['Grill'],72,94,"['Asientos al aire libre', 'Tarjetas de crédito aceptadas', 'No hay entrega', 'No accesible para sillas de ruedas']","Una vez que hayas visto Puente Colgante Cangas del Narcea, es el momento de descansar en este restaurante. Siempre que vayas a Magadán Restaurante, tienes que probar su sensacional café. La mayoría de visitantes estiman que en este establecimiento el personal esta bien entrenado. Su sofisticado servicio te hará sentirte especial. Su cuidada atmósfera deja una impresión inmejorable en sus clientes. De acuerdo con los comentarios de los usuarios en Google, este lugar merece un 4,5.",https://es.restaurantguru.com/Magadan-Restaurante-Cangas-del-Narcea-2,Desconocido,Desconocido
Terras Gallegas, Principado de Asturias,43.17712180,-6.54899954,"Calle Uria 26, Cangas del Narcea, Principado de Asturias, España, 33800",+34686895967, €10 - €24,"['LunesLun', '07:00-23:45', 'MartesMar', '07:00-23:45', 'MiércolesMié', '07:00-23:45', 'JuevesJue', '07:00-23:45', 'ViernesVie', '07:00-23:45', 'SábadoSáb', '07:00-23:45', 'DomingoDom', 'Cerrado']",['Española'],65,20,"['Tarjetas de crédito aceptadas', 'Asientos al aire libre', 'Wifi']","Seguro que vas a visitar Santuario de la Virgen del Acebo: el consejo de sus habituales es que te acerques también a este restaurante. Pide algo nuevo de la cocina española. Invita a tus amigos y tomad su atrayente pulpo, su sorprendente rape y sus perfectamente elaborados fabada. Pulperia Tierras Gallegas te ofrece probar un pastel de frutas bien preparado. Comprueba por ti mismo lo eficientes que son sus camareros y camareras. Este lugar obsequia con un abnegado servicio a sus invitados. Los usuarios de Google que visitaron este lugar afirman que la valoración más adecuada es 4.",https://es.restaurantguru.com/Pulperia-Tierras-Gallegas-Cangas-del-Narcea-2,Desconocido,Desconocido
Street Food, Cangas del Narcea,43.17809400,-6.55054360,"C. Alcalde Díaz Penedela, 4, Cangas del Narcea, Principado de Asturias, España",+34984831376,hasta €10,"['LunesLun', '11:00-16:0018:00-01:30', 'MartesMar', 'Cerrado', 'MiércolesMié', '11:00-16:0018:00-01:30', 'JuevesJue', '11:00-16:0018:00-01:30', 'ViernesVie', '11:00-16:0018:00-01:30', 'SábadoSáb', '11:00-16:0018:00-01:30', 'DomingoDom', '11:00-16:0018:00-01:30']","['Comida Rápida', 'Callejera']",70,178,"['Asientos al aire libre', 'Para llevar', 'Tarjetas de crédito aceptadas', 'Reserva', 'Accesible para sillas de ruedas']","Una vez que hayas disfrutado de Puente Colgante Cangas del Narcea, visita este restaurante, que no está muy lejos. Prueba las perfectamente elaboradas hamburguesas americanas, el singular jamón o la atrayente pizza de jamón que te ofrece Street Food. El servicio de entrega a domicilio es una de las grandes ventajas de este lugar. Por si todo esto fuera poco, su personal es profesional. Su eficiente servicio te hará sentirte especial. Su inusual decoración no era del gusto de sus visitantes. Tienes garantizada una espectacular atmósfera en este lugar. De acuerdo con los comentarios de los clientes en Google, este restaurante merece un 4.",https://es.restaurantguru.com/Street-Food-Cangas-del-Narcea,Desconocido,Desconocido
L'ABLUGO PIZZERIA-BURGUER, 2,43.17792570,-6.55046640,"C. Alcalde Díaz Penedela, 2, Cangas del Narcea, Principado de Asturias, España",+34985810454,~hasta €10,"['Lunes  12:00-01:30', 'Martes  12:00-01:30', 'Miércoles  Cerrado', 'Jueves  12:00-01:30', 'Viernes  12:00-01:30', 'Sábado  12:00-02:30', 'Domingo  12:00-01:30']","['Pizza                                ,', 'Pizza', 'Comida Rápida', 'Comida Rápida']",76,285,"['Asientos al aire libre', 'Wifi', 'Tarjetas de crédito aceptadas', 'Entrega', 'Para llevar', 'Reserva', 'Accesible para sillas de ruedas']","Puedes visitar este restaurante después de ver Puente Colgante Cangas del Narcea. Si vas a L'ABLUGO PIZZERIA-BURGUER, toma su bien trabajado rape, su casera pizza o sus atrayentes hamburguesas americanas. La estupenda ubicación de este lugar hace que llegar a él por cualquier medio sea muy sencillo. Un gran número de críticos apuntan que en este establecimiento el ",https://es.restaurantguru.com/Pizzeria-Lablugo-Cangas-del-Narcea,pidelablugo.com,@lablugocangas
Hotel Molinon, Principado de Asturias,43.17765500,-6.54960600,"Calle Uria, 36, Cangas del Narcea, Principado de Asturias, España, 33800",+34985812952, €10 - €24,"['LunesLun', '09:00-22:00', 'MartesMar', '08:00-22:00', 'MiércolesMié', '08:00-22:00', 'JuevesJue', '08:00-22:00', 'ViernesVie', '08:00-22:00', 'SábadoSáb', '08:00-22:00', 'DomingoDom', '08:00-22:00']",['Española'],64,38,"['Asientos al aire libre', 'Tarjetas de crédito aceptadas', 'Reserva']","Una vez que hayas visto Puente Colgante Cangas del Narcea, ven a este restaurante. Los turistas recomiendan los platos de la cocina española de Hotel Molinon. Probar su generosa merluza, sus caseras carrilleras o su bien trabajado laing es lo que gran parte de los clientes aconseja. Según las opiniones de los críticos, aquí sus camareros te sirven un sorprendente pastel de frutas. Cuando visites este lugar, tienes que probar su excelente café. La buenísima ubicación de este lugar hace que llegar a él incluso en hora punta sea muy sencillo. Una serie de visitantes se han dado cuenta de que en este establecimiento el personal es genial. Este restaurante ofrece un profesional servicio a sus invitados. Los precios son razonables para la calidad que recibes. Hotel Molinon se asocia con una atmósfera encantadora. De acuerdo con los comentarios de los usuarios en Google, este lugar merece un 4,3.",https://es.restaurantguru.com/Hotel-Restaurante-El-Molinon-Cangas-del-Narcea,hotelelmolinon.com,Desconocido
Bar La Perla, Cangas del Narcea,43.17750000,-6.55194440,"Pl. Mayor, 6, Cangas del Narcea, Principado de Asturias, España",+34985811703,hasta €10,"['LunesLun', '08:30-00:30', 'MartesMar', '08:30-00:30', 'MiércolesMié', '08:30-00:30', 'JuevesJue', '08:30-00:30', 'ViernesVie', '08:30-00:30', 'SábadoSáb', '08:30-00:30', 'DomingoDom', 'Cerrado']",Desconocido,74,152,"['Tarjetas de crédito aceptadas', 'No hay entrega', 'Reserva']","Desde el ventanal de este bar, la vista de Colegiata de Santa Maria Magdalena es maravillosa. Saborea despacio el sensacional café que aquí sirven pensando solo en tu disfrute. Por si todo esto fuera poco, su personal es de confianza. Su sorprendente servicio es aquí algo en lo que sus comensales coinciden. La mayor parte del tiempo, Bar La Perla te ofrece una genial atmósfera. Un 4,6 es lo que este lugar ha logrado según el sistema de valoraciones de Google.",https://es.restaurantguru.com/Bar-El-Escano-Cangas-del-Narcea,laperla.com,@laperlalingerie
